ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
24,1,213,213,100.0,24001
28,1,270,270,100.0,28001
28,2,272,272,100.0,28002
28,24,82,82,100.0,28024
28,25,522,522,100.0,28025
29,18,482,482,100.0,29018
29,19,564,564,100.0,29019
29,20,321,321,100.0,29020
29,21,377,377,100.0,29021
29,22,569,569,100.0,29022
29,23,514,514,100.0,29023
29,24,393,393,100.0,29024
37,1,396,396,100.0,37001
37,3,388,388,100.0,37003
37,5,299,299,100.0,37005
37,6,532,532,100.0,37006
37,8,486,486,100.0,37008
37,10,342,342,100.0,37010
37,11,359,359,100.0,37011
37,12,487,487,100.0,37012
37,14,501,501,100.0,37014
37,15,454,454,100.0,37015
37,16,468,468,100.0,37016
37,17,310,310,100.0,37017
37,20,516,516,100.0,37020
37,22,195,195,100.0,37022
