ward,precinct,total,Laura Mary Kotelman,Laura Mary Kotelman Percent,precinct_id
32,5,538,90,16.73,32005
39,1,610,178,29.18,39001
39,2,330,102,30.91,39002
39,4,610,225,36.89,39004
39,12,550,140,25.45,39012
39,14,862,384,44.55,39014
39,15,635,146,22.99,39015
39,17,907,362,39.91,39017
39,18,394,167,42.39,39018
39,19,798,137,17.17,39019
39,20,533,227,42.59,39020
39,22,368,154,41.85,39022
39,23,84,31,36.9,39023
39,27,341,109,31.96,39027
39,30,312,88,28.21,39030
39,31,399,146,36.59,39031
39,32,903,321,35.55,39032
39,33,340,110,32.35,39033
39,34,398,142,35.68,39034
39,35,639,155,24.26,39035
40,3,223,26,11.66,40003
40,4,474,116,24.47,40004
40,7,598,75,12.54,40007
40,8,395,80,20.25,40008
40,9,712,141,19.8,40009
40,10,1058,108,10.21,40010
40,11,689,171,24.82,40011
40,12,720,90,12.5,40012
40,13,734,59,8.04,40013
40,14,963,64,6.65,40014
40,15,712,60,8.43,40015
40,16,693,48,6.93,40016
40,21,752,63,8.38,40021
41,1,195,108,55.38,41001
41,2,248,98,39.52,41002
41,3,349,174,49.86,41003
41,4,507,325,64.1,41004
41,5,517,272,52.61,41005
41,6,527,277,52.56,41006
41,7,416,194,46.63,41007
41,8,448,224,50.0,41008
41,9,834,378,45.32,41009
41,10,667,333,49.93,41010
41,11,495,215,43.43,41011
41,12,330,189,57.27,41012
41,13,630,279,44.29,41013
41,14,847,390,46.04,41014
41,21,422,204,48.34,41021
41,22,340,163,47.94,41022
41,24,762,374,49.08,41024
43,7,1074,189,17.6,43007
43,8,207,43,20.77,43008
44,1,1001,100,9.99,44001
44,2,727,147,20.22,44002
44,3,953,159,16.68,44003
44,4,1254,238,18.98,44004
44,5,893,80,8.96,44005
44,6,856,123,14.37,44006
44,7,876,97,11.07,44007
44,8,905,111,12.27,44008
44,9,1199,216,18.02,44009
44,10,1163,202,17.37,44010
44,11,920,156,16.96,44011
44,12,1066,126,11.82,44012
44,13,1023,120,11.73,44013
44,14,1003,152,15.15,44014
44,15,1146,146,12.74,44015
44,16,1143,170,14.87,44016
44,17,1164,141,12.11,44017
44,18,799,103,12.89,44018
44,19,1111,178,16.02,44019
44,20,674,83,12.31,44020
44,21,1152,119,10.33,44021
45,1,1026,453,44.15,45001
45,2,533,195,36.59,45002
45,3,321,144,44.86,45003
45,4,380,139,36.58,45004
45,5,592,220,37.16,45005
45,6,602,251,41.69,45006
45,7,644,242,37.58,45007
45,8,544,212,38.97,45008
45,9,582,217,37.29,45009
45,10,574,216,37.63,45010
45,11,776,327,42.14,45011
45,12,511,143,27.98,45012
45,13,724,217,29.97,45013
45,14,428,145,33.88,45014
45,15,490,123,25.1,45015
45,16,611,161,26.35,45016
45,17,685,244,35.62,45017
45,18,691,242,35.02,45018
45,19,444,129,29.05,45019
45,20,591,138,23.35,45020
46,1,797,129,16.19,46001
46,2,776,78,10.05,46002
46,3,864,82,9.49,46003
46,4,1000,128,12.8,46004
46,5,813,125,15.38,46005
46,6,1248,153,12.26,46006
46,7,755,66,8.74,46007
46,8,916,110,12.01,46008
46,9,968,131,13.53,46009
46,10,845,68,8.05,46010
46,11,988,121,12.25,46011
46,12,1194,133,11.14,46012
46,13,1043,84,8.05,46013
46,14,569,39,6.85,46014
46,15,1176,157,13.35,46015
46,16,812,55,6.77,46016
46,17,1044,69,6.61,46017
46,18,949,76,8.01,46018
46,19,764,70,9.16,46019
46,20,694,75,10.81,46020
46,21,525,55,10.48,46021
46,22,681,71,10.43,46022
46,23,582,46,7.9,46023
47,1,768,90,11.72,47001
47,2,722,67,9.28,47002
47,3,741,63,8.5,47003
47,4,913,65,7.12,47004
47,5,1063,59,5.55,47005
47,6,891,52,5.84,47006
47,8,731,74,10.12,47008
47,9,1034,122,11.8,47009
47,10,908,69,7.6,47010
47,11,804,69,8.58,47011
47,12,595,55,9.24,47012
47,13,658,78,11.85,47013
47,20,888,113,12.73,47020
47,22,759,114,15.02,47022
48,1,903,54,5.98,48001
48,3,493,58,11.76,48003
48,4,550,32,5.82,48004
48,5,320,31,9.69,48005
48,6,749,66,8.81,48006
48,7,704,61,8.66,48007
48,8,487,71,14.58,48008
48,9,370,89,24.05,48009
48,10,864,55,6.37,48010
48,11,568,42,7.39,48011
48,12,819,126,15.38,48012
48,14,680,68,10.0,48014
48,15,527,39,7.4,48015
48,16,414,42,10.14,48016
48,17,240,51,21.25,48017
48,18,726,81,11.16,48018
48,19,403,48,11.91,48019
48,20,290,44,15.17,48020
48,21,646,76,11.76,48021
48,22,383,57,14.88,48022
48,23,494,70,14.17,48023
48,24,927,173,18.66,48024
48,25,721,56,7.77,48025
48,26,406,52,12.81,48026
48,28,607,27,4.45,48028
48,29,233,24,10.3,48029
48,30,655,67,10.23,48030
48,31,654,36,5.5,48031
48,32,364,29,7.97,48032
48,33,281,40,14.23,48033
48,34,521,39,7.49,48034
48,35,826,76,9.2,48035
50,24,101,62,61.39,50024
50,28,562,114,20.28,50028
