ward,precinct,total,"Daniel """"Pogo"""" Pogorzelski","Daniel """"Pogo"""" Pogorzelski Percent",Toneal M. Jackson,Toneal M. Jackson Percent,precinct_id
1,1,818,682,83.37,136,16.63,01001
1,2,811,672,82.86,139,17.14,01002
1,3,901,738,81.91,163,18.09,01003
1,4,801,685,85.52,116,14.48,01004
1,5,838,715,85.32,123,14.68,01005
1,6,723,603,83.4,120,16.6,01006
1,7,870,731,84.02,139,15.98,01007
1,8,765,648,84.71,117,15.29,01008
1,9,418,332,79.43,86,20.57,01009
1,10,989,827,83.62,162,16.38,01010
1,11,779,624,80.1,155,19.9,01011
1,12,356,291,81.74,65,18.26,01012
1,13,551,452,82.03,99,17.97,01013
1,14,508,421,82.87,87,17.13,01014
1,15,812,684,84.24,128,15.76,01015
1,16,833,694,83.31,139,16.69,01016
1,17,525,444,84.57,81,15.43,01017
1,18,751,634,84.42,117,15.58,01018
1,19,673,545,80.98,128,19.02,01019
1,20,675,565,83.7,110,16.3,01020
1,21,662,551,83.23,111,16.77,01021
1,22,919,767,83.46,152,16.54,01022
1,23,449,369,82.18,80,17.82,01023
1,24,960,803,83.65,157,16.35,01024
1,25,859,719,83.7,140,16.3,01025
1,26,794,639,80.48,155,19.52,01026
2,1,720,573,79.58,147,20.42,02001
2,2,905,735,81.22,170,18.78,02002
2,3,562,468,83.27,94,16.73,02003
2,4,603,496,82.26,107,17.74,02004
2,5,567,471,83.07,96,16.93,02005
2,6,829,684,82.51,145,17.49,02006
2,7,720,587,81.53,133,18.47,02007
2,8,567,457,80.6,110,19.4,02008
2,9,843,697,82.68,146,17.32,02009
2,10,397,308,77.58,89,22.42,02010
2,11,633,543,85.78,90,14.22,02011
2,12,591,481,81.39,110,18.61,02012
2,13,800,640,80.0,160,20.0,02013
2,14,504,413,81.94,91,18.06,02014
2,15,658,512,77.81,146,22.19,02015
2,16,729,580,79.56,149,20.44,02016
2,17,1060,881,83.11,179,16.89,02017
2,18,656,536,81.71,120,18.29,02018
2,19,342,281,82.16,61,17.84,02019
2,20,436,367,84.17,69,15.83,02020
2,21,137,109,79.56,28,20.44,02021
2,22,547,424,77.51,123,22.49,02022
2,23,577,475,82.32,102,17.68,02023
2,24,449,363,80.85,86,19.15,02024
2,25,693,578,83.41,115,16.59,02025
3,1,658,536,81.46,122,18.54,03001
3,2,661,571,86.38,90,13.62,03002
3,3,456,392,85.96,64,14.04,03003
3,4,494,405,81.98,89,18.02,03004
3,5,126,102,80.95,24,19.05,03005
3,6,682,553,81.09,129,18.91,03006
3,7,340,289,85.0,51,15.0,03007
3,8,505,425,84.16,80,15.84,03008
3,9,408,342,83.82,66,16.18,03009
3,10,435,339,77.93,96,22.07,03010
3,11,711,572,80.45,139,19.55,03011
3,12,668,542,81.14,126,18.86,03012
3,13,812,632,77.83,180,22.17,03013
3,14,866,686,79.21,180,20.79,03014
3,15,548,466,85.04,82,14.96,03015
3,16,348,304,87.36,44,12.64,03016
3,17,183,164,89.62,19,10.38,03017
3,18,222,193,86.94,29,13.06,03018
3,19,873,700,80.18,173,19.82,03019
3,20,599,501,83.64,98,16.36,03020
3,21,581,497,85.54,84,14.46,03021
3,22,469,381,81.24,88,18.76,03022
3,23,320,267,83.44,53,16.56,03023
3,24,124,112,90.32,12,9.68,03024
3,25,870,687,78.97,183,21.03,03025
3,26,305,249,81.64,56,18.36,03026
3,27,742,583,78.57,159,21.43,03027
4,1,853,686,80.42,167,19.58,04001
4,2,328,267,81.4,61,18.6,04002
4,3,565,462,81.77,103,18.23,04003
4,4,668,564,84.43,104,15.57,04004
4,5,309,264,85.44,45,14.56,04005
4,6,460,381,82.83,79,17.17,04006
4,7,349,267,76.5,82,23.5,04007
4,8,487,420,86.24,67,13.76,04008
4,9,506,424,83.79,82,16.21,04009
4,10,468,392,83.76,76,16.24,04010
4,11,650,530,81.54,120,18.46,04011
4,12,407,319,78.38,88,21.62,04012
4,13,410,330,80.49,80,19.51,04013
4,14,402,323,80.35,79,19.65,04014
4,15,364,301,82.69,63,17.31,04015
4,16,528,444,84.09,84,15.91,04016
4,17,714,608,85.15,106,14.85,04017
4,18,228,209,91.67,19,8.33,04018
4,19,458,378,82.53,80,17.47,04019
4,20,649,540,83.2,109,16.8,04020
4,21,413,355,85.96,58,14.04,04021
4,22,205,167,81.46,38,18.54,04022
4,23,377,314,83.29,63,16.71,04023
4,24,764,634,82.98,130,17.02,04024
4,25,880,724,82.27,156,17.73,04025
4,26,779,626,80.36,153,19.64,04026
4,27,852,682,80.05,170,19.95,04027
4,28,902,725,80.38,177,19.62,04028
5,1,652,531,81.44,121,18.56,05001
5,2,737,620,84.12,117,15.88,05002
5,3,687,561,81.66,126,18.34,05003
5,4,559,466,83.36,93,16.64,05004
5,5,325,258,79.38,67,20.62,05005
5,6,289,235,81.31,54,18.69,05006
5,7,161,137,85.09,24,14.91,05007
5,8,204,165,80.88,39,19.12,05008
5,9,194,165,85.05,29,14.95,05009
5,10,328,279,85.06,49,14.94,05010
5,11,430,357,83.02,73,16.98,05011
5,12,752,602,80.05,150,19.95,05012
5,13,318,261,82.08,57,17.92,05013
5,14,360,312,86.67,48,13.33,05014
5,15,1035,816,78.84,219,21.16,05015
5,16,639,511,79.97,128,20.03,05016
5,17,478,388,81.17,90,18.83,05017
5,18,973,792,81.4,181,18.6,05018
5,19,421,356,84.56,65,15.44,05019
5,20,691,558,80.75,133,19.25,05020
5,21,602,477,79.24,125,20.76,05021
5,22,713,577,80.93,136,19.07,05022
5,23,385,313,81.3,72,18.7,05023
5,24,425,343,80.71,82,19.29,05024
5,25,978,765,78.22,213,21.78,05025
6,1,211,186,88.15,25,11.85,06001
6,2,266,220,82.71,46,17.29,06002
6,3,80,67,83.75,13,16.25,06003
