ward,precinct,total,Samantha Steele,Samantha Steele Percent,precinct_id
1,1,702,702,100.0,01001
1,2,711,711,100.0,01002
1,3,784,784,100.0,01003
1,4,725,725,100.0,01004
1,5,745,745,100.0,01005
1,6,635,635,100.0,01006
1,7,775,775,100.0,01007
1,8,682,682,100.0,01008
1,9,359,359,100.0,01009
1,10,916,916,100.0,01010
1,11,711,711,100.0,01011
1,12,321,321,100.0,01012
1,13,504,504,100.0,01013
1,14,444,444,100.0,01014
1,15,744,744,100.0,01015
1,16,722,722,100.0,01016
1,17,483,483,100.0,01017
1,18,696,696,100.0,01018
1,19,610,610,100.0,01019
1,20,620,620,100.0,01020
1,21,617,617,100.0,01021
1,22,857,857,100.0,01022
1,23,414,414,100.0,01023
1,24,864,864,100.0,01024
1,25,787,787,100.0,01025
1,26,694,694,100.0,01026
2,5,125,125,100.0,02005
2,6,734,734,100.0,02006
2,7,655,655,100.0,02007
2,8,499,499,100.0,02008
2,9,704,704,100.0,02009
2,10,344,344,100.0,02010
2,11,593,593,100.0,02011
2,12,515,515,100.0,02012
2,13,694,694,100.0,02013
2,14,453,453,100.0,02014
2,15,564,564,100.0,02015
2,16,650,650,100.0,02016
2,17,930,930,100.0,02017
2,18,586,586,100.0,02018
2,19,312,312,100.0,02019
2,20,374,374,100.0,02020
2,21,122,122,100.0,02021
2,22,495,495,100.0,02022
2,23,524,524,100.0,02023
2,24,391,391,100.0,02024
2,25,603,603,100.0,02025
26,3,436,436,100.0,26003
26,7,241,241,100.0,26007
26,11,256,256,100.0,26011
26,17,378,378,100.0,26017
26,19,431,431,100.0,26019
26,20,467,467,100.0,26020
26,25,395,395,100.0,26025
26,26,443,443,100.0,26026
26,28,421,421,100.0,26028
26,30,223,223,100.0,26030
26,32,365,365,100.0,26032
27,1,430,430,100.0,27001
27,6,581,581,100.0,27006
27,7,724,724,100.0,27007
27,9,541,541,100.0,27009
27,11,514,514,100.0,27011
27,12,372,372,100.0,27012
27,13,428,428,100.0,27013
27,15,434,434,100.0,27015
27,16,444,444,100.0,27016
27,20,307,307,100.0,27020
27,21,214,214,100.0,27021
27,25,21,21,100.0,27025
27,27,114,114,100.0,27027
27,28,370,370,100.0,27028
27,29,696,696,100.0,27029
29,1,416,416,100.0,29001
29,2,357,357,100.0,29002
29,3,41,41,100.0,29003
30,1,432,432,100.0,30001
30,2,304,304,100.0,30002
30,3,419,419,100.0,30003
30,4,306,306,100.0,30004
30,6,389,389,100.0,30006
30,7,278,278,100.0,30007
30,8,199,199,100.0,30008
30,9,400,400,100.0,30009
30,10,337,337,100.0,30010
30,14,345,345,100.0,30014
30,15,555,555,100.0,30015
30,16,260,260,100.0,30016
30,17,390,390,100.0,30017
30,18,357,357,100.0,30018
30,19,224,224,100.0,30019
30,20,282,282,100.0,30020
30,21,436,436,100.0,30021
30,22,432,432,100.0,30022
30,23,465,465,100.0,30023
30,24,383,383,100.0,30024
30,25,262,262,100.0,30025
30,26,508,508,100.0,30026
31,3,113,113,100.0,31003
31,6,97,97,100.0,31006
31,7,124,124,100.0,31007
31,9,107,107,100.0,31009
31,10,227,227,100.0,31010
31,11,353,353,100.0,31011
31,12,450,450,100.0,31012
31,13,334,334,100.0,31013
31,17,96,96,100.0,31017
31,19,65,65,100.0,31019
32,1,965,965,100.0,32001
32,2,788,788,100.0,32002
32,3,560,560,100.0,32003
32,4,545,545,100.0,32004
32,5,438,438,100.0,32005
32,6,261,261,100.0,32006
32,7,568,568,100.0,32007
32,8,391,391,100.0,32008
32,9,381,381,100.0,32009
32,10,748,748,100.0,32010
32,11,479,479,100.0,32011
32,12,271,271,100.0,32012
32,13,174,174,100.0,32013
32,14,827,827,100.0,32014
32,15,815,815,100.0,32015
32,16,401,401,100.0,32016
32,17,762,762,100.0,32017
32,18,317,317,100.0,32018
32,19,361,361,100.0,32019
32,20,745,745,100.0,32020
32,21,799,799,100.0,32021
32,22,772,772,100.0,32022
32,23,505,505,100.0,32023
32,24,254,254,100.0,32024
32,25,549,549,100.0,32025
32,26,733,733,100.0,32026
32,27,776,776,100.0,32027
32,28,216,216,100.0,32028
32,29,575,575,100.0,32029
32,30,756,756,100.0,32030
33,1,808,808,100.0,33001
33,2,863,863,100.0,33002
33,3,593,593,100.0,33003
33,4,819,819,100.0,33004
33,5,660,660,100.0,33005
33,6,710,710,100.0,33006
33,7,674,674,100.0,33007
33,8,474,474,100.0,33008
33,9,489,489,100.0,33009
33,10,501,501,100.0,33010
33,11,385,385,100.0,33011
33,12,621,621,100.0,33012
33,13,523,523,100.0,33013
33,14,746,746,100.0,33014
33,15,545,545,100.0,33015
33,16,684,684,100.0,33016
33,17,637,637,100.0,33017
34,7,232,232,100.0,34007
34,9,199,199,100.0,34009
34,10,288,288,100.0,34010
34,11,230,230,100.0,34011
34,12,502,502,100.0,34012
34,13,587,587,100.0,34013
34,14,564,564,100.0,34014
34,15,194,194,100.0,34015
35,5,700,700,100.0,35005
35,6,978,978,100.0,35006
35,8,434,434,100.0,35008
35,9,813,813,100.0,35009
35,11,26,26,100.0,35011
35,12,871,871,100.0,35012
35,14,481,481,100.0,35014
35,15,637,637,100.0,35015
35,16,863,863,100.0,35016
35,17,564,564,100.0,35017
35,18,367,367,100.0,35018
35,19,526,526,100.0,35019
35,20,320,320,100.0,35020
35,21,477,477,100.0,35021
35,22,648,648,100.0,35022
36,1,243,243,100.0,36001
36,2,289,289,100.0,36002
36,3,227,227,100.0,36003
36,4,293,293,100.0,36004
36,5,54,54,100.0,36005
36,18,194,194,100.0,36018
36,19,612,612,100.0,36019
36,20,659,659,100.0,36020
36,21,225,225,100.0,36021
36,22,559,559,100.0,36022
36,23,499,499,100.0,36023
36,24,535,535,100.0,36024
36,25,602,602,100.0,36025
36,26,565,565,100.0,36026
36,27,615,615,100.0,36027
38,1,450,450,100.0,38001
38,2,280,280,100.0,38002
38,3,366,366,100.0,38003
38,4,272,272,100.0,38004
38,5,441,441,100.0,38005
38,6,320,320,100.0,38006
38,7,366,366,100.0,38007
38,8,322,322,100.0,38008
38,9,334,334,100.0,38009
38,10,292,292,100.0,38010
38,11,372,372,100.0,38011
38,12,490,490,100.0,38012
38,13,265,265,100.0,38013
38,14,336,336,100.0,38014
38,15,275,275,100.0,38015
38,16,499,499,100.0,38016
38,17,441,441,100.0,38017
38,18,544,544,100.0,38018
38,19,567,567,100.0,38019
38,20,459,459,100.0,38020
38,21,601,601,100.0,38021
38,22,399,399,100.0,38022
38,23,568,568,100.0,38023
38,24,544,544,100.0,38024
38,25,675,675,100.0,38025
39,1,442,442,100.0,39001
39,2,215,215,100.0,39002
39,3,369,369,100.0,39003
39,4,452,452,100.0,39004
39,5,340,340,100.0,39005
39,6,266,266,100.0,39006
39,7,267,267,100.0,39007
39,8,268,268,100.0,39008
39,9,229,229,100.0,39009
39,10,358,358,100.0,39010
39,11,254,254,100.0,39011
39,12,427,427,100.0,39012
39,13,624,624,100.0,39013
39,14,545,545,100.0,39014
39,15,498,498,100.0,39015
39,16,295,295,100.0,39016
39,17,616,616,100.0,39017
39,18,261,261,100.0,39018
39,19,678,678,100.0,39019
39,20,348,348,100.0,39020
39,21,575,575,100.0,39021
39,22,251,251,100.0,39022
39,23,60,60,100.0,39023
39,24,428,428,100.0,39024
39,25,314,314,100.0,39025
39,26,262,262,100.0,39026
39,27,244,244,100.0,39027
39,28,295,295,100.0,39028
39,29,118,118,100.0,39029
39,30,240,240,100.0,39030
39,31,275,275,100.0,39031
39,32,615,615,100.0,39032
39,33,247,247,100.0,39033
39,34,268,268,100.0,39034
39,35,502,502,100.0,39035
40,1,497,497,100.0,40001
40,2,547,547,100.0,40002
40,3,495,495,100.0,40003
40,4,482,482,100.0,40004
40,5,397,397,100.0,40005
40,6,464,464,100.0,40006
40,7,512,512,100.0,40007
40,8,313,313,100.0,40008
40,9,596,596,100.0,40009
40,10,911,911,100.0,40010
40,11,560,560,100.0,40011
40,12,633,633,100.0,40012
40,13,653,653,100.0,40013
40,14,879,879,100.0,40014
