ward,precinct,total,Matthew J. Schultz,Matthew J. Schultz Percent,precinct_id
13,10,12,7,58.33,13010
13,23,3,1,33.33,13023
13,37,3,3,100.0,13037
23,1,311,179,57.56,23001
23,2,547,298,54.48,23002
23,3,333,177,53.15,23003
23,4,261,151,57.85,23004
23,5,450,249,55.33,23005
23,6,255,138,54.12,23006
23,8,85,54,63.53,23008
