ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,Leonard Griffin,Leonard Griffin Percent,precinct_id
3,3,495,444,89.7,51,10.3,03003
3,5,131,118,90.08,13,9.92,03005
3,13,895,737,82.35,158,17.65,03013
3,17,197,183,92.89,14,7.11,03017
3,18,235,227,96.6,8,3.4,03018
3,24,15,15,100.0,0,0.0,03024
4,26,862,737,85.5,125,14.5,04026
4,28,971,864,88.98,107,11.02,04028
6,1,216,209,96.76,7,3.24,06001
6,2,281,264,93.95,17,6.05,06002
6,5,92,91,98.91,1,1.09,06005
6,6,325,308,94.77,17,5.23,06006
6,7,5,5,100.0,0,0.0,06007
11,1,6,4,66.67,2,33.33,11001
11,10,110,54,49.09,56,50.91,11010
11,11,94,60,63.83,34,36.17,11011
11,12,202,109,53.96,93,46.04,11012
11,22,542,300,55.35,242,44.65,11022
15,1,313,148,47.28,165,52.72,15001
15,2,446,201,45.07,245,54.93,15002
15,3,157,86,54.78,71,45.22,15003
15,6,159,130,81.76,29,18.24,15006
15,7,63,50,79.37,13,20.63,15007
15,9,0,0,0.0,0,0.0,15009
15,10,116,106,91.38,10,8.62,15010
15,17,415,393,94.7,22,5.3,15017
15,18,294,278,94.56,16,5.44,15018
15,19,180,167,92.78,13,7.22,15019
16,1,357,331,92.72,26,7.28,16001
16,2,226,210,92.92,16,7.08,16002
16,3,285,277,97.19,8,2.81,16003
16,5,394,383,97.21,11,2.79,16005
16,6,373,359,96.25,14,3.75,16006
16,7,209,194,92.82,15,7.18,16007
16,8,159,145,91.19,14,8.81,16008
16,9,360,350,97.22,10,2.78,16009
16,10,251,241,96.02,10,3.98,16010
16,11,191,185,96.86,6,3.14,16011
16,12,107,98,91.59,9,8.41,16012
16,13,159,153,96.23,6,3.77,16013
16,15,337,323,95.85,14,4.15,16015
16,16,258,248,96.12,10,3.88,16016
16,17,442,413,93.44,29,6.56,16017
16,18,413,384,92.98,29,7.02,16018
16,19,318,296,93.08,22,6.92,16019
16,20,219,213,97.26,6,2.74,16020
16,21,232,221,95.26,11,4.74,16021
16,22,172,154,89.53,18,10.47,16022
16,23,83,74,89.16,9,10.84,16023
16,24,268,256,95.52,12,4.48,16024
16,25,131,122,93.13,9,6.87,16025
20,1,241,215,89.21,26,10.79,20001
20,2,138,107,77.54,31,22.46,20002
20,3,163,152,93.25,11,6.75,20003
20,4,134,126,94.03,8,5.97,20004
20,5,261,251,96.17,10,3.83,20005
20,6,49,48,97.96,1,2.04,20006
20,8,117,108,92.31,9,7.69,20008
20,23,225,211,93.78,14,6.22,20023
34,14,170,128,75.29,42,24.71,34014
34,15,577,475,82.32,102,17.68,34015
34,16,906,795,87.75,111,12.25,34016
34,17,819,735,89.74,84,10.26,34017
34,19,10,8,80.0,2,20.0,34019
42,11,397,335,84.38,62,15.62,42011
42,14,255,217,85.1,38,14.9,42014
42,15,280,190,67.86,90,32.14,42015
