ward,precinct,total,Michael W. Frerichs,Michael W. Frerichs Percent,Tom Demmer,Tom Demmer Percent,Preston Nelson,Preston Nelson Percent,precinct_id
1,1,867,783,90.31,69,7.96,15,1.73,01001
1,2,872,776,88.99,84,9.63,12,1.38,01002
1,3,954,833,87.32,99,10.38,22,2.31,01003
1,4,836,773,92.46,48,5.74,15,1.79,01004
1,5,893,807,90.37,68,7.61,18,2.02,01005
1,6,763,671,87.94,81,10.62,11,1.44,01006
1,7,907,825,90.96,67,7.39,15,1.65,01007
1,8,805,713,88.57,71,8.82,21,2.61,01008
1,9,455,373,81.98,63,13.85,19,4.18,01009
1,10,1078,942,87.38,117,10.85,19,1.76,01010
1,11,831,729,87.73,87,10.47,15,1.81,01011
1,12,403,341,84.62,44,10.92,18,4.47,01012
1,13,591,531,89.85,54,9.14,6,1.02,01013
1,14,552,461,83.51,69,12.5,22,3.99,01014
1,15,908,784,86.34,108,11.89,16,1.76,01015
1,16,915,797,87.1,108,11.8,10,1.09,01016
1,17,572,500,87.41,62,10.84,10,1.75,01017
1,18,806,708,87.84,85,10.55,13,1.61,01018
1,19,747,620,83.0,111,14.86,16,2.14,01019
1,20,740,630,85.14,99,13.38,11,1.49,01020
1,21,735,620,84.35,99,13.47,16,2.18,01021
1,22,1009,851,84.34,138,13.68,20,1.98,01022
1,23,493,415,84.18,65,13.18,13,2.64,01023
1,24,1046,894,85.47,137,13.1,15,1.43,01024
1,25,957,792,82.76,135,14.11,30,3.13,01025
1,26,913,730,79.96,165,18.07,18,1.97,01026
2,1,847,615,72.61,213,25.15,19,2.24,02001
2,2,1052,819,77.85,219,20.82,14,1.33,02002
2,3,645,499,77.36,133,20.62,13,2.02,02003
2,4,700,543,77.57,145,20.71,12,1.71,02004
2,5,720,518,71.94,188,26.11,14,1.94,02005
2,6,1020,781,76.57,231,22.65,8,0.78,02006
2,7,923,658,71.29,250,27.09,15,1.63,02007
2,8,720,516,71.67,190,26.39,14,1.94,02008
2,9,988,716,72.47,253,25.61,19,1.92,02009
2,10,498,340,68.27,141,28.31,17,3.41,02010
2,11,764,586,76.7,165,21.6,13,1.7,02011
2,12,670,495,73.88,158,23.58,17,2.54,02012
2,13,950,657,69.16,277,29.16,16,1.68,02013
2,14,566,430,75.97,122,21.55,14,2.47,02014
2,15,783,563,71.9,208,26.56,12,1.53,02015
2,16,866,631,72.86,223,25.75,12,1.39,02016
2,17,1234,942,76.34,267,21.64,25,2.03,02017
2,18,757,548,72.39,195,25.76,14,1.85,02018
2,19,405,305,75.31,94,23.21,6,1.48,02019
2,20,527,366,69.45,151,28.65,10,1.9,02020
2,21,172,118,68.6,51,29.65,3,1.74,02021
2,22,622,478,76.85,126,20.26,18,2.89,02022
2,23,681,524,76.95,141,20.7,16,2.35,02023
2,24,538,392,72.86,137,25.46,9,1.67,02024
2,25,827,620,74.97,189,22.85,18,2.18,02025
3,1,702,654,93.16,34,4.84,14,1.99,03001
3,2,700,666,95.14,15,2.14,19,2.71,03002
3,3,502,446,88.84,46,9.16,10,1.99,03003
3,4,521,488,93.67,19,3.65,14,2.69,03004
3,5,129,115,89.15,7,5.43,7,5.43,03005
3,6,734,640,87.19,79,10.76,15,2.04,03006
3,7,372,343,92.2,17,4.57,12,3.23,03007
3,8,545,505,92.66,19,3.49,21,3.85,03008
3,9,439,388,88.38,45,10.25,6,1.37,03009
3,10,491,398,81.06,84,17.11,9,1.83,03010
3,11,747,690,92.37,35,4.69,22,2.95,03011
3,12,698,663,94.99,21,3.01,14,2.01,03012
3,13,919,743,80.85,163,17.74,13,1.41,03013
3,14,965,776,80.41,167,17.31,22,2.28,03014
3,15,570,526,92.28,24,4.21,20,3.51,03015
3,16,381,345,90.55,26,6.82,10,2.62,03016
3,17,208,191,91.83,10,4.81,7,3.37,03017
3,18,243,227,93.42,12,4.94,4,1.65,03018
3,19,1020,793,77.75,213,20.88,14,1.37,03019
3,20,647,596,92.12,27,4.17,24,3.71,03020
3,21,629,539,85.69,74,11.76,16,2.54,03021
3,22,513,458,89.28,39,7.6,16,3.12,03022
3,23,343,295,86.01,27,7.87,21,6.12,03023
3,24,133,128,96.24,3,2.26,2,1.5,03024
3,25,1006,796,79.13,192,19.09,18,1.79,03025
3,26,323,294,91.02,20,6.19,9,2.79,03026
3,27,842,656,77.91,169,20.07,17,2.02,03027
4,1,898,831,92.54,53,5.9,14,1.56,04001
4,2,349,321,91.98,19,5.44,9,2.58,04002
4,3,613,575,93.8,27,4.4,11,1.79,04003
4,4,714,670,93.84,27,3.78,17,2.38,04004
4,5,342,321,93.86,9,2.63,12,3.51,04005
4,6,493,454,92.09,23,4.67,16,3.25,04006
4,7,366,338,92.35,21,5.74,7,1.91,04007
4,8,501,476,95.01,13,2.59,12,2.4,04008
4,9,529,497,93.95,18,3.4,14,2.65,04009
4,10,487,465,95.48,12,2.46,10,2.05,04010
4,11,670,619,92.39,30,4.48,21,3.13,04011
4,12,426,390,91.55,23,5.4,13,3.05,04012
4,13,443,401,90.52,21,4.74,21,4.74,04013
4,14,429,399,93.01,21,4.9,9,2.1,04014
4,15,387,358,92.51,13,3.36,16,4.13,04015
4,16,554,526,94.95,15,2.71,13,2.35,04016
4,17,758,714,94.2,22,2.9,22,2.9,04017
4,18,254,240,94.49,9,3.54,5,1.97,04018
4,19,486,451,92.8,19,3.91,16,3.29,04019
4,20,693,656,94.66,23,3.32,14,2.02,04020
4,21,433,400,92.38,23,5.31,10,2.31,04021
4,22,223,209,93.72,8,3.59,6,2.69,04022
4,23,406,365,89.9,33,8.13,8,1.97,04023
4,24,818,763,93.28,45,5.5,10,1.22,04024
4,25,990,827,83.54,138,13.94,25,2.53,04025
4,26,878,750,85.42,113,12.87,15,1.71,04026
4,27,914,802,87.75,92,10.07,20,2.19,04027
4,28,986,854,86.61,105,10.65,27,2.74,04028
5,1,688,639,92.88,28,4.07,21,3.05,05001
5,2,761,718,94.35,33,4.34,10,1.31,05002
5,3,710,667,93.94,22,3.1,21,2.96,05003
5,4,585,539,92.14,29,4.96,17,2.91,05004
5,5,338,317,93.79,16,4.73,5,1.48,05005
5,6,304,283,93.09,13,4.28,8,2.63,05006
5,7,168,152,90.48,7,4.17,9,5.36,05007
5,8,211,194,91.94,9,4.27,8,3.79,05008
5,9,199,187,93.97,8,4.02,4,2.01,05009
5,10,351,324,92.31,16,4.56,11,3.13,05010
5,11,450,425,94.44,9,2.0,16,3.56,05011
5,12,787,738,93.77,39,4.96,10,1.27,05012
5,13,331,300,90.63,18,5.44,13,3.93,05013
5,14,374,354,94.65,8,2.14,12,3.21,05014
5,15,1097,1029,93.8,50,4.56,18,1.64,05015
5,16,668,616,92.22,38,5.69,14,2.1,05016
5,17,498,466,93.57,24,4.82,8,1.61,05017
5,18,1032,961,93.12,53,5.14,18,1.74,05018
5,19,447,419,93.74,18,4.03,10,2.24,05019
5,20,736,699,94.97,28,3.8,9,1.22,05020
5,21,658,604,91.79,44,6.69,10,1.52,05021
5,22,761,713,93.69,32,4.2,16,2.1,05022
5,23,421,386,91.69,24,5.7,11,2.61,05023
5,24,476,418,87.82,48,10.08,10,2.1,05024
5,25,1097,1004,91.52,71,6.47,22,2.01,05025
6,1,226,214,94.69,8,3.54,4,1.77,06001
6,2,286,264,92.31,6,2.1,16,5.59,06002
6,3,85,80,94.12,4,4.71,1,1.18,06003
6,4,207,195,94.2,5,2.42,7,3.38,06004
6,5,372,344,92.47,11,2.96,17,4.57,06005
6,6,338,312,92.31,14,4.14,12,3.55,06006
6,7,410,385,93.9,18,4.39,7,1.71,06007
6,8,320,300,93.75,11,3.44,9,2.81,06008
6,9,637,606,95.13,19,2.98,12,1.88,06009
6,10,379,360,94.99,8,2.11,11,2.9,06010
6,11,206,191,92.72,9,4.37,6,2.91,06011
6,12,426,410,96.24,11,2.58,5,1.17,06012
6,13,553,518,93.67,18,3.25,17,3.07,06013
6,14,539,510,94.62,18,3.34,11,2.04,06014
6,15,573,534,93.19,23,4.01,16,2.79,06015
6,16,334,317,94.91,7,2.1,10,2.99,06016
6,17,653,622,95.25,18,2.76,13,1.99,06017
6,18,704,672,95.45,17,2.41,15,2.13,06018
6,19,488,456,93.44,15,3.07,17,3.48,06019
6,20,809,768,94.93,28,3.46,13,1.61,06020
6,21,570,547,95.96,13,2.28,10,1.75,06021
6,22,820,775,94.51,12,1.46,33,4.02,06022
6,23,730,700,95.89,13,1.78,17,2.33,06023
6,24,668,630,94.31,22,3.29,16,2.4,06024
6,25,502,483,96.22,10,1.99,9,1.79,06025
6,26,843,806,95.61,21,2.49,16,1.9,06026
6,27,770,735,95.45,19,2.47,16,2.08,06027
7,1,585,546,93.33,20,3.42,19,3.25,07001
7,2,745,715,95.97,22,2.95,8,1.07,07002
7,3,417,387,92.81,13,3.12,17,4.08,07003
7,4,556,489,87.95,46,8.27,21,3.78,07004
7,5,649,602,92.76,31,4.78,16,2.47,07005
7,6,190,174,91.58,12,6.32,4,2.11,07006
7,7,450,422,93.78,20,4.44,8,1.78,07007
7,8,262,253,96.56,6,2.29,3,1.15,07008
7,9,429,399,93.01,15,3.5,15,3.5,07009
7,10,591,558,94.42,13,2.2,20,3.38,07010
7,11,536,519,96.83,9,1.68,8,1.49,07011
7,12,613,589,96.08,13,2.12,11,1.79,07012
7,13,452,411,90.93,20,4.42,21,4.65,07013
7,14,412,380,92.23,20,4.85,12,2.91,07014
7,15,567,527,92.95,13,2.29,27,4.76,07015
7,16,204,189,92.65,9,4.41,6,2.94,07016
7,17,160,150,93.75,5,3.13,5,3.13,07017
7,18,94,84,89.36,7,7.45,3,3.19,07018
7,19,742,697,93.94,28,3.77,17,2.29,07019
7,20,383,358,93.47,12,3.13,13,3.39,07020
7,21,304,293,96.38,7,2.3,4,1.32,07021
7,22,382,366,95.81,10,2.62,6,1.57,07022
7,23,255,238,93.33,11,4.31,6,2.35,07023
7,24,70,65,92.86,2,2.86,3,4.29,07024
7,25,411,390,94.89,12,2.92,9,2.19,07025
7,26,575,541,94.09,22,3.83,12,2.09,07026
7,27,346,330,95.38,7,2.02,9,2.6,07027
7,28,208,204,98.08,2,0.96,2,0.96,07028
7,29,307,292,95.11,11,3.58,4,1.3,07029
7,30,278,269,96.76,6,2.16,3,1.08,07030
7,31,131,121,92.37,7,5.34,3,2.29,07031
8,1,606,560,92.41,25,4.13,21,3.47,08001
8,2,307,287,93.49,13,4.23,7,2.28,08002
8,3,249,240,96.39,3,1.2,6,2.41,08003
8,4,574,546,95.12,14,2.44,14,2.44,08004
8,5,393,379,96.44,7,1.78,7,1.78,08005
8,6,688,648,94.19,21,3.05,19,2.76,08006
8,7,398,377,94.72,13,3.27,8,2.01,08007
8,8,811,779,96.05,22,2.71,10,1.23,08008
8,9,549,520,94.72,20,3.64,9,1.64,08009
8,10,596,564,94.63,17,2.85,15,2.52,08010
8,11,498,472,94.78,14,2.81,12,2.41,08011
8,12,563,543,96.45,14,2.49,6,1.07,08012
8,13,534,515,96.44,11,2.06,8,1.5,08013
8,14,615,584,94.96,16,2.6,15,2.44,08014
8,15,464,433,93.32,17,3.66,14,3.02,08015
8,16,422,406,96.21,7,1.66,9,2.13,08016
8,17,701,674,96.15,14,2.0,13,1.85,08017
8,18,949,921,97.05,10,1.05,18,1.9,08018
8,19,747,697,93.31,29,3.88,21,2.81,08019
8,20,352,330,93.75,9,2.56,13,3.69,08020
8,21,379,351,92.61,17,4.49,11,2.9,08021
8,22,279,263,94.27,12,4.3,4,1.43,08022
8,23,806,765,94.91,23,2.85,18,2.23,08023
8,24,515,493,95.73,11,2.14,11,2.14,08024
8,25,220,212,96.36,5,2.27,3,1.36,08025
8,26,428,399,93.22,16,3.74,13,3.04,08026
8,27,561,531,94.65,18,3.21,12,2.14,08027
8,28,373,355,95.17,5,1.34,13,3.49,08028
8,29,543,516,95.03,18,3.31,9,1.66,08029
8,30,476,449,94.33,14,2.94,13,2.73,08030
9,1,615,577,93.82,17,2.76,21,3.41,09001
9,2,438,423,96.58,12,2.74,3,0.68,09002
9,3,210,192,91.43,8,3.81,10,4.76,09003
9,4,442,420,95.02,12,2.71,10,2.26,09004
9,5,450,421,93.56,15,3.33,14,3.11,09005
9,6,736,694,94.29,27,3.67,15,2.04,09006
9,7,600,562,93.67,24,4.0,14,2.33,09007
9,8,588,564,95.92,13,2.21,11,1.87,09008
9,9,370,341,92.16,19,5.14,10,2.7,09009
9,10,688,654,95.06,17,2.47,17,2.47,09010
9,11,245,234,95.51,7,2.86,4,1.63,09011
9,12,629,595,94.59,14,2.23,20,3.18,09012
9,13,590,553,93.73,23,3.9,14,2.37,09013
9,14,340,319,93.82,8,2.35,13,3.82,09014
9,15,471,444,94.27,16,3.4,11,2.34,09015
9,16,644,598,92.86,27,4.19,19,2.95,09016
9,17,193,178,92.23,10,5.18,5,2.59,09017
9,18,332,311,93.67,14,4.22,7,2.11,09018
9,19,263,242,92.02,12,4.56,9,3.42,09019
9,20,504,429,85.12,59,11.71,16,3.17,09020
9,21,556,518,93.17,16,2.88,22,3.96,09021
9,22,400,368,92.0,19,4.75,13,3.25,09022
9,23,325,309,95.08,6,1.85,10,3.08,09023
9,24,491,462,94.09,17,3.46,12,2.44,09024
9,25,372,347,93.28,16,4.3,9,2.42,09025
9,26,534,514,96.25,11,2.06,9,1.69,09026
9,27,307,294,95.77,7,2.28,6,1.95,09027
9,28,249,232,93.17,11,4.42,6,2.41,09028
9,29,712,681,95.65,16,2.25,15,2.11,09029
9,30,598,564,94.31,17,2.84,17,2.84,09030
10,1,151,137,90.73,9,5.96,5,3.31,10001
10,2,195,173,88.72,15,7.69,7,3.59,10002
10,3,304,264,86.84,30,9.87,10,3.29,10003
10,4,370,333,90.0,25,6.76,12,3.24,10004
10,5,137,99,72.26,32,23.36,6,4.38,10005
10,6,177,150,84.75,24,13.56,3,1.69,10006
10,7,335,253,75.52,78,23.28,4,1.19,10007
10,8,310,229,73.87,78,25.16,3,0.97,10008
10,9,348,283,81.32,48,13.79,17,4.89,10009
10,10,364,286,78.57,68,18.68,10,2.75,10010
10,11,128,102,79.69,23,17.97,3,2.34,10011
10,12,337,280,83.09,49,14.54,8,2.37,10012
10,13,400,290,72.5,97,24.25,13,3.25,10013
10,14,531,374,70.43,137,25.8,20,3.77,10014
10,15,433,305,70.44,118,27.25,10,2.31,10015
10,16,549,401,73.04,139,25.32,9,1.64,10016
10,17,495,333,67.27,153,30.91,9,1.82,10017
10,18,598,366,61.2,215,35.95,17,2.84,10018
10,19,390,250,64.1,124,31.79,16,4.1,10019
10,20,225,162,72.0,56,24.89,7,3.11,10020
10,21,293,186,63.48,103,35.15,4,1.37,10021
10,22,561,328,58.47,225,40.11,8,1.43,10022
10,23,345,302,87.54,31,8.99,12,3.48,10023
10,24,181,173,95.58,4,2.21,4,2.21,10024
10,25,272,247,90.81,15,5.51,10,3.68,10025
11,1,208,163,78.37,37,17.79,8,3.85,11001
11,2,90,73,81.11,15,16.67,2,2.22,11002
11,3,599,394,65.78,190,31.72,15,2.5,11003
11,4,400,295,73.75,94,23.5,11,2.75,11004
11,5,437,296,67.73,132,30.21,9,2.06,11005
11,6,525,397,75.62,115,21.9,13,2.48,11006
11,7,332,236,71.08,83,25.0,13,3.92,11007
11,8,550,317,57.64,216,39.27,17,3.09,11008
11,9,552,349,63.22,189,34.24,14,2.54,11009
11,10,117,52,44.44,62,52.99,3,2.56,11010
11,11,97,63,64.95,33,34.02,1,1.03,11011
11,12,214,116,54.21,91,42.52,7,3.27,11012
11,13,504,324,64.29,170,33.73,10,1.98,11013
11,14,895,620,69.27,257,28.72,18,2.01,11014
11,15,624,511,81.89,92,14.74,21,3.37,11015
11,16,768,592,77.08,161,20.96,15,1.95,11016
11,17,358,239,66.76,109,30.45,10,2.79,11017
11,18,493,368,74.65,110,22.31,15,3.04,11018
11,19,166,111,66.87,46,27.71,9,5.42,11019
11,20,496,353,71.17,134,27.02,9,1.81,11020
11,21,809,501,61.93,293,36.22,15,1.85,11021
11,22,563,306,54.35,245,43.52,12,2.13,11022
11,23,580,365,62.93,202,34.83,13,2.24,11023
12,1,299,218,72.91,68,22.74,13,4.35,12001
12,2,215,171,79.53,35,16.28,9,4.19,12002
12,3,411,323,78.59,78,18.98,10,2.43,12003
12,4,333,262,78.68,58,17.42,13,3.9,12004
12,5,338,251,74.26,71,21.01,16,4.73,12005
12,6,300,231,77.0,60,20.0,9,3.0,12006
12,7,303,236,77.89,59,19.47,8,2.64,12007
12,8,285,220,77.19,56,19.65,9,3.16,12008
12,9,162,120,74.07,37,22.84,5,3.09,12009
12,10,316,224,70.89,81,25.63,11,3.48,12010
12,11,243,192,79.01,35,14.4,16,6.58,12011
12,12,208,152,73.08,43,20.67,13,6.25,12012
12,13,239,177,74.06,46,19.25,16,6.69,12013
12,14,271,211,77.86,45,16.61,15,5.54,12014
12,15,279,208,74.55,58,20.79,13,4.66,12015
12,16,319,225,70.53,86,26.96,8,2.51,12016
12,17,276,216,78.26,50,18.12,10,3.62,12017
12,18,328,261,79.57,55,16.77,12,3.66,12018
12,19,172,139,80.81,27,15.7,6,3.49,12019
12,20,238,195,81.93,31,13.03,12,5.04,12020
12,21,249,194,77.91,48,19.28,7,2.81,12021
12,22,226,174,76.99,42,18.58,10,4.42,12022
13,1,269,195,72.49,67,24.91,7,2.6,13001
13,2,313,217,69.33,88,28.12,8,2.56,13002
13,3,489,236,48.26,241,49.28,12,2.45,13003
13,4,354,271,76.55,73,20.62,10,2.82,13004
13,5,326,191,58.59,124,38.04,11,3.37,13005
13,6,347,194,55.91,148,42.65,5,1.44,13006
13,7,313,180,57.51,128,40.89,5,1.6,13007
13,8,422,292,69.19,117,27.73,13,3.08,13008
13,9,510,272,53.33,231,45.29,7,1.37,13009
13,10,492,241,48.98,242,49.19,9,1.83,13010
13,11,265,161,60.75,100,37.74,4,1.51,13011
13,12,243,179,73.66,53,21.81,11,4.53,13012
13,13,337,179,53.12,150,44.51,8,2.37,13013
13,14,320,193,60.31,122,38.13,5,1.56,13014
13,15,320,165,51.56,148,46.25,7,2.19,13015
13,16,372,262,70.43,99,26.61,11,2.96,13016
13,17,401,302,75.31,86,21.45,13,3.24,13017
13,18,279,196,70.25,78,27.96,5,1.79,13018
13,19,263,126,47.91,131,49.81,6,2.28,13019
13,20,408,229,56.13,164,40.2,15,3.68,13020
13,21,333,178,53.45,146,43.84,9,2.7,13021
13,22,397,289,72.8,99,24.94,9,2.27,13022
13,23,443,198,44.7,233,52.6,12,2.71,13023
13,24,317,198,62.46,111,35.02,8,2.52,13024
13,25,309,224,72.49,73,23.62,12,3.88,13025
13,26,261,189,72.41,62,23.75,10,3.83,13026
13,27,207,145,70.05,58,28.02,4,1.93,13027
13,28,269,203,75.46,55,20.45,11,4.09,13028
13,29,246,184,74.8,57,23.17,5,2.03,13029
13,30,403,202,50.12,194,48.14,7,1.74,13030
13,31,281,128,45.55,143,50.89,10,3.56,13031
13,32,270,160,59.26,101,37.41,9,3.33,13032
13,33,328,205,62.5,115,35.06,8,2.44,13033
13,34,445,232,52.13,202,45.39,11,2.47,13034
13,35,516,300,58.14,203,39.34,13,2.52,13035
13,36,186,146,78.49,36,19.35,4,2.15,13036
13,37,446,196,43.95,242,54.26,8,1.79,13037
13,38,225,150,66.67,69,30.67,6,2.67,13038
13,39,419,201,47.97,205,48.93,13,3.1,13039
13,40,356,197,55.34,153,42.98,6,1.69,13040
14,1,481,385,80.04,85,17.67,11,2.29,14001
14,2,301,225,74.75,66,21.93,10,3.32,14002
14,3,203,164,80.79,34,16.75,5,2.46,14003
14,4,99,83,83.84,11,11.11,5,5.05,14004
14,5,345,288,83.48,44,12.75,13,3.77,14005
14,6,436,374,85.78,55,12.61,7,1.61,14006
14,7,466,316,67.81,138,29.61,12,2.58,14007
14,8,418,306,73.21,95,22.73,17,4.07,14008
14,9,434,336,77.42,79,18.2,19,4.38,14009
14,10,406,330,81.28,59,14.53,17,4.19,14010
14,11,446,360,80.72,74,16.59,12,2.69,14011
14,12,286,228,79.72,43,15.03,15,5.24,14012
14,13,513,385,75.05,114,22.22,14,2.73,14013
14,14,241,194,80.5,38,15.77,9,3.73,14014
14,15,250,191,76.4,43,17.2,16,6.4,14015
15,1,331,151,45.62,173,52.27,7,2.11,15001
15,2,458,209,45.63,231,50.44,18,3.93,15002
15,3,163,90,55.21,69,42.33,4,2.45,15003
15,4,215,175,81.4,32,14.88,8,3.72,15004
15,5,233,187,80.26,34,14.59,12,5.15,15005
15,6,286,230,80.42,48,16.78,8,2.8,15006
15,7,205,156,76.1,39,19.02,10,4.88,15007
15,8,249,215,86.35,30,12.05,4,1.61,15008
15,9,277,208,75.09,58,20.94,11,3.97,15009
15,10,218,190,87.16,19,8.72,9,4.13,15010
