ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,Anthony Curran,Anthony Curran Percent,precinct_id
1,1,869,785,90.33,84,9.67,01001
1,2,868,784,90.32,84,9.68,01002
1,3,946,836,88.37,110,11.63,01003
1,4,836,789,94.38,47,5.62,01004
1,5,889,824,92.69,65,7.31,01005
1,6,761,682,89.62,79,10.38,01006
1,7,908,837,92.18,71,7.82,01007
1,9,444,385,86.71,59,13.29,01009
26,3,258,237,91.86,21,8.14,26003
30,2,57,45,78.95,12,21.05,30002
30,7,339,273,80.53,66,19.47,30007
30,9,515,371,72.04,144,27.96,30009
30,12,123,84,68.29,39,31.71,30012
30,14,422,307,72.75,115,27.25,30014
30,17,513,413,80.51,100,19.49,30017
30,19,276,220,79.71,56,20.29,30019
30,24,515,402,78.06,113,21.94,30024
31,1,356,296,83.15,60,16.85,31001
31,3,263,189,71.86,74,28.14,31003
31,4,27,24,88.89,3,11.11,31004
31,5,366,303,82.79,63,17.21,31005
31,6,278,235,84.53,43,15.47,31006
31,7,344,286,83.14,58,16.86,31007
31,8,471,383,81.32,88,18.68,31008
31,9,306,226,73.86,80,26.14,31009
31,10,487,414,85.01,73,14.99,31010
31,11,466,350,75.11,116,24.89,31011
31,12,557,442,79.35,115,20.65,31012
31,13,380,319,83.95,61,16.05,31013
31,14,405,328,80.99,77,19.01,31014
31,15,188,137,72.87,51,27.13,31015
31,16,231,178,77.06,53,22.94,31016
31,17,337,264,78.34,73,21.66,31017
31,18,293,229,78.16,64,21.84,31018
31,19,339,270,79.65,69,20.35,31019
31,20,171,131,76.61,40,23.39,31020
31,21,346,280,80.92,66,19.08,31021
32,19,78,67,85.9,11,14.1,32019
32,21,939,826,87.97,113,12.03,32021
32,22,945,824,87.2,121,12.8,32022
32,23,331,280,84.59,51,15.41,32023
32,24,345,259,75.07,86,24.93,32024
32,28,288,236,81.94,52,18.06,32028
32,29,374,320,85.56,54,14.44,32029
35,6,1186,1096,92.41,90,7.59,35006
35,9,975,904,92.72,71,7.28,35009
35,10,586,536,91.47,50,8.53,35010
35,11,777,712,91.63,65,8.37,35011
35,12,1024,933,91.11,91,8.89,35012
35,14,551,508,92.2,43,7.8,35014
35,15,818,714,87.29,104,12.71,35015
45,28,193,145,75.13,48,24.87,45028
