ward,precinct,total,Brandon Johnson,Brandon Johnson Percent,James Humay,James Humay Percent,precinct_id
1,8,699,642,91.85,57,8.15,01008
1,9,423,373,88.18,50,11.82,01009
1,10,1011,919,90.9,92,9.1,01010
1,11,780,715,91.67,65,8.33,01011
1,12,366,337,92.08,29,7.92,01012
1,13,552,506,91.67,46,8.33,01013
24,1,129,127,98.45,2,1.55,24001
26,20,518,483,93.24,35,6.76,26020
26,25,427,395,92.51,32,7.49,26025
26,26,498,458,91.97,40,8.03,26026
26,27,224,205,91.52,19,8.48,26027
27,3,351,339,96.58,12,3.42,27003
27,5,313,297,94.89,16,5.11,27005
27,8,192,181,94.27,11,5.73,27008
27,19,177,165,93.22,12,6.78,27019
27,23,307,292,95.11,15,4.89,27023
27,24,175,168,96.0,7,4.0,27024
27,25,427,396,92.74,31,7.26,27025
27,27,39,34,87.18,5,12.82,27027
28,1,269,260,96.65,9,3.35,28001
28,2,271,264,97.42,7,2.58,28002
28,3,85,79,92.94,6,7.06,28003
28,4,225,211,93.78,14,6.22,28004
28,5,232,227,97.84,5,2.16,28005
28,6,413,392,94.92,21,5.08,28006
28,7,189,177,93.65,12,6.35,28007
28,8,53,50,94.34,3,5.66,28008
28,18,351,342,97.44,9,2.56,28018
28,19,271,265,97.79,6,2.21,28019
28,20,92,92,100.0,0,0.0,28020
28,21,309,295,95.47,14,4.53,28021
28,22,172,168,97.67,4,2.33,28022
28,23,336,322,95.83,14,4.17,28023
28,24,179,173,96.65,6,3.35,28024
28,25,510,498,97.65,12,2.35,28025
28,26,166,160,96.39,6,3.61,28026
29,4,284,223,78.52,61,21.48,29004
29,5,385,331,85.97,54,14.03,29005
29,6,195,171,87.69,24,12.31,29006
29,7,628,543,86.46,85,13.54,29007
29,8,903,823,91.14,80,8.86,29008
29,9,359,349,97.21,10,2.79,29009
29,10,521,500,95.97,21,4.03,29010
29,11,449,431,95.99,18,4.01,29011
29,12,592,567,95.78,25,4.22,29012
29,13,584,565,96.75,19,3.25,29013
29,14,502,475,94.62,27,5.38,29014
29,15,472,460,97.46,12,2.54,29015
29,16,534,519,97.19,15,2.81,29016
29,17,358,347,96.93,11,3.07,29017
29,18,491,471,95.93,20,4.07,29018
29,19,563,545,96.8,18,3.2,29019
29,20,323,315,97.52,8,2.48,29020
29,21,398,366,91.96,32,8.04,29021
29,22,562,549,97.69,13,2.31,29022
29,23,529,510,96.41,19,3.59,29023
29,24,410,398,97.07,12,2.93,29024
32,29,669,578,86.4,91,13.6,32029
32,30,846,756,89.36,90,10.64,32030
36,16,92,79,85.87,13,14.13,36016
36,17,450,415,92.22,35,7.78,36017
36,18,500,453,90.6,47,9.4,36018
36,19,680,623,91.62,57,8.38,36019
36,20,740,664,89.73,76,10.27,36020
36,21,511,414,81.02,97,18.98,36021
36,22,644,592,91.93,52,8.07,36022
36,23,572,497,86.89,75,13.11,36023
36,25,677,588,86.85,89,13.15,36025
37,1,423,388,91.73,35,8.27,37001
37,2,13,12,92.31,1,7.69,37002
37,3,394,381,96.7,13,3.3,37003
37,4,426,408,95.77,18,4.23,37004
37,5,299,284,94.98,15,5.02,37005
37,6,528,514,97.35,14,2.65,37006
37,7,383,356,92.95,27,7.05,37007
37,8,513,504,98.25,9,1.75,37008
37,9,212,204,96.23,8,3.77,37009
37,10,359,341,94.99,18,5.01,37010
37,11,367,356,97.0,11,3.0,37011
37,12,493,470,95.33,23,4.67,37012
37,13,298,285,95.64,13,4.36,37013
37,14,504,490,97.22,14,2.78,37014
37,15,462,448,96.97,14,3.03,37015
37,16,481,459,95.43,22,4.57,37016
37,17,296,290,97.97,6,2.03,37017
37,18,383,362,94.52,21,5.48,37018
37,19,284,268,94.37,16,5.63,37019
37,20,518,495,95.56,23,4.44,37020
37,21,313,300,95.85,13,4.15,37021
37,22,206,189,91.75,17,8.25,37022
