ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
18,7,629,587,93.32,39,6.2,3,0.48,18007
18,8,906,852,94.04,40,4.42,14,1.55,18008
18,9,699,646,92.42,39,5.58,14,2.0,18009
18,10,806,749,92.93,39,4.84,18,2.23,18010
18,11,484,460,95.04,16,3.31,8,1.65,18011
18,12,726,680,93.66,33,4.55,13,1.79,18012
18,13,589,519,88.12,57,9.68,13,2.21,18013
18,14,466,432,92.7,20,4.29,14,3.0,18014
18,15,333,303,90.99,21,6.31,9,2.7,18015
18,16,525,486,92.57,26,4.95,13,2.48,18016
18,17,397,362,91.18,29,7.3,6,1.51,18017
18,18,502,411,81.87,81,16.14,10,1.99,18018
18,19,441,391,88.66,43,9.75,7,1.59,18019
18,20,405,344,84.94,50,12.35,11,2.72,18020
18,21,546,496,90.84,36,6.59,14,2.56,18021
18,22,570,405,71.05,157,27.54,8,1.4,18022
18,23,642,415,64.64,218,33.96,9,1.4,18023
18,24,682,525,76.98,143,20.97,14,2.05,18024
18,25,371,260,70.08,99,26.68,12,3.23,18025
18,26,622,466,74.92,138,22.19,18,2.89,18026
19,1,891,478,53.65,385,43.21,28,3.14,19001
19,2,822,680,82.73,133,16.18,9,1.09,19002
19,3,664,180,27.11,471,70.93,13,1.96,19003
19,4,618,215,34.79,391,63.27,12,1.94,19004
19,5,679,514,75.7,150,22.09,15,2.21,19005
19,6,661,260,39.33,387,58.55,14,2.12,19006
19,7,897,463,51.62,414,46.15,20,2.23,19007
19,8,605,577,95.37,19,3.14,9,1.49,19008
19,9,562,522,92.88,29,5.16,11,1.96,19009
19,10,658,490,74.47,151,22.95,17,2.58,19010
19,11,553,232,41.95,312,56.42,9,1.63,19011
19,12,872,324,37.16,536,61.47,12,1.38,19012
19,13,528,489,92.61,30,5.68,9,1.7,19013
19,14,770,642,83.38,113,14.68,15,1.95,19014
19,15,512,176,34.38,328,64.06,8,1.56,19015
19,16,619,219,35.38,386,62.36,14,2.26,19016
19,17,596,275,46.14,313,52.52,8,1.34,19017
19,18,571,176,30.82,389,68.13,6,1.05,19018
19,19,681,521,76.51,148,21.73,12,1.76,19019
19,20,509,467,91.75,36,7.07,6,1.18,19020
19,21,875,324,37.03,537,61.37,14,1.6,19021
19,22,669,466,69.66,193,28.85,10,1.49,19022
19,23,641,316,49.3,316,49.3,9,1.4,19023
19,24,615,218,35.45,393,63.9,4,0.65,19024
19,25,569,454,79.79,103,18.1,12,2.11,19025
19,26,564,392,69.5,167,29.61,5,0.89,19026
19,27,823,718,87.24,83,10.09,22,2.67,19027
19,28,1024,914,89.26,90,8.79,20,1.95,19028
19,29,742,297,40.03,432,58.22,13,1.75,19029
19,30,639,217,33.96,415,64.95,7,1.1,19030
19,31,953,682,71.56,248,26.02,23,2.41,19031
19,32,552,480,86.96,62,11.23,10,1.81,19032
19,33,468,139,29.7,323,69.02,6,1.28,19033
19,34,1018,541,53.14,461,45.28,16,1.57,19034
19,35,686,493,71.87,179,26.09,14,2.04,19035
19,36,563,383,68.03,171,30.37,9,1.6,19036
20,1,253,219,86.56,31,12.25,3,1.19,20001
20,2,145,104,71.72,35,24.14,6,4.14,20002
20,3,174,159,91.38,11,6.32,4,2.3,20003
20,4,139,126,90.65,10,7.19,3,2.16,20004
20,5,275,254,92.36,15,5.45,6,2.18,20005
20,6,176,161,91.48,10,5.68,5,2.84,20006
20,7,232,225,96.98,4,1.72,3,1.29,20007
20,8,278,247,88.85,22,7.91,9,3.24,20008
20,9,526,492,93.54,22,4.18,12,2.28,20009
20,10,552,519,94.02,15,2.72,18,3.26,20010
20,11,441,407,92.29,19,4.31,15,3.4,20011
20,12,90,85,94.44,3,3.33,2,2.22,20012
20,13,792,749,94.57,26,3.28,17,2.15,20013
20,14,459,438,95.42,10,2.18,11,2.4,20014
20,15,435,409,94.02,17,3.91,9,2.07,20015
20,16,474,441,93.04,19,4.01,14,2.95,20016
20,17,561,531,94.65,22,3.92,8,1.43,20017
