ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,Lynn Franco,Lynn Franco Percent,precinct_id
6,12,91,91,100.0,0,0.0,06012
6,16,329,318,96.66,11,3.34,06016
6,17,628,613,97.61,15,2.39,06017
6,18,688,669,97.24,19,2.76,06018
6,19,241,229,95.02,12,4.98,06019
6,20,766,737,96.21,29,3.79,06020
6,21,549,542,98.72,7,1.28,06021
6,22,787,771,97.97,16,2.03,06022
6,23,625,617,98.72,8,1.28,06023
6,24,633,612,96.68,21,3.32,06024
6,25,487,478,98.15,9,1.85,06025
6,26,821,791,96.35,30,3.65,06026
6,27,735,712,96.87,23,3.13,06027
7,1,428,413,96.5,15,3.5,07001
7,2,569,555,97.54,14,2.46,07002
7,3,391,374,95.65,17,4.35,07003
7,4,527,491,93.17,36,6.83,07004
7,5,624,589,94.39,35,5.61,07005
7,6,180,171,95.0,9,5.0,07006
7,7,410,395,96.34,15,3.66,07007
7,8,254,245,96.46,9,3.54,07008
7,9,405,388,95.8,17,4.2,07009
7,10,504,490,97.22,14,2.78,07010
7,11,515,501,97.28,14,2.72,07011
7,12,598,580,96.99,18,3.01,07012
7,13,419,391,93.32,28,6.68,07013
7,14,398,372,93.47,26,6.53,07014
7,15,540,517,95.74,23,4.26,07015
7,16,194,182,93.81,12,6.19,07016
7,17,150,143,95.33,7,4.67,07017
7,18,93,87,93.55,6,6.45,07018
7,19,712,685,96.21,27,3.79,07019
7,20,371,358,96.5,13,3.5,07020
7,21,291,282,96.91,9,3.09,07021
7,22,355,345,97.18,10,2.82,07022
7,23,249,238,95.58,11,4.42,07023
7,24,67,62,92.54,5,7.46,07024
7,25,392,385,98.21,7,1.79,07025
7,26,558,539,96.59,19,3.41,07026
7,27,326,321,98.47,5,1.53,07027
7,28,203,201,99.01,2,0.99,07028
7,29,297,292,98.32,5,1.68,07029
7,30,271,264,97.42,7,2.58,07030
7,31,129,124,96.12,5,3.88,07031
8,1,23,23,100.0,0,0.0,08001
8,5,175,173,98.86,2,1.14,08005
8,6,665,645,96.99,20,3.01,08006
8,7,385,373,96.88,12,3.12,08007
8,8,785,761,96.94,24,3.06,08008
8,9,515,494,95.92,21,4.08,08009
8,11,472,462,97.88,10,2.12,08011
8,12,533,522,97.94,11,2.06,08012
8,13,514,506,98.44,8,1.56,08013
8,14,580,564,97.24,16,2.76,08014
8,15,452,440,97.35,12,2.65,08015
8,16,405,395,97.53,10,2.47,08016
8,17,681,664,97.5,17,2.5,08017
8,18,922,907,98.37,15,1.63,08018
8,19,736,711,96.6,25,3.4,08019
8,20,330,326,98.79,4,1.21,08020
8,21,372,361,97.04,11,2.96,08021
8,22,271,257,94.83,14,5.17,08022
8,23,778,765,98.33,13,1.67,08023
8,24,501,488,97.41,13,2.59,08024
8,25,220,212,96.36,8,3.64,08025
8,26,411,397,96.59,14,3.41,08026
8,27,541,526,97.23,15,2.77,08027
8,28,355,345,97.18,10,2.82,08028
8,29,521,501,96.16,20,3.84,08029
9,1,583,565,96.91,18,3.09,09001
9,2,420,412,98.1,8,1.9,09002
9,3,203,192,94.58,11,5.42,09003
9,4,394,381,96.7,13,3.3,09004
9,5,439,420,95.67,19,4.33,09005
9,6,705,682,96.74,23,3.26,09006
9,7,562,543,96.62,19,3.38,09007
9,8,554,545,98.38,9,1.62,09008
9,9,31,29,93.55,2,6.45,09009
9,14,325,318,97.85,7,2.15,09014
9,20,441,375,85.03,66,14.97,09020
10,1,136,128,94.12,8,5.88,10001
10,2,179,165,92.18,14,7.82,10002
10,3,293,258,88.05,35,11.95,10003
10,4,341,320,93.84,21,6.16,10004
10,5,129,95,73.64,34,26.36,10005
10,6,170,141,82.94,29,17.06,10006
10,7,315,239,75.87,76,24.13,10007
10,8,292,213,72.95,79,27.05,10008
10,9,330,274,83.03,56,16.97,10009
10,10,351,273,77.78,78,22.22,10010
10,11,126,97,76.98,29,23.02,10011
10,12,326,260,79.75,66,20.25,10012
10,13,386,286,74.09,100,25.91,10013
10,14,500,369,73.8,131,26.2,10014
10,15,410,278,67.8,132,32.2,10015
10,16,517,360,69.63,157,30.37,10016
10,17,465,325,69.89,140,30.11,10017
10,18,557,352,63.2,205,36.8,10018
10,19,371,240,64.69,131,35.31,10019
10,20,217,150,69.12,67,30.88,10020
10,21,287,182,63.41,105,36.59,10021
10,22,522,307,58.81,215,41.19,10022
10,23,322,293,90.99,29,9.01,10023
17,19,229,226,98.69,3,1.31,17019
17,22,522,508,97.32,14,2.68,17022
17,25,235,227,96.6,8,3.4,17025
17,26,446,431,96.64,15,3.36,17026
17,27,515,498,96.7,17,3.3,17027
17,28,623,601,96.47,22,3.53,17028
17,29,561,550,98.04,11,1.96,17029
18,1,654,626,95.72,28,4.28,18001
18,2,724,703,97.1,21,2.9,18002
18,3,302,293,97.02,9,2.98,18003
19,25,336,274,81.55,62,18.45,19025
21,8,602,581,96.51,21,3.49,21008
21,16,639,621,97.18,18,2.82,21016
21,20,491,474,96.54,17,3.46,21020
21,21,696,678,97.41,18,2.59,21021
21,23,521,506,97.12,15,2.88,21023
21,24,534,520,97.38,14,2.62,21024
21,25,411,397,96.59,14,3.41,21025
21,26,472,460,97.46,12,2.54,21026
21,27,691,670,96.96,21,3.04,21027
21,28,615,596,96.91,19,3.09,21028
21,29,616,590,95.78,26,4.22,21029
