ward,precinct,total,Martin J. Moylan,Martin J. Moylan Percent,Michael M. Lupo,Michael M. Lupo Percent,precinct_id
41,1,212,96,45.28,116,54.72,41001
41,2,357,196,54.9,161,45.1,41002
41,3,368,182,49.46,186,50.54,41003
41,15,1108,579,52.26,529,47.74,41015
41,16,120,73,60.83,47,39.17,41016
