ward,precinct,total,Robin Kelly,Robin Kelly Percent,Thomas Lynch,Thomas Lynch Percent,precinct_id
4,1,332,315,94.88,17,5.12,04001
4,3,296,279,94.26,17,5.74,04003
4,7,369,350,94.85,19,5.15,04007
4,8,497,482,96.98,15,3.02,04008
4,10,486,474,97.53,12,2.47,04010
4,11,671,652,97.17,19,2.83,04011
4,12,427,404,94.61,23,5.39,04012
5,1,3,3,100.0,0,0.0,05001
5,2,762,729,95.67,33,4.33,05002
5,3,700,675,96.43,25,3.57,05003
5,4,580,554,95.52,26,4.48,05004
5,5,342,327,95.61,15,4.39,05005
5,6,300,287,95.67,13,4.33,05006
5,9,194,188,96.91,6,3.09,05009
5,10,32,31,96.88,1,3.13,05010
5,12,785,749,95.41,36,4.59,05012
5,15,923,874,94.69,49,5.31,05015
5,16,672,633,94.2,39,5.8,05016
5,17,499,475,95.19,24,4.81,05017
5,18,1022,974,95.3,48,4.7,05018
5,19,441,422,95.69,19,4.31,05019
7,2,25,24,96.0,1,4.0,07002
7,3,415,403,97.11,12,2.89,07003
7,4,546,505,92.49,41,7.51,07004
7,5,637,614,96.39,23,3.61,07005
7,6,190,180,94.74,10,5.26,07006
7,7,450,427,94.89,23,5.11,07007
7,8,263,258,98.1,5,1.9,07008
7,9,425,410,96.47,15,3.53,07009
7,10,23,23,100.0,0,0.0,07010
7,12,4,4,100.0,0,0.0,07012
7,13,70,65,92.86,5,7.14,07013
7,14,410,386,94.15,24,5.85,07014
7,16,4,4,100.0,0,0.0,07016
7,17,17,17,100.0,0,0.0,07017
7,18,98,95,96.94,3,3.06,07018
7,24,73,70,95.89,3,4.11,07024
7,25,409,401,98.04,8,1.96,07025
7,30,281,272,96.8,9,3.2,07030
7,31,130,121,93.08,9,6.92,07031
9,8,61,60,98.36,1,1.64,09008
9,9,373,362,97.05,11,2.95,09009
9,10,694,686,98.85,8,1.15,09010
9,12,632,620,98.1,12,1.9,09012
9,13,588,565,96.09,23,3.91,09013
9,14,337,329,97.63,8,2.37,09014
9,15,478,468,97.91,10,2.09,09015
9,16,639,613,95.93,26,4.07,09016
9,18,330,316,95.76,14,4.24,09018
9,19,257,240,93.39,17,6.61,09019
9,20,504,445,88.29,59,11.71,09020
9,21,559,544,97.32,15,2.68,09021
9,27,307,302,98.37,5,1.63,09027
9,28,246,239,97.15,7,2.85,09028
10,1,149,141,94.63,8,5.37,10001
10,2,194,178,91.75,16,8.25,10002
10,3,308,275,89.29,33,10.71,10003
10,4,368,348,94.57,20,5.43,10004
10,5,137,103,75.18,34,24.82,10005
10,6,172,150,87.21,22,12.79,10006
10,7,324,246,75.93,78,24.07,10007
10,8,305,224,73.44,81,26.56,10008
10,9,348,298,85.63,50,14.37,10009
10,10,357,277,77.59,80,22.41,10010
10,11,128,103,80.47,25,19.53,10011
10,12,336,279,83.04,57,16.96,10012
10,13,399,308,77.19,91,22.81,10013
10,14,529,390,73.72,139,26.28,10014
10,15,428,301,70.33,127,29.67,10015
10,16,541,392,72.46,149,27.54,10016
10,17,491,337,68.64,154,31.36,10017
10,18,589,375,63.67,214,36.33,10018
10,19,386,249,64.51,137,35.49,10019
10,20,225,159,70.67,66,29.33,10020
10,21,293,183,62.46,110,37.54,10021
10,22,559,330,59.03,229,40.97,10022
10,23,344,312,90.7,32,9.3,10023
10,24,183,179,97.81,4,2.19,10024
10,25,265,257,96.98,8,3.02,10025
