ward,precinct,total,Monica M. Gordon,Monica M. Gordon Percent,Jason Decker,Jason Decker Percent,precinct_id
9,4,28,26,92.86,2,7.14,09004
9,9,311,300,96.46,11,3.54,09009
9,10,673,659,97.92,14,2.08,09010
9,11,232,229,98.71,3,1.29,09011
9,12,618,605,97.9,13,2.1,09012
9,13,574,553,96.34,21,3.66,09013
9,15,460,448,97.39,12,2.61,09015
9,16,622,607,97.59,15,2.41,09016
9,17,181,173,95.58,8,4.42,09017
9,18,307,298,97.07,9,2.93,09018
9,19,254,241,94.88,13,5.12,09019
9,20,43,41,95.35,2,4.65,09020
9,21,543,526,96.87,17,3.13,09021
9,22,385,376,97.66,9,2.34,09022
9,23,314,305,97.13,9,2.87,09023
9,24,454,436,96.04,18,3.96,09024
9,25,351,339,96.58,12,3.42,09025
9,26,515,504,97.86,11,2.14,09026
9,27,298,293,98.32,5,1.68,09027
9,28,237,229,96.62,8,3.38,09028
9,29,675,659,97.63,16,2.37,09029
9,30,560,545,97.32,15,2.68,09030
10,24,177,170,96.05,7,3.95,10024
10,25,257,250,97.28,7,2.72,10025
19,8,293,283,96.59,10,3.41,19008
19,20,73,70,95.89,3,4.11,19020
19,27,183,177,96.72,6,3.28,19027
21,1,629,616,97.93,13,2.07,21001
21,2,195,190,97.44,5,2.56,21002
21,3,670,649,96.87,21,3.13,21003
21,4,562,546,97.15,16,2.85,21004
21,5,600,582,97.0,18,3.0,21005
21,6,504,477,94.64,27,5.36,21006
21,7,702,689,98.15,13,1.85,21007
21,9,192,185,96.35,7,3.65,21009
21,10,660,639,96.82,21,3.18,21010
21,11,673,656,97.47,17,2.53,21011
21,12,305,294,96.39,11,3.61,21012
21,13,501,486,97.01,15,2.99,21013
21,14,733,705,96.18,28,3.82,21014
21,15,699,683,97.71,16,2.29,21015
21,17,472,459,97.25,13,2.75,21017
21,18,676,656,97.04,20,2.96,21018
21,19,583,565,96.91,18,3.09,21019
21,22,720,695,96.53,25,3.47,21022
