ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,Jeffery Coleman,Jeffery Coleman Percent,precinct_id
9,21,555,537,96.76,18,3.24,09021
9,27,301,293,97.34,8,2.66,09027
9,28,237,229,96.62,8,3.38,09028
10,24,180,174,96.67,6,3.33,10024
10,25,260,251,96.54,9,3.46,10025
