ward,precinct,total,Sanjay Tailor,Sanjay Tailor Percent,precinct_id
39,15,48,48,100.0,39015
39,27,101,101,100.0,39027
40,1,460,460,100.0,40001
40,2,506,506,100.0,40002
40,3,478,478,100.0,40003
40,4,64,64,100.0,40004
40,6,413,413,100.0,40006
40,7,491,491,100.0,40007
45,2,341,341,100.0,45002
45,3,179,179,100.0,45003
45,4,44,44,100.0,45004
45,5,365,365,100.0,45005
48,2,256,256,100.0,48002
48,13,485,485,100.0,48013
48,18,224,224,100.0,48018
48,22,306,306,100.0,48022
48,27,256,256,100.0,48027
48,32,341,341,100.0,48032
48,33,222,222,100.0,48033
49,1,664,664,100.0,49001
49,2,596,596,100.0,49002
49,3,795,795,100.0,49003
49,4,783,783,100.0,49004
49,5,853,853,100.0,49005
49,6,55,55,100.0,49006
49,7,349,349,100.0,49007
49,8,668,668,100.0,49008
49,9,846,846,100.0,49009
49,10,570,570,100.0,49010
49,11,628,628,100.0,49011
49,12,548,548,100.0,49012
49,13,717,717,100.0,49013
49,14,869,869,100.0,49014
49,15,769,769,100.0,49015
49,16,739,739,100.0,49016
49,17,835,835,100.0,49017
50,1,312,312,100.0,50001
50,2,320,320,100.0,50002
50,3,272,272,100.0,50003
50,4,330,330,100.0,50004
50,5,476,476,100.0,50005
50,6,242,242,100.0,50006
50,7,636,636,100.0,50007
50,8,437,437,100.0,50008
50,9,118,118,100.0,50009
50,10,259,259,100.0,50010
50,11,324,324,100.0,50011
50,12,115,115,100.0,50012
50,13,442,442,100.0,50013
50,14,76,76,100.0,50014
50,15,424,424,100.0,50015
50,16,67,67,100.0,50016
50,17,206,206,100.0,50017
50,18,42,42,100.0,50018
50,19,198,198,100.0,50019
50,20,124,124,100.0,50020
50,21,341,341,100.0,50021
50,22,355,355,100.0,50022
50,23,208,208,100.0,50023
50,24,320,320,100.0,50024
50,25,108,108,100.0,50025
50,26,164,164,100.0,50026
50,27,76,76,100.0,50027
