ward,precinct,total,Susana A. Mendoza,Susana A. Mendoza Percent,Shannon L. Teresi,Shannon L. Teresi Percent,Deirdre McCloskey,Deirdre McCloskey Percent,precinct_id
1,1,873,790,90.49,66,7.56,17,1.95,01001
1,2,879,800,91.01,66,7.51,13,1.48,01002
1,3,957,849,88.71,88,9.2,20,2.09,01003
1,4,840,788,93.81,40,4.76,12,1.43,01004
1,5,895,817,91.28,59,6.59,19,2.12,01005
1,6,765,687,89.8,66,8.63,12,1.57,01006
1,7,912,833,91.34,65,7.13,14,1.54,01007
1,8,809,723,89.37,72,8.9,14,1.73,01008
1,9,454,385,84.8,54,11.89,15,3.3,01009
1,10,1083,958,88.46,106,9.79,19,1.75,01010
1,11,832,734,88.22,83,9.98,15,1.8,01011
1,12,401,345,86.03,43,10.72,13,3.24,01012
1,13,593,531,89.54,57,9.61,5,0.84,01013
1,14,554,470,84.84,66,11.91,18,3.25,01014
1,15,910,794,87.25,103,11.32,13,1.43,01015
1,16,923,811,87.87,102,11.05,10,1.08,01016
1,17,577,511,88.56,56,9.71,10,1.73,01017
1,18,806,712,88.34,84,10.42,10,1.24,01018
1,19,753,632,83.93,105,13.94,16,2.12,01019
1,20,744,642,86.29,88,11.83,14,1.88,01020
1,21,735,629,85.58,85,11.56,21,2.86,01021
1,22,1017,872,85.74,127,12.49,18,1.77,01022
1,23,496,420,84.68,61,12.3,15,3.02,01023
1,24,1056,907,85.89,132,12.5,17,1.61,01024
1,25,965,832,86.22,111,11.5,22,2.28,01025
1,26,920,738,80.22,161,17.5,21,2.28,01026
2,1,849,622,73.26,207,24.38,20,2.36,02001
2,2,1059,845,79.79,201,18.98,13,1.23,02002
2,3,647,510,78.83,122,18.86,15,2.32,02003
2,4,703,560,79.66,130,18.49,13,1.85,02004
2,5,716,532,74.3,172,24.02,12,1.68,02005
2,6,1023,801,78.3,206,20.14,16,1.56,02006
2,7,930,687,73.87,230,24.73,13,1.4,02007
2,8,729,552,75.72,164,22.5,13,1.78,02008
2,9,992,743,74.9,234,23.59,15,1.51,02009
2,10,498,346,69.48,142,28.51,10,2.01,02010
2,11,767,598,77.97,160,20.86,9,1.17,02011
2,12,675,504,74.67,152,22.52,19,2.81,02012
2,13,957,688,71.89,253,26.44,16,1.67,02013
2,14,575,454,78.96,109,18.96,12,2.09,02014
2,15,785,584,74.39,188,23.95,13,1.66,02015
2,16,874,664,75.97,196,22.43,14,1.6,02016
2,17,1240,968,78.06,253,20.4,19,1.53,02017
2,18,761,565,74.24,184,24.18,12,1.58,02018
2,19,410,319,77.8,87,21.22,4,0.98,02019
2,20,529,389,73.53,132,24.95,8,1.51,02020
2,21,172,121,70.35,47,27.33,4,2.33,02021
2,22,628,473,75.32,135,21.5,20,3.18,02022
2,23,683,543,79.5,127,18.59,13,1.9,02023
2,24,542,412,76.01,122,22.51,8,1.48,02024
2,25,833,640,76.83,175,21.01,18,2.16,02025
3,1,703,664,94.45,31,4.41,8,1.14,03001
3,2,714,693,97.06,10,1.4,11,1.54,03002
3,3,513,462,90.06,43,8.38,8,1.56,03003
3,4,529,505,95.46,14,2.65,10,1.89,03004
3,5,132,120,90.91,9,6.82,3,2.27,03005
3,6,744,662,88.98,70,9.41,12,1.61,03006
3,7,378,355,93.92,15,3.97,8,2.12,03007
3,8,546,513,93.96,16,2.93,17,3.11,03008
3,9,437,393,89.93,33,7.55,11,2.52,03009
3,10,497,404,81.29,84,16.9,9,1.81,03010
3,11,756,720,95.24,20,2.65,16,2.12,03011
3,12,703,673,95.73,16,2.28,14,1.99,03012
3,13,925,777,84.0,135,14.59,13,1.41,03013
3,14,971,805,82.9,149,15.35,17,1.75,03014
3,15,577,549,95.15,15,2.6,13,2.25,03015
3,16,388,353,90.98,25,6.44,10,2.58,03016
3,17,209,193,92.34,10,4.78,6,2.87,03017
3,18,242,227,93.8,11,4.55,4,1.65,03018
3,19,1026,832,81.09,180,17.54,14,1.36,03019
3,20,657,628,95.59,22,3.35,7,1.07,03020
3,21,636,558,87.74,65,10.22,13,2.04,03021
3,22,521,469,90.02,37,7.1,15,2.88,03022
3,23,347,315,90.78,21,6.05,11,3.17,03023
3,24,138,136,98.55,1,0.72,1,0.72,03024
3,25,1017,816,80.24,185,18.19,16,1.57,03025
3,26,334,313,93.71,16,4.79,5,1.5,03026
3,27,852,676,79.34,153,17.96,23,2.7,03027
4,1,900,838,93.11,42,4.67,20,2.22,04001
4,2,354,331,93.5,18,5.08,5,1.41,04002
4,3,616,582,94.48,25,4.06,9,1.46,04003
4,4,721,689,95.56,23,3.19,9,1.25,04004
4,5,341,320,93.84,9,2.64,12,3.52,04005
4,6,497,462,92.96,21,4.23,14,2.82,04006
4,7,368,341,92.66,19,5.16,8,2.17,04007
4,8,506,486,96.05,10,1.98,10,1.98,04008
4,9,536,516,96.27,12,2.24,8,1.49,04009
4,10,490,468,95.51,12,2.45,10,2.04,04010
4,11,680,647,95.15,19,2.79,14,2.06,04011
4,12,429,405,94.41,19,4.43,5,1.17,04012
4,13,442,410,92.76,25,5.66,7,1.58,04013
4,14,428,405,94.63,17,3.97,6,1.4,04014
4,15,388,368,94.85,12,3.09,8,2.06,04015
4,16,562,537,95.55,15,2.67,10,1.78,04016
4,17,772,736,95.34,22,2.85,14,1.81,04017
4,18,258,249,96.51,7,2.71,2,0.78,04018
4,19,492,458,93.09,19,3.86,15,3.05,04019
4,20,700,668,95.43,21,3.0,11,1.57,04020
4,21,440,417,94.77,18,4.09,5,1.14,04021
4,22,223,207,92.83,9,4.04,7,3.14,04022
4,23,409,384,93.89,24,5.87,1,0.24,04023
4,24,828,775,93.6,35,4.23,18,2.17,04024
4,25,994,853,85.81,121,12.17,20,2.01,04025
4,26,890,773,86.85,101,11.35,16,1.8,04026
4,27,917,810,88.33,85,9.27,22,2.4,04027
4,28,993,865,87.11,96,9.67,32,3.22,04028
5,1,700,657,93.86,28,4.0,15,2.14,05001
5,2,771,731,94.81,29,3.76,11,1.43,05002
5,3,717,677,94.42,22,3.07,18,2.51,05003
5,4,589,552,93.72,23,3.9,14,2.38,05004
5,5,346,333,96.24,7,2.02,6,1.73,05005
5,6,309,293,94.82,13,4.21,3,0.97,05006
5,7,169,153,90.53,8,4.73,8,4.73,05007
5,8,217,209,96.31,6,2.76,2,0.92,05008
5,9,198,187,94.44,5,2.53,6,3.03,05009
5,10,356,333,93.54,19,5.34,4,1.12,05010
5,11,459,438,95.42,12,2.61,9,1.96,05011
5,12,789,741,93.92,34,4.31,14,1.77,05012
5,13,337,320,94.96,8,2.37,9,2.67,05013
5,14,375,359,95.73,6,1.6,10,2.67,05014
5,15,1107,1043,94.22,47,4.25,17,1.54,05015
5,16,678,630,92.92,33,4.87,15,2.21,05016
5,17,503,479,95.23,19,3.78,5,0.99,05017
5,18,1035,970,93.72,53,5.12,12,1.16,05018
5,19,453,434,95.81,14,3.09,5,1.1,05019
5,20,738,708,95.93,23,3.12,7,0.95,05020
5,21,663,614,92.61,41,6.18,8,1.21,05021
5,22,767,720,93.87,26,3.39,21,2.74,05022
5,23,425,397,93.41,21,4.94,7,1.65,05023
5,24,479,419,87.47,43,8.98,17,3.55,05024
5,25,1103,1008,91.39,61,5.53,34,3.08,05025
6,1,231,215,93.07,8,3.46,8,3.46,06001
6,2,287,274,95.47,9,3.14,4,1.39,06002
6,3,90,85,94.44,3,3.33,2,2.22,06003
6,4,207,201,97.1,0,0.0,6,2.9,06004
6,5,377,360,95.49,7,1.86,10,2.65,06005
6,6,344,326,94.77,11,3.2,7,2.03,06006
6,7,416,401,96.39,12,2.88,3,0.72,06007
6,8,325,308,94.77,12,3.69,5,1.54,06008
6,9,641,617,96.26,17,2.65,7,1.09,06009
6,10,385,370,96.1,10,2.6,5,1.3,06010
6,11,208,199,95.67,6,2.88,3,1.44,06011
6,12,431,417,96.75,10,2.32,4,0.93,06012
6,13,551,533,96.73,9,1.63,9,1.63,06013
6,14,549,524,95.45,16,2.91,9,1.64,06014
6,15,579,540,93.26,24,4.15,15,2.59,06015
6,16,338,327,96.75,6,1.78,5,1.48,06016
6,17,661,638,96.52,17,2.57,6,0.91,06017
6,18,712,688,96.63,15,2.11,9,1.26,06018
6,19,491,471,95.93,11,2.24,9,1.83,06019
6,20,807,772,95.66,26,3.22,9,1.12,06020
6,21,571,554,97.02,12,2.1,5,0.88,06021
6,22,832,788,94.71,22,2.64,22,2.64,06022
6,23,743,720,96.9,12,1.62,11,1.48,06023
6,24,674,640,94.96,22,3.26,12,1.78,06024
6,25,505,489,96.83,10,1.98,6,1.19,06025
6,26,854,814,95.32,26,3.04,14,1.64,06026
6,27,777,746,96.01,18,2.32,13,1.67,06027
7,1,595,571,95.97,14,2.35,10,1.68,07001
7,2,748,716,95.72,19,2.54,13,1.74,07002
7,3,429,404,94.17,12,2.8,13,3.03,07003
7,4,556,507,91.19,36,6.47,13,2.34,07004
7,5,655,607,92.67,29,4.43,19,2.9,07005
7,6,190,177,93.16,12,6.32,1,0.53,07006
7,7,458,427,93.23,22,4.8,9,1.97,07007
7,8,268,260,97.01,5,1.87,3,1.12,07008
7,9,438,419,95.66,12,2.74,7,1.6,07009
7,10,592,571,96.45,11,1.86,10,1.69,07010
7,11,540,521,96.48,12,2.22,7,1.3,07011
7,12,622,603,96.95,12,1.93,7,1.13,07012
7,13,456,427,93.64,16,3.51,13,2.85,07013
7,14,415,391,94.22,20,4.82,4,0.96,07014
7,15,578,551,95.33,13,2.25,14,2.42,07015
7,16,207,194,93.72,10,4.83,3,1.45,07016
