ward,precinct,total,Robert Martwick,Robert Martwick Percent,precinct_id
29,1,442,442,100.0,29001
29,2,29,29,100.0,29002
30,1,32,32,100.0,30001
30,3,408,408,100.0,30003
30,6,418,418,100.0,30006
30,10,359,359,100.0,30010
30,14,34,34,100.0,30014
30,15,323,323,100.0,30015
30,20,5,5,100.0,30020
30,22,486,486,100.0,30022
30,23,511,511,100.0,30023
30,25,279,279,100.0,30025
33,8,66,66,100.0,33008
33,9,19,19,100.0,33009
36,1,39,39,100.0,36001
38,1,492,492,100.0,38001
38,2,288,288,100.0,38002
38,3,394,394,100.0,38003
38,4,285,285,100.0,38004
38,5,471,471,100.0,38005
38,6,327,327,100.0,38006
38,7,381,381,100.0,38007
38,8,323,323,100.0,38008
38,9,345,345,100.0,38009
38,10,307,307,100.0,38010
38,11,407,407,100.0,38011
38,12,524,524,100.0,38012
38,13,276,276,100.0,38013
38,14,355,355,100.0,38014
38,15,102,102,100.0,38015
38,17,469,469,100.0,38017
38,18,589,589,100.0,38018
38,19,604,604,100.0,38019
38,20,507,507,100.0,38020
38,21,617,617,100.0,38021
38,22,299,299,100.0,38022
38,23,604,604,100.0,38023
38,24,588,588,100.0,38024
38,25,717,717,100.0,38025
39,3,397,397,100.0,39003
39,6,22,22,100.0,39006
39,16,13,13,100.0,39016
39,18,152,152,100.0,39018
39,20,234,234,100.0,39020
39,21,555,555,100.0,39021
39,24,428,428,100.0,39024
39,26,254,254,100.0,39026
39,32,132,132,100.0,39032
41,1,180,180,100.0,41001
41,4,286,286,100.0,41004
41,5,330,330,100.0,41005
41,6,313,313,100.0,41006
41,7,280,280,100.0,41007
41,8,288,288,100.0,41008
41,9,557,557,100.0,41009
41,10,457,457,100.0,41010
41,11,360,360,100.0,41011
41,12,215,215,100.0,41012
41,13,531,531,100.0,41013
41,14,558,558,100.0,41014
41,16,167,167,100.0,41016
41,17,166,166,100.0,41017
41,18,532,532,100.0,41018
41,19,292,292,100.0,41019
41,20,298,298,100.0,41020
41,21,273,273,100.0,41021
41,22,227,227,100.0,41022
41,23,302,302,100.0,41023
41,24,340,340,100.0,41024
41,25,404,404,100.0,41025
41,26,595,595,100.0,41026
41,27,406,406,100.0,41027
41,28,707,707,100.0,41028
41,29,700,700,100.0,41029
41,30,474,474,100.0,41030
41,31,429,429,100.0,41031
45,6,357,357,100.0,45006
45,7,475,475,100.0,45007
45,8,380,380,100.0,45008
45,9,436,436,100.0,45009
45,10,419,419,100.0,45010
45,11,572,572,100.0,45011
45,12,392,392,100.0,45012
45,13,573,573,100.0,45013
45,14,333,333,100.0,45014
45,15,414,414,100.0,45015
45,16,505,505,100.0,45016
45,17,509,509,100.0,45017
45,18,532,532,100.0,45018
45,19,371,371,100.0,45019
45,20,514,514,100.0,45020
45,21,419,419,100.0,45021
45,22,534,534,100.0,45022
45,23,531,531,100.0,45023
45,24,453,453,100.0,45024
45,25,652,652,100.0,45025
45,26,496,496,100.0,45026
45,27,595,595,100.0,45027
45,28,421,421,100.0,45028
45,29,370,370,100.0,45029
