ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,Nicole Drewery,Nicole Drewery Percent,precinct_id
2,8,712,529,74.3,183,25.7,02008
2,9,979,729,74.46,250,25.54,02009
2,10,361,248,68.7,113,31.3,02010
2,11,755,593,78.54,162,21.46,02011
2,12,662,507,76.59,155,23.41,02012
2,13,944,686,72.67,258,27.33,02013
2,14,572,449,78.5,123,21.5,02014
2,15,773,566,73.22,207,26.78,02015
2,16,854,648,75.88,206,24.12,02016
2,17,1220,960,78.69,260,21.31,02017
2,18,576,440,76.39,136,23.61,02018
2,19,404,312,77.23,92,22.77,02019
2,20,524,383,73.09,141,26.91,02020
2,21,171,120,70.18,51,29.82,02021
27,12,463,375,80.99,88,19.01,27012
27,15,316,257,81.33,59,18.67,27015
27,21,89,77,86.52,12,13.48,27021
27,28,481,350,72.77,131,27.23,27028
32,1,1258,1058,84.1,200,15.9,32001
32,2,624,535,85.74,89,14.26,32002
32,3,737,616,83.58,121,16.42,32003
32,4,711,602,84.67,109,15.33,32004
32,5,568,480,84.51,88,15.49,32005
32,6,346,292,84.39,54,15.61,32006
32,7,774,599,77.39,175,22.61,32007
32,8,532,453,85.15,79,14.85,32008
32,9,516,403,78.1,113,21.9,32009
32,14,1077,912,84.68,165,15.32,32014
32,15,1108,848,76.53,260,23.47,32015
32,20,1040,809,77.79,231,22.21,32020
33,16,463,417,90.06,46,9.94,33016
40,23,607,541,89.13,66,10.87,40023
42,21,600,457,76.17,143,23.83,42021
42,22,735,554,75.37,181,24.63,42022
42,23,263,189,71.86,74,28.14,42023
42,24,945,724,76.61,221,23.39,42024
43,1,888,664,74.77,224,25.23,43001
43,2,1058,800,75.61,258,24.39,43002
43,3,369,264,71.54,105,28.46,43003
43,4,696,554,79.6,142,20.4,43004
43,5,1085,880,81.11,205,18.89,43005
43,6,1238,1021,82.47,217,17.53,43006
43,7,1115,934,83.77,181,16.23,43007
43,8,932,766,82.19,166,17.81,43008
43,9,1249,1035,82.87,214,17.13,43009
43,10,820,625,76.22,195,23.78,43010
43,11,562,427,75.98,135,24.02,43011
43,12,1097,857,78.12,240,21.88,43012
43,13,799,623,77.97,176,22.03,43013
43,14,488,369,75.61,119,24.39,43014
43,15,947,745,78.67,202,21.33,43015
43,16,408,328,80.39,80,19.61,43016
43,17,969,785,81.01,184,18.99,43017
43,18,1150,915,79.57,235,20.43,43018
43,19,1092,825,75.55,267,24.45,43019
43,20,395,304,76.96,91,23.04,43020
43,22,291,210,72.16,81,27.84,43022
44,1,1033,947,91.67,86,8.33,44001
44,2,791,642,81.16,149,18.84,44002
44,3,996,846,84.94,150,15.06,44003
44,4,1327,1095,82.52,232,17.48,44004
44,5,910,838,92.09,72,7.91,44005
44,6,889,769,86.5,120,13.5,44006
44,7,912,809,88.71,103,11.29,44007
44,8,937,829,88.47,108,11.53,44008
44,9,1260,1055,83.73,205,16.27,44009
44,10,1227,1041,84.84,186,15.16,44010
44,11,967,816,84.38,151,15.62,44011
44,12,1105,994,89.95,111,10.05,44012
44,13,1061,943,88.88,118,11.12,44013
44,14,1037,901,86.89,136,13.11,44014
44,15,1183,1043,88.17,140,11.83,44015
44,16,1075,936,87.07,139,12.93,44016
44,17,1209,1085,89.74,124,10.26,44017
44,18,839,741,88.32,98,11.68,44018
44,20,693,620,89.47,73,10.53,44020
44,21,1198,1083,90.4,115,9.6,44021
46,1,840,715,85.12,125,14.88,46001
46,2,822,746,90.75,76,9.25,46002
46,3,896,816,91.07,80,8.93,46003
46,4,1042,918,88.1,124,11.9,46004
46,5,856,731,85.4,125,14.6,46005
46,6,1269,1121,88.34,148,11.66,46006
46,9,186,164,88.17,22,11.83,46009
46,11,366,318,86.89,48,13.11,46011
46,12,1228,1102,89.74,126,10.26,46012
46,15,1225,1063,86.78,162,13.22,46015
47,7,1159,1060,91.46,99,8.54,47007
47,8,170,147,86.47,23,13.53,47008
47,14,842,699,83.02,143,16.98,47014
47,15,850,725,85.29,125,14.71,47015
47,16,885,768,86.78,117,13.22,47016
47,17,772,690,89.38,82,10.62,47017
47,21,945,808,85.5,137,14.5,47021
47,22,650,566,87.08,84,12.92,47022
47,23,908,787,86.67,121,13.33,47023
47,24,1065,907,85.16,158,14.84,47024
47,25,834,730,87.53,104,12.47,47025
47,26,1080,925,85.65,155,14.35,47026
47,27,956,825,86.3,131,13.7,47027
47,28,411,342,83.21,69,16.79,47028
