ward,precinct,total,Thomas J. Dart,Thomas J. Dart Percent,Lupe Aguirre,Lupe Aguirre Percent,Brad Sandefur,Brad Sandefur Percent,precinct_id
1,1,839,745,88.8,69,8.22,25,2.98,01001
1,2,839,745,88.8,64,7.63,30,3.58,01002
1,3,919,783,85.2,97,10.55,39,4.24,01003
1,4,796,719,90.33,55,6.91,22,2.76,01004
1,5,864,761,88.08,73,8.45,30,3.47,01005
1,6,730,630,86.3,86,11.78,14,1.92,01006
1,7,877,780,88.94,68,7.75,29,3.31,01007
1,8,784,679,86.61,74,9.44,31,3.95,01008
1,9,434,354,81.57,60,13.82,20,4.61,01009
1,10,1052,889,84.51,126,11.98,37,3.52,01010
1,11,808,693,85.77,88,10.89,27,3.34,01011
1,12,386,327,84.72,46,11.92,13,3.37,01012
1,13,575,505,87.83,57,9.91,13,2.26,01013
1,14,546,464,84.98,55,10.07,27,4.95,01014
1,15,874,741,84.78,106,12.13,27,3.09,01015
1,16,893,761,85.22,110,12.32,22,2.46,01016
1,17,554,471,85.02,63,11.37,20,3.61,01017
1,18,792,686,86.62,83,10.48,23,2.9,01018
1,19,712,577,81.04,109,15.31,26,3.65,01019
1,20,714,592,82.91,89,12.46,33,4.62,01020
1,21,707,578,81.75,98,13.86,31,4.38,01021
1,22,982,800,81.47,146,14.87,36,3.67,01022
1,23,480,397,82.71,58,12.08,25,5.21,01023
1,24,1020,854,83.73,137,13.43,29,2.84,01024
1,25,920,758,82.39,140,15.22,22,2.39,01025
1,26,879,692,78.73,157,17.86,30,3.41,01026
2,1,837,610,72.88,202,24.13,25,2.99,02001
2,2,1024,799,78.03,204,19.92,21,2.05,02002
2,3,622,486,78.14,119,19.13,17,2.73,02003
2,4,687,528,76.86,141,20.52,18,2.62,02004
2,5,692,504,72.83,177,25.58,11,1.59,02005
2,6,981,780,79.51,184,18.76,17,1.73,02006
2,7,897,660,73.58,220,24.53,17,1.9,02007
2,8,694,526,75.79,154,22.19,14,2.02,02008
2,9,963,724,75.18,221,22.95,18,1.87,02009
2,10,482,324,67.22,130,26.97,28,5.81,02010
2,11,746,576,77.21,156,20.91,14,1.88,02011
2,12,651,480,73.73,146,22.43,25,3.84,02012
2,13,911,638,70.03,250,27.44,23,2.52,02013
2,14,554,425,76.71,115,20.76,14,2.53,02014
2,15,764,574,75.13,179,23.43,11,1.44,02015
2,16,844,646,76.54,174,20.62,24,2.84,02016
2,17,1190,915,76.89,243,20.42,32,2.69,02017
2,18,738,533,72.22,183,24.8,22,2.98,02018
2,19,398,298,74.87,89,22.36,11,2.76,02019
2,20,515,360,69.9,137,26.6,18,3.5,02020
2,21,163,108,66.26,51,31.29,4,2.45,02021
2,22,610,446,73.11,136,22.3,28,4.59,02022
2,23,667,518,77.66,133,19.94,16,2.4,02023
2,24,522,402,77.01,107,20.5,13,2.49,02024
2,25,801,594,74.16,176,21.97,31,3.87,02025
3,1,680,624,91.76,33,4.85,23,3.38,03001
3,2,688,663,96.37,12,1.74,13,1.89,03002
3,3,497,434,87.32,51,10.26,12,2.41,03003
3,4,509,471,92.53,19,3.73,19,3.73,03004
3,5,132,116,87.88,7,5.3,9,6.82,03005
3,6,723,621,85.89,82,11.34,20,2.77,03006
3,7,361,328,90.86,23,6.37,10,2.77,03007
3,8,527,489,92.79,16,3.04,22,4.17,03008
3,9,425,361,84.94,51,12.0,13,3.06,03009
3,10,478,369,77.2,88,18.41,21,4.39,03010
3,11,735,670,91.16,32,4.35,33,4.49,03011
3,12,689,648,94.05,18,2.61,23,3.34,03012
3,13,894,725,81.1,144,16.11,25,2.8,03013
3,14,947,730,77.09,175,18.48,42,4.44,03014
3,15,560,517,92.32,24,4.29,19,3.39,03015
3,16,369,330,89.43,27,7.32,12,3.25,03016
3,17,197,185,93.91,9,4.57,3,1.52,03017
3,18,228,216,94.74,7,3.07,5,2.19,03018
3,19,983,770,78.33,188,19.13,25,2.54,03019
3,20,629,586,93.16,23,3.66,20,3.18,03020
3,21,612,517,84.48,77,12.58,18,2.94,03021
3,22,499,447,89.58,38,7.62,14,2.81,03022
3,23,336,295,87.8,27,8.04,14,4.17,03023
3,24,131,122,93.13,4,3.05,5,3.82,03024
3,25,990,771,77.88,200,20.2,19,1.92,03025
3,26,320,284,88.75,20,6.25,16,5.0,03026
3,27,822,641,77.98,156,18.98,25,3.04,03027
4,1,868,805,92.74,47,5.41,16,1.84,04001
4,2,337,310,91.99,17,5.04,10,2.97,04002
4,3,597,554,92.8,29,4.86,14,2.35,04003
4,4,701,654,93.3,32,4.56,15,2.14,04004
4,5,332,309,93.07,10,3.01,13,3.92,04005
4,6,486,459,94.44,19,3.91,8,1.65,04006
4,7,352,323,91.76,21,5.97,8,2.27,04007
4,8,492,461,93.7,14,2.85,17,3.46,04008
4,9,527,496,94.12,13,2.47,18,3.42,04009
4,10,478,450,94.14,15,3.14,13,2.72,04010
4,11,658,614,93.31,29,4.41,15,2.28,04011
4,12,422,384,91.0,20,4.74,18,4.27,04012
4,13,425,382,89.88,24,5.65,19,4.47,04013
4,14,417,383,91.85,23,5.52,11,2.64,04014
4,15,380,350,92.11,16,4.21,14,3.68,04015
4,16,549,518,94.35,15,2.73,16,2.91,04016
4,17,745,679,91.14,32,4.3,34,4.56,04017
4,18,242,230,95.04,5,2.07,7,2.89,04018
4,19,478,446,93.31,14,2.93,18,3.77,04019
4,20,682,641,93.99,22,3.23,19,2.79,04020
4,21,433,399,92.15,16,3.7,18,4.16,04021
4,22,223,204,91.48,13,5.83,6,2.69,04022
4,23,390,359,92.05,23,5.9,8,2.05,04023
4,24,801,738,92.13,42,5.24,21,2.62,04024
4,25,968,811,83.78,129,13.33,28,2.89,04025
4,26,862,747,86.66,92,10.67,23,2.67,04026
4,27,884,752,85.07,102,11.54,30,3.39,04027
4,28,955,807,84.5,108,11.31,40,4.19,04028
5,1,672,628,93.45,26,3.87,18,2.68,05001
5,2,747,697,93.31,30,4.02,20,2.68,05002
5,3,702,653,93.02,30,4.27,19,2.71,05003
5,4,576,539,93.58,20,3.47,17,2.95,05004
5,5,334,314,94.01,9,2.69,11,3.29,05005
5,6,303,284,93.73,10,3.3,9,2.97,05006
5,7,165,152,92.12,7,4.24,6,3.64,05007
5,8,213,199,93.43,8,3.76,6,2.82,05008
5,9,194,183,94.33,5,2.58,6,3.09,05009
5,10,346,320,92.49,15,4.34,11,3.18,05010
5,11,448,415,92.63,14,3.13,19,4.24,05011
5,12,769,720,93.63,35,4.55,14,1.82,05012
5,13,332,309,93.07,14,4.22,9,2.71,05013
5,14,372,359,96.51,8,2.15,5,1.34,05014
5,15,1070,995,92.99,50,4.67,25,2.34,05015
5,16,654,605,92.51,32,4.89,17,2.6,05016
5,17,480,442,92.08,29,6.04,9,1.88,05017
5,18,997,919,92.18,54,5.42,24,2.41,05018
5,19,444,420,94.59,14,3.15,10,2.25,05019
5,20,711,670,94.23,29,4.08,12,1.69,05020
5,21,640,592,92.5,39,6.09,9,1.41,05021
5,22,726,678,93.39,25,3.44,23,3.17,05022
5,23,416,381,91.59,24,5.77,11,2.64,05023
5,24,461,397,86.12,49,10.63,15,3.25,05024
5,25,1047,962,91.88,62,5.92,23,2.2,05025
6,1,221,205,92.76,10,4.52,6,2.71,06001
6,2,274,257,93.8,8,2.92,9,3.28,06002
6,3,86,80,93.02,4,4.65,2,2.33,06003
6,4,197,187,94.92,2,1.02,8,4.06,06004
6,5,351,336,95.73,8,2.28,7,1.99,06005
6,6,329,307,93.31,9,2.74,13,3.95,06006
6,7,397,374,94.21,14,3.53,9,2.27,06007
6,8,321,303,94.39,10,3.12,8,2.49,06008
6,9,622,585,94.05,17,2.73,20,3.22,06009
6,10,378,357,94.44,10,2.65,11,2.91,06010
6,11,200,189,94.5,6,3.0,5,2.5,06011
6,12,419,398,94.99,11,2.63,10,2.39,06012
6,13,535,509,95.14,11,2.06,15,2.8,06013
6,14,534,508,95.13,19,3.56,7,1.31,06014
6,15,567,520,91.71,28,4.94,19,3.35,06015
6,16,330,312,94.55,8,2.42,10,3.03,06016
6,17,642,606,94.39,20,3.12,16,2.49,06017
6,18,695,657,94.53,21,3.02,17,2.45,06018
6,19,469,433,92.32,18,3.84,18,3.84,06019
6,20,791,740,93.55,28,3.54,23,2.91,06020
6,21,562,536,95.37,16,2.85,10,1.78,06021
6,22,806,758,94.04,19,2.36,29,3.6,06022
6,23,725,696,96.0,16,2.21,13,1.79,06023
6,24,665,618,92.93,20,3.01,27,4.06,06024
6,25,491,465,94.7,12,2.44,14,2.85,06025
6,26,830,772,93.01,32,3.86,26,3.13,06026
6,27,763,722,94.63,21,2.75,20,2.62,06027
7,1,580,542,93.45,18,3.1,20,3.45,07001
7,2,733,698,95.23,16,2.18,19,2.59,07002
7,3,412,377,91.5,18,4.37,17,4.13,07003
7,4,546,491,89.93,33,6.04,22,4.03,07004
7,5,641,588,91.73,30,4.68,23,3.59,07005
7,6,183,169,92.35,9,4.92,5,2.73,07006
7,7,423,395,93.38,15,3.55,13,3.07,07007
7,8,261,252,96.55,5,1.92,4,1.53,07008
7,9,423,382,90.31,22,5.2,19,4.49,07009
7,10,581,540,92.94,15,2.58,26,4.48,07010
7,11,526,493,93.73,16,3.04,17,3.23,07011
7,12,612,577,94.28,12,1.96,23,3.76,07012
7,13,438,393,89.73,28,6.39,17,3.88,07013
7,14,408,370,90.69,29,7.11,9,2.21,07014
7,15,561,516,91.98,22,3.92,23,4.1,07015
7,16,202,189,93.56,10,4.95,3,1.49,07016
7,17,155,145,93.55,7,4.52,3,1.94,07017
7,18,94,87,92.55,7,7.45,0,0.0,07018
7,19,731,691,94.53,30,4.1,10,1.37,07019
7,20,379,358,94.46,13,3.43,8,2.11,07020
7,21,299,282,94.31,11,3.68,6,2.01,07021
7,22,368,352,95.65,10,2.72,6,1.63,07022
7,23,252,231,91.67,11,4.37,10,3.97,07023
7,24,70,61,87.14,7,10.0,2,2.86,07024
7,25,405,387,95.56,13,3.21,5,1.23,07025
7,26,570,541,94.91,15,2.63,14,2.46,07026
7,27,336,314,93.45,9,2.68,13,3.87,07027
7,28,205,200,97.56,3,1.46,2,0.98,07028
7,29,305,289,94.75,7,2.3,9,2.95,07029
7,30,278,262,94.24,8,2.88,8,2.88,07030
7,31,130,115,88.46,13,10.0,2,1.54,07031
8,1,602,546,90.7,30,4.98,26,4.32,08001
8,2,303,279,92.08,13,4.29,11,3.63,08002
8,3,244,234,95.9,5,2.05,5,2.05,08003
8,4,570,542,95.09,16,2.81,12,2.11,08004
8,5,390,374,95.9,6,1.54,10,2.56,08005
8,6,679,641,94.4,20,2.95,18,2.65,08006
8,7,396,372,93.94,13,3.28,11,2.78,08007
8,8,806,766,95.04,24,2.98,16,1.99,08008
8,9,536,504,94.03,20,3.73,12,2.24,08009
8,10,588,554,94.22,19,3.23,15,2.55,08010
8,11,485,466,96.08,9,1.86,10,2.06,08011
8,12,555,539,97.12,10,1.8,6,1.08,08012
8,13,528,509,96.4,10,1.89,9,1.7,08013
8,14,604,570,94.37,17,2.81,17,2.81,08014
8,15,460,434,94.35,16,3.48,10,2.17,08015
8,16,415,388,93.49,15,3.61,12,2.89,08016
8,17,698,657,94.13,18,2.58,23,3.3,08017
8,18,943,909,96.39,15,1.59,19,2.01,08018
8,19,747,691,92.5,32,4.28,24,3.21,08019
8,20,339,318,93.81,7,2.06,14,4.13,08020
8,21,379,352,92.88,18,4.75,9,2.37,08021
8,22,278,257,92.45,11,3.96,10,3.6,08022
8,23,798,762,95.49,20,2.51,16,2.01,08023
8,24,511,482,94.32,13,2.54,16,3.13,08024
8,25,219,205,93.61,6,2.74,8,3.65,08025
8,26,422,394,93.36,14,3.32,14,3.32,08026
8,27,552,522,94.57,17,3.08,13,2.36,08027
8,28,360,343,95.28,8,2.22,9,2.5,08028
8,29,532,504,94.74,16,3.01,12,2.26,08029
8,30,474,450,94.94,8,1.69,16,3.38,08030
9,1,606,571,94.22,23,3.8,12,1.98,09001
9,2,429,408,95.1,13,3.03,8,1.86,09002
9,3,208,196,94.23,4,1.92,8,3.85,09003
9,4,436,412,94.5,14,3.21,10,2.29,09004
9,5,447,416,93.06,17,3.8,14,3.13,09005
9,6,720,684,95.0,22,3.06,14,1.94,09006
9,7,595,556,93.45,20,3.36,19,3.19,09007
9,8,573,549,95.81,17,2.97,7,1.22,09008
9,9,354,324,91.53,17,4.8,13,3.67,09009
9,10,688,665,96.66,14,2.03,9,1.31,09010
9,11,242,227,93.8,10,4.13,5,2.07,09011
9,12,629,593,94.28,16,2.54,20,3.18,09012
9,13,590,550,93.22,21,3.56,19,3.22,09013
9,14,332,308,92.77,11,3.31,13,3.92,09014
9,15,474,450,94.94,10,2.11,14,2.95,09015
9,16,634,594,93.69,22,3.47,18,2.84,09016
9,17,186,173,93.01,9,4.84,4,2.15,09017
9,18,326,306,93.87,12,3.68,8,2.45,09018
9,19,261,239,91.57,14,5.36,8,3.07,09019
9,20,498,422,84.74,56,11.24,20,4.02,09020
9,21,554,518,93.5,21,3.79,15,2.71,09021
9,22,398,369,92.71,17,4.27,12,3.02,09022
9,23,317,296,93.38,13,4.1,8,2.52,09023
9,24,479,458,95.62,13,2.71,8,1.67,09024
9,25,363,340,93.66,15,4.13,8,2.2,09025
9,26,530,502,94.72,12,2.26,16,3.02,09026
9,27,302,287,95.03,11,3.64,4,1.32,09027
9,28,249,232,93.17,7,2.81,10,4.02,09028
9,29,699,665,95.14,14,2.0,20,2.86,09029
9,30,583,544,93.31,22,3.77,17,2.92,09030
10,1,144,125,86.81,12,8.33,7,4.86,10001
10,2,187,160,85.56,18,9.63,9,4.81,10002
10,3,299,249,83.28,41,13.71,9,3.01,10003
10,4,366,334,91.26,23,6.28,9,2.46,10004
10,5,132,92,69.7,39,29.55,1,0.76,10005
10,6,170,139,81.76,26,15.29,5,2.94,10006
10,7,326,236,72.39,81,24.85,9,2.76,10007
10,8,300,209,69.67,85,28.33,6,2.0,10008
10,9,345,270,78.26,60,17.39,15,4.35,10009
10,10,363,281,77.41,68,18.73,14,3.86,10010
10,11,128,96,75.0,28,21.88,4,3.13,10011
10,12,336,271,80.65,58,17.26,7,2.08,10012
10,13,395,278,70.38,111,28.1,6,1.52,10013
10,14,518,356,68.73,139,26.83,23,4.44,10014
10,15,432,297,68.75,114,26.39,21,4.86,10015
10,16,539,375,69.57,152,28.2,12,2.23,10016
10,17,478,328,68.62,143,29.92,7,1.46,10017
10,18,582,376,64.6,194,33.33,12,2.06,10018
10,19,386,260,67.36,117,30.31,9,2.33,10019
10,20,217,151,69.59,59,27.19,7,3.23,10020
10,21,291,197,67.7,90,30.93,4,1.37,10021
10,22,542,323,59.59,201,37.08,18,3.32,10022
10,23,335,295,88.06,32,9.55,8,2.39,10023
10,24,182,174,95.6,4,2.2,4,2.2,10024
10,25,270,250,92.59,10,3.7,10,3.7,10025
11,1,192,147,76.56,41,21.35,4,2.08,11001
11,2,90,68,75.56,18,20.0,4,4.44,11002
11,3,576,390,67.71,170,29.51,16,2.78,11003
11,4,388,281,72.42,89,22.94,18,4.64,11004
11,5,424,284,66.98,120,28.3,20,4.72,11005
11,6,514,385,74.9,109,21.21,20,3.89,11006
11,7,277,195,70.4,71,25.63,11,3.97,11007
11,8,524,324,61.83,183,34.92,17,3.24,11008
11,9,546,337,61.72,187,34.25,22,4.03,11009
11,10,113,60,53.1,50,44.25,3,2.65,11010
11,11,78,46,58.97,27,34.62,5,6.41,11011
11,12,208,117,56.25,82,39.42,9,4.33,11012
11,13,491,337,68.64,132,26.88,22,4.48,11013
11,14,872,615,70.53,232,26.61,25,2.87,11014
11,15,612,489,79.9,94,15.36,29,4.74,11015
11,16,734,549,74.8,151,20.57,34,4.63,11016
11,17,342,227,66.37,100,29.24,15,4.39,11017
11,18,479,348,72.65,110,22.96,21,4.38,11018
11,19,159,108,67.92,45,28.3,6,3.77,11019
11,20,485,350,72.16,116,23.92,19,3.92,11020
11,21,805,526,65.34,252,31.3,27,3.35,11021
11,22,558,330,59.14,210,37.63,18,3.23,11022
11,23,582,368,63.23,190,32.65,24,4.12,11023
12,1,293,218,74.4,60,20.48,15,5.12,12001
12,2,207,159,76.81,42,20.29,6,2.9,12002
12,3,397,306,77.08,75,18.89,16,4.03,12003
12,4,322,250,77.64,53,16.46,19,5.9,12004
12,5,334,250,74.85,77,23.05,7,2.1,12005
12,6,286,204,71.33,67,23.43,15,5.24,12006
12,7,292,210,71.92,75,25.68,7,2.4,12007
12,8,277,199,71.84,64,23.1,14,5.05,12008
12,9,148,114,77.03,28,18.92,6,4.05,12009
12,10,307,208,67.75,88,28.66,11,3.58,12010
12,11,243,175,72.02,59,24.28,9,3.7,12011
12,12,210,143,68.1,60,28.57,7,3.33,12012
12,13,230,170,73.91,48,20.87,12,5.22,12013
12,14,269,199,73.98,63,23.42,7,2.6,12014
12,15,275,189,68.73,74,26.91,12,4.36,12015
