ward,precinct,total,Frank J. Aguilar,Frank J. Aguilar Percent,Kimberly Jagielski,Kimberly Jagielski Percent,precinct_id
13,5,108,69,63.89,39,36.11,13005
13,10,185,91,49.19,94,50.81,13010
13,23,189,78,41.27,111,58.73,13023
13,32,51,26,50.98,25,49.02,13032
13,37,50,20,40.0,30,60.0,13037
13,40,248,137,55.24,111,44.76,13040
23,1,308,124,40.26,184,59.74,23001
23,2,520,226,43.46,294,56.54,23002
23,3,323,136,42.11,187,57.89,23003
23,4,252,100,39.68,152,60.32,23004
23,5,450,198,44.0,252,56.0,23005
23,6,247,106,42.91,141,57.09,23006
23,7,330,151,45.76,179,54.24,23007
23,8,327,154,47.09,173,52.91,23008
23,9,507,258,50.89,249,49.11,23009
23,10,512,297,58.01,215,41.99,23010
