ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tommy Hanson,Tommy Hanson Percent,Jerico Matias Cruz,Jerico Matias Cruz Percent,precinct_id
1,17,574,521,90.77,45,7.84,8,1.39,01017
1,18,811,743,91.62,57,7.03,11,1.36,01018
1,19,753,652,86.59,89,11.82,12,1.59,01019
1,20,739,661,89.45,64,8.66,14,1.89,01020
1,21,710,614,86.48,74,10.42,22,3.1,01021
2,5,714,533,74.65,174,24.37,7,0.98,02005
2,6,1016,800,78.74,208,20.47,8,0.79,02006
2,7,930,685,73.66,240,25.81,5,0.54,02007
2,8,725,544,75.03,172,23.72,9,1.24,02008
2,9,990,738,74.55,239,24.14,13,1.31,02009
2,12,676,510,75.44,150,22.19,16,2.37,02012
2,13,957,699,73.04,238,24.87,20,2.09,02013
2,14,576,457,79.34,112,19.44,7,1.22,02014
2,15,785,581,74.01,193,24.59,11,1.4,02015
2,16,872,665,76.26,193,22.13,14,1.61,02016
2,17,1237,978,79.06,244,19.73,15,1.21,02017
2,19,408,317,77.7,83,20.34,8,1.96,02019
2,20,527,390,74.0,127,24.1,10,1.9,02020
2,23,267,204,76.4,60,22.47,3,1.12,02023
2,24,544,438,80.51,102,18.75,4,0.74,02024
2,25,830,654,78.8,159,19.16,17,2.05,02025
27,9,14,12,85.71,2,14.29,0,0.0,27009
27,12,161,138,85.71,19,11.8,4,2.48,27012
27,13,17,13,76.47,4,23.53,0,0.0,27013
27,21,135,106,78.52,28,20.74,1,0.74,27021
30,3,111,98,88.29,12,10.81,1,0.9,30003
30,6,505,414,81.98,79,15.64,12,2.38,30006
30,15,380,329,86.58,42,11.05,9,2.37,30015
30,22,391,334,85.42,53,13.55,4,1.02,30022
30,23,564,475,84.22,73,12.94,16,2.84,30023
32,1,1271,1081,85.05,177,13.93,13,1.02,32001
32,2,1021,873,85.5,124,12.14,24,2.35,32002
32,3,748,637,85.16,97,12.97,14,1.87,32003
32,4,723,616,85.2,96,13.28,11,1.52,32004
32,5,586,506,86.35,71,12.12,9,1.54,32005
32,6,350,296,84.57,48,13.71,6,1.71,32006
32,7,780,606,77.69,159,20.38,15,1.92,32007
32,8,534,456,85.39,71,13.3,7,1.31,32008
32,9,534,427,79.96,94,17.6,13,2.43,32009
32,10,980,809,82.55,149,15.2,22,2.24,32010
32,11,624,501,80.29,110,17.63,13,2.08,32011
32,12,358,289,80.73,66,18.44,3,0.84,32012
32,13,243,180,74.07,59,24.28,4,1.65,32013
32,14,1085,927,85.44,139,12.81,19,1.75,32014
32,15,1134,888,78.31,231,20.37,15,1.32,32015
32,16,517,432,83.56,80,15.47,5,0.97,32016
32,17,997,797,79.94,187,18.76,13,1.3,32017
32,18,398,330,82.91,53,13.32,15,3.77,32018
32,19,302,251,83.11,48,15.89,3,0.99,32019
32,20,1048,827,78.91,210,20.04,11,1.05,32020
32,21,954,848,88.89,92,9.64,14,1.47,32021
32,22,962,842,87.53,105,10.91,15,1.56,32022
32,23,630,541,85.87,77,12.22,12,1.9,32023
32,24,350,282,80.57,62,17.71,6,1.71,32024
32,25,727,603,82.94,113,15.54,11,1.51,32025
32,26,963,800,83.07,143,14.85,20,2.08,32026
32,27,946,841,88.9,88,9.3,17,1.8,32027
32,28,290,245,84.48,40,13.79,5,1.72,32028
32,29,731,634,86.73,78,10.67,19,2.6,32029
32,30,923,809,87.65,99,10.73,15,1.63,32030
33,16,224,205,91.52,14,6.25,5,2.23,33016
35,22,63,56,88.89,4,6.35,3,4.76,35022
