ward,precinct,total,"Emil Jones, III","Emil Jones, III Percent",precinct_id
9,1,573,573,100.0,09001
9,2,403,403,100.0,09002
9,3,190,190,100.0,09003
9,4,411,411,100.0,09004
9,5,410,410,100.0,09005
9,7,545,545,100.0,09007
9,8,537,537,100.0,09008
9,9,109,109,100.0,09009
9,11,231,231,100.0,09011
9,17,182,182,100.0,09017
9,18,309,309,100.0,09018
9,22,372,372,100.0,09022
9,23,304,304,100.0,09023
9,24,452,452,100.0,09024
9,25,355,355,100.0,09025
9,26,495,495,100.0,09026
9,29,671,671,100.0,09029
9,30,560,560,100.0,09030
17,29,420,420,100.0,17029
19,8,297,297,100.0,19008
19,20,405,405,100.0,19020
19,27,142,142,100.0,19027
19,28,0,0,0.0,19028
19,32,475,475,100.0,19032
21,1,621,621,100.0,21001
21,2,192,192,100.0,21002
21,3,659,659,100.0,21003
21,4,554,554,100.0,21004
21,5,586,586,100.0,21005
21,6,491,491,100.0,21006
21,7,688,688,100.0,21007
21,8,593,593,100.0,21008
21,9,192,192,100.0,21009
21,10,635,635,100.0,21010
21,11,649,649,100.0,21011
21,12,310,310,100.0,21012
21,13,488,488,100.0,21013
21,14,704,704,100.0,21014
21,15,687,687,100.0,21015
21,17,455,455,100.0,21017
21,18,654,654,100.0,21018
21,19,561,561,100.0,21019
21,20,462,462,100.0,21020
21,21,384,384,100.0,21021
21,22,691,691,100.0,21022
21,24,511,511,100.0,21024
21,25,403,403,100.0,21025
21,26,48,48,100.0,21026
21,28,588,588,100.0,21028
21,29,585,585,100.0,21029
