ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,9,76,76,100.0,06009
6,13,313,313,100.0,06013
6,14,126,126,100.0,06014
6,17,617,617,100.0,06017
6,18,666,666,100.0,06018
6,19,126,126,100.0,06019
6,20,761,761,100.0,06020
6,21,538,538,100.0,06021
6,22,766,766,100.0,06022
6,23,698,698,100.0,06023
6,24,632,632,100.0,06024
6,25,475,475,100.0,06025
6,26,799,799,100.0,06026
6,27,725,725,100.0,06027
7,10,76,76,100.0,07010
7,11,302,302,100.0,07011
7,15,519,519,100.0,07015
7,25,357,357,100.0,07025
7,26,520,520,100.0,07026
7,27,314,314,100.0,07027
7,28,194,194,100.0,07028
7,29,275,275,100.0,07029
7,30,261,261,100.0,07030
7,31,115,115,100.0,07031
8,1,47,47,100.0,08001
8,4,404,404,100.0,08004
8,5,364,364,100.0,08005
8,6,634,634,100.0,08006
8,7,363,363,100.0,08007
8,8,759,759,100.0,08008
8,9,489,489,100.0,08009
8,10,424,424,100.0,08010
8,11,460,460,100.0,08011
8,12,523,523,100.0,08012
8,13,486,486,100.0,08013
8,14,556,556,100.0,08014
8,15,429,429,100.0,08015
8,16,401,401,100.0,08016
8,17,644,644,100.0,08017
8,18,894,894,100.0,08018
8,19,699,699,100.0,08019
8,20,321,321,100.0,08020
8,21,353,353,100.0,08021
8,22,244,244,100.0,08022
8,23,761,761,100.0,08023
8,24,492,492,100.0,08024
8,25,206,206,100.0,08025
8,26,401,401,100.0,08026
8,27,506,506,100.0,08027
8,28,335,335,100.0,08028
8,29,505,505,100.0,08029
8,30,439,439,100.0,08030
9,6,693,693,100.0,09006
9,9,225,225,100.0,09009
9,10,642,642,100.0,09010
9,12,593,593,100.0,09012
9,13,546,546,100.0,09013
9,14,318,318,100.0,09014
9,15,438,438,100.0,09015
9,16,585,585,100.0,09016
9,19,242,242,100.0,09019
9,20,437,437,100.0,09020
10,6,139,139,100.0,10006
10,7,225,225,100.0,10007
10,8,240,240,100.0,10008
10,9,286,286,100.0,10009
10,12,284,284,100.0,10012
10,18,417,417,100.0,10018
10,19,282,282,100.0,10019
10,20,176,176,100.0,10020
10,21,216,216,100.0,10021
10,22,378,378,100.0,10022
10,23,300,300,100.0,10023
