ward,precinct,total,Stephen Swedlow,Stephen Swedlow Percent,precinct_id
2,1,603,603,100.0,02001
2,2,740,740,100.0,02002
2,3,487,487,100.0,02003
2,4,520,520,100.0,02004
2,5,490,490,100.0,02005
2,6,693,693,100.0,02006
2,7,612,612,100.0,02007
2,8,461,461,100.0,02008
2,9,664,664,100.0,02009
2,10,320,320,100.0,02010
2,11,543,543,100.0,02011
2,12,480,480,100.0,02012
2,13,631,631,100.0,02013
2,14,412,412,100.0,02014
2,15,531,531,100.0,02015
2,16,610,610,100.0,02016
2,17,869,869,100.0,02017
2,18,550,550,100.0,02018
2,19,304,304,100.0,02019
2,20,345,345,100.0,02020
2,21,113,113,100.0,02021
2,22,449,449,100.0,02022
2,23,495,495,100.0,02023
2,24,379,379,100.0,02024
2,25,556,556,100.0,02025
3,3,385,385,100.0,03003
3,6,562,562,100.0,03006
3,7,46,46,100.0,03007
3,9,365,365,100.0,03009
3,10,369,369,100.0,03010
3,13,671,671,100.0,03013
3,14,710,710,100.0,03014
3,16,291,291,100.0,03016
3,18,28,28,100.0,03018
3,19,724,724,100.0,03019
3,21,507,507,100.0,03021
3,22,403,403,100.0,03022
3,25,704,704,100.0,03025
3,27,625,625,100.0,03027
4,24,121,121,100.0,04024
4,25,767,767,100.0,04025
4,26,651,651,100.0,04026
4,27,752,752,100.0,04027
4,28,775,775,100.0,04028
11,1,136,136,100.0,11001
11,2,70,70,100.0,11002
11,7,188,188,100.0,11007
11,8,201,201,100.0,11008
27,6,531,531,100.0,27006
27,9,487,487,100.0,27009
27,11,91,91,100.0,27011
27,12,342,342,100.0,27012
27,15,395,395,100.0,27015
27,20,280,280,100.0,27020
27,21,201,201,100.0,27021
27,28,341,341,100.0,27028
27,29,304,304,100.0,27029
32,4,514,514,100.0,32004
32,5,416,416,100.0,32005
32,6,247,247,100.0,32006
32,7,526,526,100.0,32007
32,13,162,162,100.0,32013
32,14,799,799,100.0,32014
32,15,753,753,100.0,32015
32,16,387,387,100.0,32016
32,20,708,708,100.0,32020
32,23,10,10,100.0,32023
34,14,183,183,100.0,34014
34,15,454,454,100.0,34015
34,16,742,742,100.0,34016
34,17,673,673,100.0,34017
34,18,621,621,100.0,34018
34,19,468,468,100.0,34019
34,20,596,596,100.0,34020
40,9,11,11,100.0,40009
40,10,871,871,100.0,40010
40,13,607,607,100.0,40013
40,14,458,458,100.0,40014
40,15,604,604,100.0,40015
40,16,601,601,100.0,40016
40,21,179,179,100.0,40021
42,1,241,241,100.0,42001
42,2,245,245,100.0,42002
42,3,634,634,100.0,42003
42,4,553,553,100.0,42004
42,5,767,767,100.0,42005
42,6,312,312,100.0,42006
42,7,494,494,100.0,42007
42,8,370,370,100.0,42008
42,9,571,571,100.0,42009
42,10,374,374,100.0,42010
42,11,460,460,100.0,42011
42,12,347,347,100.0,42012
42,13,253,253,100.0,42013
42,14,10,10,100.0,42014
42,15,192,192,100.0,42015
42,16,595,595,100.0,42016
42,17,702,702,100.0,42017
42,18,388,388,100.0,42018
42,19,562,562,100.0,42019
42,20,570,570,100.0,42020
42,21,690,690,100.0,42021
42,22,624,624,100.0,42022
42,23,675,675,100.0,42023
42,24,664,664,100.0,42024
43,1,597,597,100.0,43001
43,2,733,733,100.0,43002
43,3,233,233,100.0,43003
43,4,485,485,100.0,43004
43,5,791,791,100.0,43005
43,6,924,924,100.0,43006
43,7,841,841,100.0,43007
43,8,699,699,100.0,43008
43,9,954,954,100.0,43009
43,10,580,580,100.0,43010
43,11,373,373,100.0,43011
43,12,767,767,100.0,43012
43,13,559,559,100.0,43013
43,14,345,345,100.0,43014
43,15,722,722,100.0,43015
43,16,288,288,100.0,43016
43,17,715,715,100.0,43017
43,18,833,833,100.0,43018
43,19,783,783,100.0,43019
43,20,650,650,100.0,43020
43,21,338,338,100.0,43021
43,22,796,796,100.0,43022
43,23,559,559,100.0,43023
44,1,821,821,100.0,44001
44,2,538,538,100.0,44002
44,3,743,743,100.0,44003
44,4,936,936,100.0,44004
44,5,757,757,100.0,44005
44,6,676,676,100.0,44006
44,7,689,689,100.0,44007
44,8,745,745,100.0,44008
44,9,911,911,100.0,44009
