ward,precinct,total,Michael J. Kelly,Michael J. Kelly Percent,Mark R. Albers,Mark R. Albers Percent,precinct_id
33,13,55,42,76.36,13,23.64,33013
39,1,636,459,72.17,177,27.83,39001
39,2,355,253,71.27,102,28.73,39002
39,4,674,437,64.84,237,35.16,39004
39,5,448,359,80.13,89,19.87,39005
39,6,315,260,82.54,55,17.46,39006
39,7,322,264,81.99,58,18.01,39007
39,8,341,270,79.18,71,20.82,39008
39,9,329,243,73.86,86,26.14,39009
39,10,266,229,86.09,37,13.91,39010
39,11,343,257,74.93,86,25.07,39011
39,12,563,429,76.2,134,23.8,39012
39,13,812,667,82.14,145,17.86,39013
39,14,912,528,57.89,384,42.11,39014
39,15,644,513,79.66,131,20.34,39015
39,16,369,310,84.01,59,15.99,39016
39,17,931,592,63.59,339,36.41,39017
39,18,177,112,63.28,65,36.72,39018
39,19,810,673,83.09,137,16.91,39019
39,20,209,140,66.99,69,33.01,39020
39,21,48,43,89.58,5,10.42,39021
39,22,380,227,59.74,153,40.26,39022
39,23,87,55,63.22,32,36.78,39023
39,25,185,156,84.32,29,15.68,39025
39,26,14,12,85.71,2,14.29,39026
39,27,358,240,67.04,118,32.96,39027
39,28,367,305,83.11,62,16.89,39028
39,29,167,122,73.05,45,26.95,39029
39,30,319,227,71.16,92,28.84,39030
39,31,422,274,64.93,148,35.07,39031
39,32,772,506,65.54,266,34.46,39032
39,33,358,240,67.04,118,32.96,39033
39,34,414,269,64.98,145,35.02,39034
39,35,660,505,76.52,155,23.48,39035
40,4,181,129,71.27,52,28.73,40004
40,11,211,174,82.46,37,17.54,40011
41,24,244,143,58.61,101,41.39,41024
45,1,1083,638,58.91,445,41.09,45001
45,2,552,368,66.67,184,33.33,45002
45,4,393,269,68.45,124,31.55,45004
45,5,628,407,64.81,221,35.19,45005
45,6,143,88,61.54,55,38.46,45006
50,23,479,319,66.6,160,33.4,50023
50,24,688,417,60.61,271,39.39,50024
50,25,154,104,67.53,50,32.47,50025
50,26,27,11,40.74,16,59.26,50026
50,28,552,439,79.53,113,20.47,50028
