ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,precinct_id
6,4,170,170,100.0,06004
6,5,287,287,100.0,06005
6,10,319,319,100.0,06010
6,11,158,158,100.0,06011
6,12,351,351,100.0,06012
6,13,463,463,100.0,06013
6,14,432,432,100.0,06014
6,15,199,199,100.0,06015
6,16,281,281,100.0,06016
6,17,518,518,100.0,06017
6,18,591,591,100.0,06018
6,19,375,375,100.0,06019
6,20,639,639,100.0,06020
6,21,472,472,100.0,06021
6,22,678,678,100.0,06022
6,23,619,619,100.0,06023
6,24,540,540,100.0,06024
6,25,408,408,100.0,06025
6,26,695,695,100.0,06026
6,27,647,647,100.0,06027
7,3,281,281,100.0,07003
7,6,141,141,100.0,07006
7,7,347,347,100.0,07007
7,8,216,216,100.0,07008
7,9,326,326,100.0,07009
7,10,488,488,100.0,07010
7,11,441,441,100.0,07011
7,12,515,515,100.0,07012
7,13,345,345,100.0,07013
7,14,328,328,100.0,07014
7,15,477,477,100.0,07015
7,16,168,168,100.0,07016
7,17,131,131,100.0,07017
7,18,71,71,100.0,07018
7,19,628,628,100.0,07019
7,20,332,332,100.0,07020
7,21,247,247,100.0,07021
7,22,301,301,100.0,07022
7,23,205,205,100.0,07023
7,24,62,62,100.0,07024
7,25,333,333,100.0,07025
7,26,476,476,100.0,07026
7,27,288,288,100.0,07027
7,28,176,176,100.0,07028
7,29,255,255,100.0,07029
7,30,247,247,100.0,07030
7,31,114,114,100.0,07031
8,1,92,92,100.0,08001
8,2,253,253,100.0,08002
8,3,197,197,100.0,08003
8,4,377,377,100.0,08004
8,5,327,327,100.0,08005
8,6,562,562,100.0,08006
8,7,335,335,100.0,08007
8,8,684,684,100.0,08008
8,9,446,446,100.0,08009
8,10,512,512,100.0,08010
8,11,406,406,100.0,08011
8,12,474,474,100.0,08012
8,13,455,455,100.0,08013
8,14,502,502,100.0,08014
8,15,388,388,100.0,08015
8,16,357,357,100.0,08016
8,17,606,606,100.0,08017
8,18,823,823,100.0,08018
8,19,648,648,100.0,08019
8,20,285,285,100.0,08020
8,21,319,319,100.0,08021
8,22,223,223,100.0,08022
8,23,701,701,100.0,08023
8,24,435,435,100.0,08024
8,25,181,181,100.0,08025
8,26,342,342,100.0,08026
8,27,460,460,100.0,08027
8,28,303,303,100.0,08028
8,29,444,444,100.0,08029
8,30,402,402,100.0,08030
9,6,612,612,100.0,09006
9,10,588,588,100.0,09010
10,1,123,123,100.0,10001
10,2,150,150,100.0,10002
10,3,246,246,100.0,10003
10,4,276,276,100.0,10004
10,5,101,101,100.0,10005
10,6,134,134,100.0,10006
10,7,237,237,100.0,10007
10,8,225,225,100.0,10008
10,9,272,272,100.0,10009
10,10,264,264,100.0,10010
10,11,103,103,100.0,10011
10,12,268,268,100.0,10012
10,13,295,295,100.0,10013
10,14,378,378,100.0,10014
10,15,305,305,100.0,10015
10,16,383,383,100.0,10016
10,17,326,326,100.0,10017
10,18,386,386,100.0,10018
10,19,257,257,100.0,10019
10,20,161,161,100.0,10020
10,21,192,192,100.0,10021
10,22,340,340,100.0,10022
10,23,291,291,100.0,10023
17,5,174,174,100.0,17005
17,8,198,198,100.0,17008
17,9,197,197,100.0,17009
17,10,394,394,100.0,17010
17,14,166,166,100.0,17014
17,15,475,475,100.0,17015
17,16,217,217,100.0,17016
17,17,188,188,100.0,17017
17,18,559,559,100.0,17018
17,19,390,390,100.0,17019
17,20,370,370,100.0,17020
17,21,439,439,100.0,17021
17,22,432,432,100.0,17022
17,23,277,277,100.0,17023
17,24,453,453,100.0,17024
17,25,203,203,100.0,17025
17,26,397,397,100.0,17026
17,27,452,452,100.0,17027
17,28,538,538,100.0,17028
17,29,219,219,100.0,17029
18,2,107,107,100.0,18002
18,5,371,371,100.0,18005
21,23,187,187,100.0,21023
