ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
33,1,932,852,91.42,80,8.58,33001
33,2,983,924,94.0,59,6.0,33002
33,3,702,647,92.17,55,7.83,33003
33,4,937,857,91.46,80,8.54,33004
33,5,767,707,92.18,60,7.82,33005
33,6,821,760,92.57,61,7.43,33006
33,7,779,714,91.66,65,8.34,33007
33,8,562,528,93.95,34,6.05,33008
33,9,559,526,94.1,33,5.9,33009
33,10,561,530,94.47,31,5.53,33010
33,11,458,425,92.79,33,7.21,33011
33,12,702,662,94.3,40,5.7,33012
33,13,627,587,93.62,40,6.38,33013
33,14,832,786,94.47,46,5.53,33014
33,15,614,581,94.63,33,5.37,33015
33,16,794,723,91.06,71,8.94,33016
33,17,731,695,95.08,36,4.92,33017
