ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,Beth O'Neil,Beth O'Neil Percent,precinct_id
9,1,604,576,95.36,28,4.64,09001
9,2,425,413,97.18,12,2.82,09002
9,3,201,193,96.02,8,3.98,09003
9,4,430,415,96.51,15,3.49,09004
9,5,439,425,96.81,14,3.19,09005
9,7,576,558,96.88,18,3.13,09007
9,8,569,557,97.89,12,2.11,09008
9,9,114,109,95.61,5,4.39,09009
9,11,239,231,96.65,8,3.35,09011
9,17,188,175,93.09,13,6.91,09017
17,29,448,432,96.43,16,3.57,17029
19,8,300,292,97.33,8,2.67,19008
19,20,456,415,91.01,41,8.99,19020
19,27,149,144,96.64,5,3.36,19027
19,28,0,0,0.0,0,0.0,19028
19,32,537,462,86.03,75,13.97,19032
21,1,646,621,96.13,25,3.87,21001
21,2,198,196,98.99,2,1.01,21002
21,3,682,658,96.48,24,3.52,21003
21,4,578,560,96.89,18,3.11,21004
21,8,615,597,97.07,18,2.93,21008
21,9,203,191,94.09,12,5.91,21009
21,10,669,644,96.26,25,3.74,21010
21,11,685,663,96.79,22,3.21,21011
21,12,314,296,94.27,18,5.73,21012
21,13,503,487,96.82,16,3.18,21013
21,14,736,707,96.06,29,3.94,21014
21,15,705,683,96.88,22,3.12,21015
21,17,487,474,97.33,13,2.67,21017
21,18,689,673,97.68,16,2.32,21018
21,19,588,564,95.92,24,4.08,21019
21,20,498,477,95.78,21,4.22,21020
21,21,405,391,96.54,14,3.46,21021
21,22,743,711,95.69,32,4.31,21022
21,24,540,522,96.67,18,3.33,21024
21,25,420,408,97.14,12,2.86,21025
21,26,52,49,94.23,3,5.77,21026
21,28,631,611,96.83,20,3.17,21028
21,29,622,589,94.69,33,5.31,21029
