ward,precinct,total,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Patricia Theresa Flynn,Patricia Theresa Flynn Percent,Yumeka Brown,Yumeka Brown Percent,R. Cary Capparelli,R. Cary Capparelli Percent,Mark E. Buettner,Mark E. Buettner Percent,precinct_id
1,1,2021,676,33.45,402,19.89,558,27.61,87,4.3,298,14.75,01001
1,2,2009,672,33.45,421,20.96,554,27.58,81,4.03,281,13.99,01002
1,3,2128,694,32.61,498,23.4,561,26.36,101,4.75,274,12.88,01003
1,4,1949,672,34.48,437,22.42,546,28.01,56,2.87,238,12.21,01004
1,5,1982,688,34.71,432,21.8,550,27.75,66,3.33,246,12.41,01005
1,6,1682,561,33.35,369,21.94,461,27.41,83,4.93,208,12.37,01006
1,7,2170,711,32.76,453,20.88,622,28.66,73,3.36,311,14.33,01007
1,8,1780,593,33.31,411,23.09,497,27.92,75,4.21,204,11.46,01008
1,9,954,307,32.18,227,23.79,245,25.68,58,6.08,117,12.26,01009
1,10,2389,779,32.61,554,23.19,649,27.17,131,5.48,276,11.55,01010
1,11,1818,587,32.29,406,22.33,495,27.23,82,4.51,248,13.64,01011
1,12,853,281,32.94,205,24.03,225,26.38,49,5.74,93,10.9,01012
1,13,1307,433,33.13,272,20.81,341,26.09,61,4.67,200,15.3,01013
1,14,1186,397,33.47,304,25.63,299,25.21,74,6.24,112,9.44,01014
1,15,1914,632,33.02,435,22.73,529,27.64,105,5.49,213,11.13,01015
1,16,2000,666,33.3,441,22.05,535,26.75,115,5.75,243,12.15,01016
1,17,1263,422,33.41,309,24.47,347,27.47,58,4.59,127,10.06,01017
1,18,1787,605,33.86,404,22.61,488,27.31,83,4.64,207,11.58,01018
1,19,1571,505,32.15,383,24.38,392,24.95,109,6.94,182,11.58,01019
1,20,1557,517,33.2,370,23.76,414,26.59,85,5.46,171,10.98,01020
1,21,1550,515,33.23,342,22.06,432,27.87,87,5.61,174,11.23,01021
1,22,2183,717,32.84,514,23.55,594,27.21,128,5.86,230,10.54,01022
1,23,1072,336,31.34,254,23.69,282,26.31,67,6.25,133,12.41,01023
1,24,2320,743,32.03,545,23.49,618,26.64,139,5.99,275,11.85,01024
1,25,2023,651,32.18,487,24.07,544,26.89,130,6.43,211,10.43,01025
1,26,1835,577,31.44,427,23.27,457,24.9,160,8.72,214,11.66,01026
2,1,1683,521,30.96,421,25.01,392,23.29,227,13.49,122,7.25,02001
2,2,2180,679,31.15,583,26.74,517,23.72,242,11.1,159,7.29,02002
2,3,1348,431,31.97,357,26.48,341,25.3,127,9.42,92,6.82,02003
2,4,1407,437,31.06,380,27.01,361,25.66,143,10.16,86,6.11,02004
