ward,precinct,total,Sean Casten,Sean Casten Percent,Keith Pekau,Keith Pekau Percent,precinct_id
13,3,490,237,48.37,253,51.63,13003
13,7,316,170,53.8,146,46.2,13007
13,9,513,269,52.44,244,47.56,13009
13,10,484,231,47.73,253,52.27,13010
13,11,264,157,59.47,107,40.53,13011
13,13,336,170,50.6,166,49.4,13013
13,15,319,160,50.16,159,49.84,13015
13,19,266,130,48.87,136,51.13,13019
13,20,409,221,54.03,188,45.97,13020
13,21,338,176,52.07,162,47.93,13021
13,23,441,198,44.9,243,55.1,13023
13,30,407,196,48.16,211,51.84,13030
13,31,280,124,44.29,156,55.71,13031
13,34,437,221,50.57,216,49.43,13034
13,35,515,296,57.48,219,42.52,13035
13,37,447,194,43.4,253,56.6,13037
13,39,418,202,48.33,216,51.67,13039
13,40,358,199,55.59,159,44.41,13040
19,1,871,468,53.73,403,46.27,19001
19,2,812,695,85.59,117,14.41,19002
19,3,658,177,26.9,481,73.1,19003
19,4,613,198,32.3,415,67.7,19004
19,5,673,515,76.52,158,23.48,19005
19,6,657,248,37.75,409,62.25,19006
19,7,889,465,52.31,424,47.69,19007
19,10,599,473,78.96,126,21.04,19010
19,11,411,123,29.93,288,70.07,19011
19,12,859,306,35.62,553,64.38,19012
19,15,505,161,31.88,344,68.12,19015
19,16,612,216,35.29,396,64.71,19016
19,17,591,281,47.55,310,52.45,19017
19,18,567,167,29.45,400,70.55,19018
19,19,623,487,78.17,136,21.83,19019
19,21,875,300,34.29,575,65.71,19021
19,22,660,469,71.06,191,28.94,19022
19,23,637,323,50.71,314,49.29,19023
19,24,609,194,31.86,415,68.14,19024
19,25,449,347,77.28,102,22.72,19025
19,26,383,232,60.57,151,39.43,19026
19,29,737,300,40.71,437,59.29,19029
19,30,635,210,33.07,425,66.93,19030
19,31,215,128,59.53,87,40.47,19031
19,33,466,122,26.18,344,73.82,19033
19,34,1015,520,51.23,495,48.77,19034
19,35,686,504,73.47,182,26.53,19035
19,36,438,302,68.95,136,31.05,19036
23,1,318,140,44.03,178,55.97,23001
23,2,550,271,49.27,279,50.73,23002
23,3,336,170,50.6,166,49.4,23003
23,4,266,116,43.61,150,56.39,23004
23,5,453,207,45.7,246,54.3,23005
23,6,256,118,46.09,138,53.91,23006
23,7,336,168,50.0,168,50.0,23007
23,8,341,172,50.44,169,49.56,23008
23,9,524,276,52.67,248,47.33,23009
23,10,536,335,62.5,201,37.5,23010
