ward,precinct,total,Hoan Huynh,Hoan Huynh Percent,Alper Turan,Alper Turan Percent,precinct_id
40,4,420,327,77.86,93,22.14,40004
40,9,707,570,80.62,137,19.38,40009
40,11,507,371,73.18,136,26.82,40011
40,12,745,651,87.38,94,12.62,40012
40,13,749,693,92.52,56,7.48,40013
40,14,985,929,94.31,56,5.69,40014
40,15,724,671,92.68,53,7.32,40015
40,16,703,661,94.03,42,5.97,40016
40,17,756,678,89.68,78,10.32,40017
40,18,844,755,89.45,89,10.55,40018
40,19,752,677,90.03,75,9.97,40019
40,20,859,772,89.87,87,10.13,40020
40,21,777,715,92.02,62,7.98,40021
40,22,1045,931,89.09,114,10.91,40022
40,23,478,447,93.51,31,6.49,40023
44,16,131,105,80.15,26,19.85,44016
44,19,1142,972,85.11,170,14.89,44019
46,7,781,718,91.93,63,8.07,46007
46,8,951,856,90.01,95,9.99,46008
46,9,825,719,87.15,106,12.85,46009
46,10,866,808,93.3,58,6.7,46010
46,11,653,582,89.13,71,10.87,46011
46,13,1068,987,92.42,81,7.58,46013
46,14,586,551,94.03,35,5.97,46014
46,16,842,789,93.71,53,6.29,46016
46,17,1059,1003,94.71,56,5.29,46017
46,18,969,898,92.67,71,7.33,46018
46,19,781,727,93.09,54,6.91,46019
46,20,720,651,90.42,69,9.58,46020
46,21,553,492,88.97,61,11.03,46021
46,22,716,650,90.78,66,9.22,46022
46,23,603,566,93.86,37,6.14,46023
47,1,795,716,90.06,79,9.94,47001
47,2,752,695,92.42,57,7.58,47002
47,3,755,700,92.72,55,7.28,47003
47,4,937,873,93.17,64,6.83,47004
47,5,1084,1025,94.56,59,5.44,47005
47,6,922,885,95.99,37,4.01,47006
47,7,194,175,90.21,19,9.79,47007
47,8,660,602,91.21,58,8.79,47008
47,9,1059,943,89.05,116,10.95,47009
47,10,937,866,92.42,71,7.58,47010
47,11,828,767,92.63,61,7.37,47011
47,12,621,565,90.98,56,9.02,47012
47,13,671,599,89.27,72,10.73,47013
47,18,966,874,90.48,92,9.52,47018
47,19,930,857,92.15,73,7.85,47019
47,20,916,804,87.77,112,12.23,47020
47,22,140,116,82.86,24,17.14,47022
48,4,562,534,95.02,28,4.98,48004
48,21,631,571,90.49,60,9.51,48021
48,23,514,445,86.58,69,13.42,48023
48,24,969,790,81.53,179,18.47,48024
50,28,28,23,82.14,5,17.86,50028
