ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent,precinct_id
11,19,14,14,100.0,11019
11,20,378,378,100.0,11020
11,21,549,549,100.0,11021
12,3,345,345,100.0,12003
12,4,90,90,100.0,12004
12,5,206,206,100.0,12005
12,8,218,218,100.0,12008
12,19,3,3,100.0,12019
12,21,84,84,100.0,12021
14,1,271,271,100.0,14001
14,2,255,255,100.0,14002
14,3,176,176,100.0,14003
14,4,92,92,100.0,14004
14,5,317,317,100.0,14005
14,6,389,389,100.0,14006
14,7,387,387,100.0,14007
14,8,358,358,100.0,14008
14,9,371,371,100.0,14009
14,10,231,231,100.0,14010
14,11,393,393,100.0,14011
14,12,248,248,100.0,14012
14,13,414,414,100.0,14013
14,14,224,224,100.0,14014
14,15,176,176,100.0,14015
15,5,27,27,100.0,15005
15,6,105,105,100.0,15006
15,7,121,121,100.0,15007
15,8,217,217,100.0,15008
15,9,239,239,100.0,15009
15,10,91,91,100.0,15010
15,11,189,189,100.0,15011
15,12,244,244,100.0,15012
15,13,186,186,100.0,15013
15,14,190,190,100.0,15014
15,20,39,39,100.0,15020
16,23,122,122,100.0,16023
22,16,294,294,100.0,22016
22,17,140,140,100.0,22017
22,18,291,291,100.0,22018
22,19,416,416,100.0,22019
23,7,231,231,100.0,23007
23,8,120,120,100.0,23008
23,9,369,369,100.0,23009
23,10,293,293,100.0,23010
23,11,183,183,100.0,23011
23,13,446,446,100.0,23013
23,14,171,171,100.0,23014
23,15,119,119,100.0,23015
23,16,72,72,100.0,23016
23,27,39,39,100.0,23027
