ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Thomas G. DeVore,Thomas G. DeVore Percent,Daniel K. Robin,Daniel K. Robin Percent,precinct_id
1,1,877,781,89.05,75,8.55,21,2.39,01001
1,2,884,796,90.05,67,7.58,21,2.38,01002
1,3,955,832,87.12,109,11.41,14,1.47,01003
1,4,843,782,92.76,41,4.86,20,2.37,01004
1,5,898,820,91.31,62,6.9,16,1.78,01005
1,6,768,677,88.15,80,10.42,11,1.43,01006
1,7,919,834,90.75,67,7.29,18,1.96,01007
1,8,811,723,89.15,68,8.38,20,2.47,01008
1,9,452,380,84.07,53,11.73,19,4.2,01009
1,10,1092,967,88.55,104,9.52,21,1.92,01010
1,11,832,740,88.94,75,9.01,17,2.04,01011
1,12,403,350,86.85,43,10.67,10,2.48,01012
1,13,601,537,89.35,59,9.82,5,0.83,01013
1,14,559,475,84.97,66,11.81,18,3.22,01014
1,15,909,811,89.22,88,9.68,10,1.1,01015
1,16,927,817,88.13,99,10.68,11,1.19,01016
1,17,581,521,89.67,48,8.26,12,2.07,01017
1,18,816,732,89.71,72,8.82,12,1.47,01018
1,19,761,633,83.18,109,14.32,19,2.5,01019
1,20,742,652,87.87,75,10.11,15,2.02,01020
1,21,740,630,85.14,89,12.03,21,2.84,01021
1,22,1018,874,85.85,124,12.18,20,1.96,01022
1,23,495,423,85.45,58,11.72,14,2.83,01023
1,24,1059,908,85.74,140,13.22,11,1.04,01024
1,25,962,827,85.97,117,12.16,18,1.87,01025
1,26,917,752,82.01,143,15.59,22,2.4,01026
2,1,847,619,73.08,213,25.15,15,1.77,02001
2,2,1059,830,78.38,214,20.21,15,1.42,02002
2,3,653,511,78.25,127,19.45,15,2.3,02003
2,4,706,558,79.04,137,19.41,11,1.56,02004
2,5,716,530,74.02,171,23.88,15,2.09,02005
2,6,1019,780,76.55,227,22.28,12,1.18,02006
2,7,926,662,71.49,250,27.0,14,1.51,02007
2,8,724,528,72.93,187,25.83,9,1.24,02008
2,9,990,726,73.33,250,25.25,14,1.41,02009
2,10,495,339,68.48,144,29.09,12,2.42,02010
2,11,764,591,77.36,159,20.81,14,1.83,02011
2,12,673,511,75.93,148,21.99,14,2.08,02012
2,13,959,671,69.97,264,27.53,24,2.5,02013
2,14,574,448,78.05,115,20.03,11,1.92,02014
2,15,787,567,72.05,207,26.3,13,1.65,02015
2,16,873,648,74.23,212,24.28,13,1.49,02016
2,17,1243,949,76.35,271,21.8,23,1.85,02017
2,18,762,562,73.75,189,24.8,11,1.44,02018
2,19,408,309,75.74,91,22.3,8,1.96,02019
2,20,533,381,71.48,141,26.45,11,2.06,02020
2,21,171,115,67.25,51,29.82,5,2.92,02021
2,22,634,498,78.55,124,19.56,12,1.89,02022
2,23,687,546,79.48,129,18.78,12,1.75,02023
2,24,544,407,74.82,130,23.9,7,1.29,02024
2,25,842,631,74.94,184,21.85,27,3.21,02025
3,1,700,671,95.86,19,2.71,10,1.43,03001
3,2,711,687,96.62,9,1.27,15,2.11,03002
3,3,512,459,89.65,47,9.18,6,1.17,03003
3,4,531,512,96.42,13,2.45,6,1.13,03004
3,5,130,119,91.54,6,4.62,5,3.85,03005
3,6,742,654,88.14,74,9.97,14,1.89,03006
3,7,376,351,93.35,22,5.85,3,0.8,03007
3,8,551,527,95.64,17,3.09,7,1.27,03008
3,9,441,390,88.44,45,10.2,6,1.36,03009
3,10,499,404,80.96,83,16.63,12,2.4,03010
3,11,759,717,94.47,28,3.69,14,1.84,03011
3,12,705,679,96.31,18,2.55,8,1.13,03012
3,13,931,763,81.95,149,16.0,19,2.04,03013
3,14,969,790,81.53,164,16.92,15,1.55,03014
3,15,578,546,94.46,19,3.29,13,2.25,03015
3,16,386,351,90.93,25,6.48,10,2.59,03016
3,17,208,196,94.23,8,3.85,4,1.92,03017
3,18,247,229,92.71,11,4.45,7,2.83,03018
3,19,1029,810,78.72,201,19.53,18,1.75,03019
3,20,653,623,95.41,18,2.76,12,1.84,03020
3,21,635,552,86.93,70,11.02,13,2.05,03021
3,22,527,487,92.41,34,6.45,6,1.14,03022
3,23,349,315,90.26,23,6.59,11,3.15,03023
3,24,139,137,98.56,1,0.72,1,0.72,03024
3,25,1013,797,78.68,198,19.55,18,1.78,03025
3,26,334,315,94.31,15,4.49,4,1.2,03026
3,27,850,675,79.41,157,18.47,18,2.12,03027
4,1,898,858,95.55,34,3.79,6,0.67,04001
4,2,356,333,93.54,18,5.06,5,1.4,04002
4,3,615,585,95.12,28,4.55,2,0.33,04003
4,4,726,696,95.87,25,3.44,5,0.69,04004
4,5,347,337,97.12,7,2.02,3,0.86,04005
4,6,499,475,95.19,17,3.41,7,1.4,04006
4,7,373,351,94.1,19,5.09,3,0.8,04007
4,8,502,488,97.21,10,1.99,4,0.8,04008
4,9,541,522,96.49,15,2.77,4,0.74,04009
4,10,492,472,95.93,11,2.24,9,1.83,04010
4,11,685,658,96.06,20,2.92,7,1.02,04011
4,12,427,403,94.38,19,4.45,5,1.17,04012
4,13,446,415,93.05,24,5.38,7,1.57,04013
4,14,424,405,95.52,19,4.48,0,0.0,04014
4,15,391,376,96.16,10,2.56,5,1.28,04015
4,16,564,539,95.57,15,2.66,10,1.77,04016
4,17,775,742,95.74,22,2.84,11,1.42,04017
4,18,259,245,94.59,9,3.47,5,1.93,04018
4,19,493,465,94.32,21,4.26,7,1.42,04019
4,20,706,670,94.9,24,3.4,12,1.7,04020
4,21,447,424,94.85,18,4.03,5,1.12,04021
4,22,225,209,92.89,14,6.22,2,0.89,04022
4,23,410,382,93.17,23,5.61,5,1.22,04023
4,24,822,771,93.8,41,4.99,10,1.22,04024
4,25,995,846,85.03,123,12.36,26,2.61,04025
4,26,884,757,85.63,113,12.78,14,1.58,04026
4,27,919,812,88.36,95,10.34,12,1.31,04027
4,28,992,856,86.29,109,10.99,27,2.72,04028
5,1,700,664,94.86,25,3.57,11,1.57,05001
5,2,772,736,95.34,30,3.89,6,0.78,05002
5,3,718,683,95.13,26,3.62,9,1.25,05003
5,4,589,567,96.26,21,3.57,1,0.17,05004
5,5,347,334,96.25,10,2.88,3,0.86,05005
5,6,308,293,95.13,12,3.9,3,0.97,05006
5,7,171,159,92.98,7,4.09,5,2.92,05007
5,8,219,207,94.52,9,4.11,3,1.37,05008
5,9,202,193,95.54,5,2.48,4,1.98,05009
5,10,356,333,93.54,16,4.49,7,1.97,05010
5,11,462,450,97.4,9,1.95,3,0.65,05011
5,12,794,752,94.71,35,4.41,7,0.88,05012
5,13,338,323,95.56,9,2.66,6,1.78,05013
5,14,374,361,96.52,8,2.14,5,1.34,05014
5,15,1121,1052,93.84,57,5.08,12,1.07,05015
5,16,677,638,94.24,28,4.14,11,1.62,05016
5,17,504,475,94.25,24,4.76,5,0.99,05017
5,18,1040,969,93.17,52,5.0,19,1.83,05018
5,19,451,431,95.57,16,3.55,4,0.89,05019
5,20,736,708,96.2,24,3.26,4,0.54,05020
