ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",Quintin Barton,Quintin Barton Percent,precinct_id
7,10,80,78,97.5,2,2.5,07010
7,11,309,301,97.41,8,2.59,07011
7,15,564,540,95.74,24,4.26,07015
7,25,402,394,98.01,8,1.99,07025
7,26,561,543,96.79,18,3.21,07026
7,27,341,334,97.95,7,2.05,07027
7,28,207,205,99.03,2,0.97,07028
7,29,297,288,96.97,9,3.03,07029
7,30,278,271,97.48,7,2.52,07030
7,31,128,119,92.97,9,7.03,07031
8,1,51,49,96.08,2,3.92,08001
8,4,431,422,97.91,9,2.09,08004
8,5,387,375,96.9,12,3.1,08005
8,6,681,665,97.65,16,2.35,08006
8,7,389,381,97.94,8,2.06,08007
8,8,801,769,96.0,32,4.0,08008
8,9,543,527,97.05,16,2.95,08009
8,10,442,427,96.61,15,3.39,08010
8,11,487,473,97.13,14,2.87,08011
8,12,557,545,97.85,12,2.15,08012
8,13,524,517,98.66,7,1.34,08013
8,14,604,585,96.85,19,3.15,08014
8,15,467,447,95.72,20,4.28,08015
8,16,419,409,97.61,10,2.39,08016
8,17,681,664,97.5,17,2.5,08017
8,18,935,920,98.4,15,1.6,08018
8,20,341,333,97.65,8,2.35,08020
8,22,271,262,96.68,9,3.32,08022
8,25,221,216,97.74,5,2.26,08025
8,27,555,534,96.22,21,3.78,08027
8,28,366,359,98.09,7,1.91,08028
8,29,537,519,96.65,18,3.35,08029
8,30,462,446,96.54,16,3.46,08030
10,6,153,131,85.62,22,14.38,10006
10,7,284,215,75.7,69,24.3,10007
10,8,299,218,72.91,81,27.09,10008
10,9,340,290,85.29,50,14.71,10009
10,12,330,277,83.94,53,16.06,10012
10,18,577,375,64.99,202,35.01,10018
10,19,375,243,64.8,132,35.2,10019
10,20,220,157,71.36,63,28.64,10020
10,21,289,182,62.98,107,37.02,10021
10,22,549,324,59.02,225,40.98,10022
10,23,337,302,89.61,35,10.39,10023
