ward,precinct,total,Kerrie Maloney Laytin,Kerrie Maloney Laytin Percent,precinct_id
1,1,645,645,100.0,01001
1,2,663,663,100.0,01002
1,3,740,740,100.0,01003
1,4,674,674,100.0,01004
1,5,689,689,100.0,01005
1,6,580,580,100.0,01006
1,7,720,720,100.0,01007
1,8,625,625,100.0,01008
1,9,323,323,100.0,01009
1,10,848,848,100.0,01010
1,11,667,667,100.0,01011
1,12,291,291,100.0,01012
1,13,459,459,100.0,01013
1,14,413,413,100.0,01014
1,15,701,701,100.0,01015
1,16,667,667,100.0,01016
1,17,438,438,100.0,01017
1,18,642,642,100.0,01018
1,19,581,581,100.0,01019
1,20,584,584,100.0,01020
1,21,581,581,100.0,01021
1,22,774,774,100.0,01022
1,23,387,387,100.0,01023
1,24,802,802,100.0,01024
1,25,711,711,100.0,01025
1,26,609,609,100.0,01026
26,1,174,174,100.0,26001
26,2,232,232,100.0,26002
26,3,409,409,100.0,26003
26,4,237,237,100.0,26004
26,5,312,312,100.0,26005
26,6,191,191,100.0,26006
26,7,303,303,100.0,26007
26,8,213,213,100.0,26008
26,9,203,203,100.0,26009
26,11,237,237,100.0,26011
26,12,92,92,100.0,26012
26,13,195,195,100.0,26013
26,14,146,146,100.0,26014
26,15,157,157,100.0,26015
26,16,373,373,100.0,26016
26,17,349,349,100.0,26017
26,18,158,158,100.0,26018
26,19,396,396,100.0,26019
26,20,418,418,100.0,26020
26,21,169,169,100.0,26021
26,22,151,151,100.0,26022
26,23,325,325,100.0,26023
26,24,152,152,100.0,26024
26,25,357,357,100.0,26025
26,26,379,379,100.0,26026
26,27,412,412,100.0,26027
26,28,390,390,100.0,26028
26,29,358,358,100.0,26029
26,30,209,209,100.0,26030
26,31,223,223,100.0,26031
26,32,323,323,100.0,26032
27,1,400,400,100.0,27001
27,7,667,667,100.0,27007
27,11,403,403,100.0,27011
27,13,390,390,100.0,27013
27,24,1,1,100.0,27024
27,25,0,0,0.0,27025
27,27,89,89,100.0,27027
27,29,345,345,100.0,27029
30,5,60,60,100.0,30005
31,1,258,258,100.0,31001
31,4,22,22,100.0,31004
31,5,253,253,100.0,31005
31,6,213,213,100.0,31006
31,7,250,250,100.0,31007
31,8,342,342,100.0,31008
31,9,174,174,100.0,31009
31,10,363,363,100.0,31010
31,14,288,288,100.0,31014
31,16,181,181,100.0,31016
31,17,155,155,100.0,31017
31,18,204,204,100.0,31018
31,20,243,243,100.0,31020
31,21,240,240,100.0,31021
31,22,127,127,100.0,31022
31,23,134,134,100.0,31023
32,2,316,316,100.0,32002
32,3,517,517,100.0,32003
32,8,375,375,100.0,32008
32,9,366,366,100.0,32009
32,10,700,700,100.0,32010
32,11,431,431,100.0,32011
32,12,255,255,100.0,32012
32,17,712,712,100.0,32017
32,18,285,285,100.0,32018
32,19,331,331,100.0,32019
32,21,734,734,100.0,32021
32,22,706,706,100.0,32022
32,23,474,474,100.0,32023
32,24,240,240,100.0,32024
32,25,516,516,100.0,32025
32,26,689,689,100.0,32026
32,27,725,725,100.0,32027
32,28,195,195,100.0,32028
32,29,551,551,100.0,32029
32,30,710,710,100.0,32030
33,1,731,731,100.0,33001
33,2,814,814,100.0,33002
33,3,537,537,100.0,33003
33,4,747,747,100.0,33004
33,5,607,607,100.0,33005
33,6,654,654,100.0,33006
33,7,639,639,100.0,33007
33,12,580,580,100.0,33012
33,14,688,688,100.0,33014
33,16,642,642,100.0,33016
33,17,596,596,100.0,33017
35,1,156,156,100.0,35001
35,2,386,386,100.0,35002
35,3,308,308,100.0,35003
35,4,474,474,100.0,35004
35,5,631,631,100.0,35005
35,6,910,910,100.0,35006
35,7,623,623,100.0,35007
35,8,404,404,100.0,35008
35,9,760,760,100.0,35009
35,10,462,462,100.0,35010
35,11,611,611,100.0,35011
35,12,790,790,100.0,35012
35,14,436,436,100.0,35014
35,15,586,586,100.0,35015
35,16,792,792,100.0,35016
35,17,514,514,100.0,35017
35,18,341,341,100.0,35018
35,19,490,490,100.0,35019
35,20,289,289,100.0,35020
35,21,457,457,100.0,35021
35,22,590,590,100.0,35022
36,11,181,181,100.0,36011
36,12,146,146,100.0,36012
36,13,77,77,100.0,36013
36,14,243,243,100.0,36014
36,15,121,121,100.0,36015
36,16,22,22,100.0,36016
36,17,368,368,100.0,36017
36,18,413,413,100.0,36018
36,19,551,551,100.0,36019
36,20,601,601,100.0,36020
36,22,522,522,100.0,36022
36,23,462,462,100.0,36023
36,24,486,486,100.0,36024
36,25,550,550,100.0,36025
36,26,506,506,100.0,36026
36,27,586,586,100.0,36027
37,2,295,295,100.0,37002
37,10,140,140,100.0,37010
37,16,20,20,100.0,37016
37,22,290,290,100.0,37022
40,22,381,381,100.0,40022
40,23,852,852,100.0,40023
47,7,436,436,100.0,47007
47,8,14,14,100.0,47008
47,28,37,37,100.0,47028
