ward,precinct,total,"Nicholas """"Nick"""" Smith","Nicholas """"Nick"""" Smith Percent",Frederick L. Walls,Frederick L. Walls Percent,precinct_id
6,9,78,74,94.87,4,5.13,06009
6,13,322,313,97.2,9,2.8,06013
6,14,126,120,95.24,6,4.76,06014
6,17,638,607,95.14,31,4.86,06017
6,18,681,652,95.74,29,4.26,06018
6,19,137,123,89.78,14,10.22,06019
6,20,777,739,95.11,38,4.89,06020
6,21,548,530,96.72,18,3.28,06021
6,22,790,764,96.71,26,3.29,06022
6,23,712,691,97.05,21,2.95,06023
6,24,645,615,95.35,30,4.65,06024
6,25,488,472,96.72,16,3.28,06025
6,26,828,788,95.17,40,4.83,06026
6,27,749,728,97.2,21,2.8,06027
8,19,733,702,95.77,31,4.23,08019
8,21,371,353,95.15,18,4.85,08021
8,23,785,763,97.2,22,2.8,08023
8,24,504,491,97.42,13,2.58,08024
8,26,411,394,95.86,17,4.14,08026
9,6,717,694,96.79,23,3.21,09006
9,9,249,233,93.57,16,6.43,09009
9,10,670,647,96.57,23,3.43,09010
9,12,622,602,96.78,20,3.22,09012
9,13,570,542,95.09,28,4.91,09013
9,14,330,319,96.67,11,3.33,09014
9,15,465,443,95.27,22,4.73,09015
9,16,621,583,93.88,38,6.12,09016
9,19,256,239,93.36,17,6.64,09019
9,20,501,427,85.23,74,14.77,09020
10,20,1,0,0.0,1,100.0,10020
10,23,1,1,100.0,0,0.0,10023
