ward,precinct,total,Kevin Olickal,Kevin Olickal Percent,Vince Romano,Vince Romano Percent,precinct_id
40,2,669,550,82.21,119,17.79,40002
40,3,236,181,76.69,55,23.31,40003
40,5,492,395,80.28,97,19.72,40005
40,6,570,471,82.63,99,17.37,40006
40,8,412,326,79.13,86,20.87,40008
40,9,14,12,85.71,2,14.29,40009
40,10,1076,959,89.13,117,10.87,40010
45,3,337,179,53.12,158,46.88,45003
48,7,167,142,85.03,25,14.97,48007
48,28,531,505,95.1,26,4.9,48028
49,10,148,127,85.81,21,14.19,49010
50,1,537,358,66.67,179,33.33,50001
50,2,532,349,65.6,183,34.4,50002
50,3,425,301,70.82,124,29.18,50003
50,5,706,531,75.21,175,24.79,50005
50,7,222,198,89.19,24,10.81,50007
50,8,525,447,85.14,78,14.86,50008
50,9,167,121,72.46,46,27.54,50009
50,10,407,261,64.13,146,35.87,50010
50,11,590,393,66.61,197,33.39,50011
50,12,189,108,57.14,81,42.86,50012
50,13,596,466,78.19,130,21.81,50013
50,14,137,80,58.39,57,41.61,50014
50,15,388,303,78.09,85,21.91,50015
50,16,133,65,48.87,68,51.13,50016
50,17,305,223,73.11,82,26.89,50017
50,18,75,56,74.67,19,25.33,50018
50,19,241,190,78.84,51,21.16,50019
50,20,218,189,86.7,29,13.3,50020
50,21,504,435,86.31,69,13.69,50021
50,22,633,388,61.3,245,38.7,50022
50,26,238,166,69.75,72,30.25,50026
50,27,131,80,61.07,51,38.93,50027
