ward,precinct,total,Cyril Nichols,Cyril Nichols Percent,Carl R. Kunz,Carl R. Kunz Percent,precinct_id
6,3,80,75,93.75,5,6.25,06003
6,4,195,192,98.46,3,1.54,06004
6,5,269,257,95.54,12,4.46,06005
6,7,222,209,94.14,13,5.86,06007
6,8,314,302,96.18,12,3.82,06008
6,9,535,512,95.7,23,4.3,06009
6,10,365,352,96.44,13,3.56,06010
6,11,193,186,96.37,7,3.63,06011
6,14,386,369,95.6,17,4.4,06014
6,15,556,531,95.5,25,4.5,06015
6,16,322,313,97.2,9,2.8,06016
8,2,299,280,93.65,19,6.35,08002
8,3,233,229,98.28,4,1.72,08003
8,10,139,130,93.53,9,6.47,08010
14,1,161,139,86.34,22,13.66,14001
14,15,40,34,85.0,6,15.0,14015
15,15,212,192,90.57,20,9.43,15015
15,16,340,312,91.76,28,8.24,15016
16,4,183,176,96.17,7,3.83,16004
16,10,55,52,94.55,3,5.45,16010
16,11,51,50,98.04,1,1.96,16011
16,14,401,374,93.27,27,6.73,16014
16,20,106,100,94.34,6,5.66,16020
16,22,157,147,93.63,10,6.37,16022
17,1,416,351,84.38,65,15.63,17001
17,2,257,233,90.66,24,9.34,17002
17,3,305,295,96.72,10,3.28,17003
17,4,309,292,94.5,17,5.5,17004
17,5,138,129,93.48,9,6.52,17005
17,6,304,291,95.72,13,4.28,17006
17,7,175,166,94.86,9,5.14,17007
17,8,229,223,97.38,6,2.62,17008
17,9,233,225,96.57,8,3.43,17009
17,11,280,271,96.79,9,3.21,17011
17,12,172,166,96.51,6,3.49,17012
17,13,193,187,96.89,6,3.11,17013
17,14,170,163,95.88,7,4.12,17014
18,11,453,433,95.58,20,4.42,18011
18,14,441,419,95.01,22,4.99,18014
18,15,323,301,93.19,22,6.81,18015
18,16,500,474,94.8,26,5.2,18016
18,17,379,350,92.35,29,7.65,18017
18,18,486,393,80.86,93,19.14,18018
18,19,427,374,87.59,53,12.41,18019
18,20,389,326,83.8,63,16.2,18020
18,21,524,481,91.79,43,8.21,18021
18,22,544,361,66.36,183,33.64,18022
18,23,612,365,59.64,247,40.36,18023
18,24,648,489,75.46,159,24.54,18024
18,25,351,241,68.66,110,31.34,18025
18,26,599,435,72.62,164,27.38,18026
