ward,precinct,total,Maria Pappas,Maria Pappas Percent,Peter Kopsaftis,Peter Kopsaftis Percent,Michael Murphy,Michael Murphy Percent,precinct_id
1,1,854,783,91.69,54,6.32,17,1.99,01001
1,2,857,769,89.73,66,7.7,22,2.57,01002
1,3,924,821,88.85,90,9.74,13,1.41,01003
1,4,818,765,93.52,36,4.4,17,2.08,01004
1,5,873,790,90.49,57,6.53,26,2.98,01005
1,6,738,654,88.62,74,10.03,10,1.36,01006
1,7,898,821,91.43,57,6.35,20,2.23,01007
1,8,791,701,88.62,71,8.98,19,2.4,01008
1,9,443,374,84.42,51,11.51,18,4.06,01009
1,10,1058,923,87.24,110,10.4,25,2.36,01010
1,11,819,718,87.67,85,10.38,16,1.95,01011
1,12,389,336,86.38,45,11.57,8,2.06,01012
1,13,579,519,89.64,53,9.15,7,1.21,01013
1,14,544,474,87.13,52,9.56,18,3.31,01014
1,15,883,766,86.75,100,11.33,17,1.93,01015
1,16,903,789,87.38,100,11.07,14,1.55,01016
1,17,558,491,87.99,56,10.04,11,1.97,01017
1,18,794,701,88.29,73,9.19,20,2.52,01018
1,19,715,599,83.78,98,13.71,18,2.52,01019
1,20,718,619,86.21,81,11.28,18,2.51,01020
1,21,710,600,84.51,84,11.83,26,3.66,01021
1,22,984,842,85.57,122,12.4,20,2.03,01022
1,23,479,408,85.18,61,12.73,10,2.09,01023
1,24,1028,889,86.48,123,11.96,16,1.56,01024
1,25,930,793,85.27,113,12.15,24,2.58,01025
1,26,881,717,81.38,141,16.0,23,2.61,01026
2,1,835,619,74.13,194,23.23,22,2.63,02001
2,2,1022,811,79.35,194,18.98,17,1.66,02002
2,3,628,493,78.5,118,18.79,17,2.71,02003
2,4,690,542,78.55,131,18.99,17,2.46,02004
2,5,693,518,74.75,162,23.38,13,1.88,02005
2,6,977,778,79.63,186,19.04,13,1.33,02006
2,7,894,679,75.95,202,22.6,13,1.45,02007
2,8,700,530,75.71,159,22.71,11,1.57,02008
2,9,972,729,75.0,219,22.53,24,2.47,02009
2,10,481,339,70.48,126,26.2,16,3.33,02010
2,11,747,577,77.24,160,21.42,10,1.34,02011
2,12,655,491,74.96,149,22.75,15,2.29,02012
2,13,917,656,71.54,243,26.5,18,1.96,02013
2,14,556,436,78.42,105,18.88,15,2.7,02014
2,15,769,570,74.12,186,24.19,13,1.69,02015
2,16,842,646,76.72,184,21.85,12,1.43,02016
2,17,1183,917,77.51,237,20.03,29,2.45,02017
2,18,734,546,74.39,169,23.02,19,2.59,02018
2,19,398,301,75.63,87,21.86,10,2.51,02019
2,20,513,383,74.66,120,23.39,10,1.95,02020
2,21,161,113,70.19,43,26.71,5,3.11,02021
2,22,609,459,75.37,129,21.18,21,3.45,02022
2,23,664,525,79.07,129,19.43,10,1.51,02023
2,24,524,397,75.76,113,21.56,14,2.67,02024
2,25,809,621,76.76,163,20.15,25,3.09,02025
3,1,690,644,93.33,20,2.9,26,3.77,03001
3,2,692,675,97.54,9,1.3,8,1.16,03002
3,3,501,444,88.62,49,9.78,8,1.6,03003
3,4,510,484,94.9,13,2.55,13,2.55,03004
3,5,132,119,90.15,7,5.3,6,4.55,03005
3,6,726,645,88.84,64,8.82,17,2.34,03006
3,7,365,337,92.33,18,4.93,10,2.74,03007
3,8,535,505,94.39,11,2.06,19,3.55,03008
3,9,430,379,88.14,37,8.6,14,3.26,03009
3,10,484,401,82.85,72,14.88,11,2.27,03010
3,11,742,701,94.47,19,2.56,22,2.96,03011
3,12,691,658,95.22,13,1.88,20,2.89,03012
3,13,912,756,82.89,141,15.46,15,1.64,03013
3,14,951,776,81.6,150,15.77,25,2.63,03014
3,15,567,534,94.18,14,2.47,19,3.35,03015
3,16,369,332,89.97,28,7.59,9,2.44,03016
3,17,200,187,93.5,8,4.0,5,2.5,03017
3,18,235,223,94.89,7,2.98,5,2.13,03018
3,19,990,804,81.21,167,16.87,19,1.92,03019
3,20,627,600,95.69,18,2.87,9,1.44,03020
3,21,621,536,86.31,65,10.47,20,3.22,03021
3,22,509,460,90.37,36,7.07,13,2.55,03022
3,23,339,300,88.5,18,5.31,21,6.19,03023
3,24,131,126,96.18,2,1.53,3,2.29,03024
3,25,988,797,80.67,169,17.11,22,2.23,03025
