ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,Marc James,Marc James Percent,precinct_id
32,1,1257,1062,84.49,195,15.51,32001
32,2,622,533,85.69,89,14.31,32002
32,3,739,626,84.71,113,15.29,32003
32,4,714,610,85.43,104,14.57,32004
32,5,567,478,84.3,89,15.7,32005
32,6,342,293,85.67,49,14.33,32006
32,7,775,603,77.81,172,22.19,32007
32,8,524,447,85.31,77,14.69,32008
32,9,522,416,79.69,106,20.31,32009
32,14,1071,907,84.69,164,15.31,32014
32,15,1114,851,76.39,263,23.61,32015
32,20,1034,800,77.37,234,22.63,32020
33,16,470,428,91.06,42,8.94,33016
40,23,614,552,89.9,62,10.1,40023
43,17,824,666,80.83,158,19.17,43017
43,18,1146,911,79.49,235,20.51,43018
43,19,1085,825,76.04,260,23.96,43019
44,2,796,637,80.03,159,19.97,44002
44,5,909,843,92.74,66,7.26,44005
44,9,1261,1058,83.9,203,16.1,44009
44,10,1222,1037,84.86,185,15.14,44010
44,11,961,806,83.87,155,16.13,44011
44,12,455,406,89.23,49,10.77,44012
44,13,1060,937,88.4,123,11.6,44013
44,14,1040,906,87.12,134,12.88,44014
44,16,1074,933,86.87,141,13.13,44016
44,20,691,619,89.58,72,10.42,44020
46,1,839,703,83.79,136,16.21,46001
46,2,815,735,90.18,80,9.82,46002
46,3,897,814,90.75,83,9.25,46003
46,4,1050,923,87.9,127,12.1,46004
46,5,851,721,84.72,130,15.28,46005
46,6,1269,1119,88.18,150,11.82,46006
46,9,185,161,87.03,24,12.97,46009
46,11,369,320,86.72,49,13.28,46011
46,12,1227,1101,89.73,126,10.27,46012
46,15,1223,1059,86.59,164,13.41,46015
47,7,1159,1053,90.85,106,9.15,47007
47,8,170,147,86.47,23,13.53,47008
47,14,842,709,84.2,133,15.8,47014
47,15,855,729,85.26,126,14.74,47015
47,16,887,771,86.92,116,13.08,47016
47,17,775,696,89.81,79,10.19,47017
47,21,948,816,86.08,132,13.92,47021
47,22,653,568,86.98,85,13.02,47022
47,23,903,792,87.71,111,12.29,47023
47,24,1069,917,85.78,152,14.22,47024
47,25,839,733,87.37,106,12.63,47025
47,26,1077,928,86.17,149,13.83,47026
47,27,957,841,87.88,116,12.12,47027
47,28,411,348,84.67,63,15.33,47028
