ward,precinct,total,Javier Loera Cervantes,Javier Loera Cervantes Percent,precinct_id
11,19,16,16,100.0,11019
11,20,386,386,100.0,11020
11,21,551,551,100.0,11021
12,3,344,344,100.0,12003
12,4,91,91,100.0,12004
12,5,220,220,100.0,12005
12,8,227,227,100.0,12008
12,19,3,3,100.0,12019
12,21,83,83,100.0,12021
14,1,270,270,100.0,14001
14,2,255,255,100.0,14002
14,3,182,182,100.0,14003
14,4,90,90,100.0,14004
14,5,317,317,100.0,14005
14,6,404,404,100.0,14006
14,7,387,387,100.0,14007
14,8,354,354,100.0,14008
14,9,387,387,100.0,14009
14,10,236,236,100.0,14010
14,11,400,400,100.0,14011
14,12,258,258,100.0,14012
14,13,431,431,100.0,14013
14,14,219,219,100.0,14014
14,15,185,185,100.0,14015
15,5,28,28,100.0,15005
15,6,105,105,100.0,15006
15,7,128,128,100.0,15007
15,8,213,213,100.0,15008
15,9,242,242,100.0,15009
15,10,99,99,100.0,15010
15,11,195,195,100.0,15011
15,12,258,258,100.0,15012
15,13,192,192,100.0,15013
15,14,200,200,100.0,15014
15,20,40,40,100.0,15020
16,23,127,127,100.0,16023
22,16,284,284,100.0,22016
22,17,142,142,100.0,22017
22,18,291,291,100.0,22018
22,19,416,416,100.0,22019
23,7,229,229,100.0,23007
23,8,118,118,100.0,23008
23,9,374,374,100.0,23009
23,10,299,299,100.0,23010
23,11,186,186,100.0,23011
23,13,453,453,100.0,23013
23,14,173,173,100.0,23014
23,15,119,119,100.0,23015
23,16,76,76,100.0,23016
23,27,41,41,100.0,23027
