ward,precinct,total,Willie Preston,Willie Preston Percent,precinct_id
6,3,82,82,100.0,06003
6,4,191,191,100.0,06004
6,5,248,248,100.0,06005
6,7,212,212,100.0,06007
6,8,297,297,100.0,06008
6,9,521,521,100.0,06009
6,10,351,351,100.0,06010
6,11,187,187,100.0,06011
6,12,390,390,100.0,06012
6,13,196,196,100.0,06013
6,14,377,377,100.0,06014
6,15,523,523,100.0,06015
6,16,315,315,100.0,06016
6,19,313,313,100.0,06019
8,2,298,298,100.0,08002
8,3,233,233,100.0,08003
8,10,142,142,100.0,08010
14,1,149,149,100.0,14001
14,15,39,39,100.0,14015
15,15,191,191,100.0,15015
15,16,316,316,100.0,15016
16,4,178,178,100.0,16004
16,10,50,50,100.0,16010
16,11,50,50,100.0,16011
16,14,377,377,100.0,16014
16,20,105,105,100.0,16020
16,22,148,148,100.0,16022
17,1,384,384,100.0,17001
17,2,237,237,100.0,17002
17,3,297,297,100.0,17003
17,4,296,296,100.0,17004
17,5,190,190,100.0,17005
17,6,288,288,100.0,17006
17,7,165,165,100.0,17007
17,8,230,230,100.0,17008
17,9,233,233,100.0,17009
17,10,459,459,100.0,17010
17,11,272,272,100.0,17011
17,12,165,165,100.0,17012
17,13,184,184,100.0,17013
17,14,201,201,100.0,17014
17,15,554,554,100.0,17015
17,16,251,251,100.0,17016
17,17,214,214,100.0,17017
17,18,629,629,100.0,17018
17,19,430,430,100.0,17019
17,20,418,418,100.0,17020
17,21,504,504,100.0,17021
17,22,500,500,100.0,17022
17,23,312,312,100.0,17023
17,24,541,541,100.0,17024
17,25,225,225,100.0,17025
17,26,428,428,100.0,17026
17,27,500,500,100.0,17027
17,28,592,592,100.0,17028
17,29,112,112,100.0,17029
18,1,304,304,100.0,18001
18,2,700,700,100.0,18002
18,3,290,290,100.0,18003
18,4,510,510,100.0,18004
18,5,428,428,100.0,18005
18,6,736,736,100.0,18006
18,8,836,836,100.0,18008
18,9,644,644,100.0,18009
18,10,763,763,100.0,18010
18,11,441,441,100.0,18011
18,12,668,668,100.0,18012
18,13,521,521,100.0,18013
18,14,420,420,100.0,18014
18,15,308,308,100.0,18015
18,16,486,486,100.0,18016
18,17,357,357,100.0,18017
18,18,424,424,100.0,18018
18,19,386,386,100.0,18019
18,20,348,348,100.0,18020
18,21,485,485,100.0,18021
18,22,411,411,100.0,18022
18,23,469,469,100.0,18023
18,24,556,556,100.0,18024
18,25,284,284,100.0,18025
18,26,516,516,100.0,18026
19,25,366,366,100.0,19025
21,23,496,496,100.0,21023
21,26,91,91,100.0,21026
