ward,precinct,total,"Xiaoli """"Alice"""" Hu","Xiaoli """"Alice"""" Hu Percent",precinct_id
1,14,533,73,13.7,01014
1,15,862,105,12.18,01015
1,16,882,115,13.04,01016
1,17,541,48,8.87,01017
1,18,774,76,9.82,01018
1,19,695,114,16.4,01019
1,20,699,79,11.3,01020
1,21,698,93,13.32,01021
1,22,962,123,12.79,01022
1,23,465,61,13.12,01023
2,5,412,118,28.64,02005
2,10,342,107,31.29,02010
2,11,723,175,24.2,02011
2,12,637,165,25.9,02012
2,23,252,63,25.0,02023
2,24,503,116,23.06,02024
2,25,767,193,25.16,02025
27,9,10,2,20.0,27009
27,11,523,125,23.9,27011
27,13,392,43,10.97,27013
27,15,297,55,18.52,27015
27,28,458,126,27.51,27028
27,29,848,167,19.69,27029
32,1,1216,213,17.52,32001
32,2,956,136,14.23,32002
32,3,705,135,19.15,32003
32,4,673,108,16.05,32004
32,6,322,58,18.01,32006
32,7,729,173,23.73,32007
32,8,494,80,16.19,32008
32,9,485,111,22.89,32009
32,10,919,172,18.72,32010
32,11,592,135,22.8,32011
32,12,326,82,25.15,32012
32,13,221,70,31.67,32013
32,14,1014,187,18.44,32014
32,15,1038,260,25.05,32015
32,16,485,95,19.59,32016
32,17,932,218,23.39,32017
32,18,367,49,13.35,32018
32,19,435,79,18.16,32019
32,20,959,221,23.04,32020
32,21,916,119,12.99,32021
32,22,910,116,12.75,32022
32,23,600,99,16.5,32023
32,24,327,73,22.32,32024
32,25,664,112,16.87,32025
32,26,892,172,19.28,32026
32,27,893,116,12.99,32027
32,28,268,47,17.54,32028
33,1,934,128,13.7,33001
33,2,989,94,9.5,33002
33,3,698,92,13.18,33003
33,4,957,136,14.21,33004
33,5,147,18,12.24,33005
33,8,37,6,16.22,33008
33,9,587,96,16.35,33009
33,10,573,64,11.17,33010
33,11,456,57,12.5,33011
33,12,702,80,11.4,33012
33,13,626,85,13.58,33013
33,14,830,82,9.88,33014
33,15,626,64,10.22,33015
33,16,779,79,10.14,33016
33,17,746,94,12.6,33017
35,17,526,61,11.6,35017
35,19,610,88,14.43,35019
35,20,371,56,15.09,35020
35,22,792,142,17.93,35022
38,17,606,195,32.18,38017
38,18,701,199,28.39,38018
38,20,627,194,30.94,38020
38,21,778,230,29.56,38021
38,22,251,70,27.89,38022
38,24,710,192,27.04,38024
38,25,849,183,21.55,38025
39,3,460,95,20.65,39003
39,4,41,20,48.78,39004
39,5,434,93,21.43,39005
39,6,333,72,21.62,39006
39,7,316,56,17.72,39007
39,8,327,72,22.02,39008
39,9,303,83,27.39,39009
39,10,419,60,14.32,39010
39,11,319,86,26.96,39011
39,13,771,156,20.23,39013
39,16,374,78,20.86,39016
39,21,715,138,19.3,39021
39,24,274,35,12.77,39024
39,25,367,54,14.71,39025
39,26,313,55,17.57,39026
39,28,355,67,18.87,39028
39,29,158,43,27.22,39029
40,17,728,83,11.4,40017
40,18,829,103,12.42,40018
40,19,718,80,11.14,40019
40,20,831,94,11.31,40020
40,22,1028,123,11.96,40022
40,23,1061,100,9.43,40023
41,13,109,55,50.46,41013
42,9,479,165,34.45,42009
42,10,25,2,8.0,42010
42,12,461,144,31.24,42012
42,13,338,75,22.19,42013
42,16,803,255,31.76,42016
42,17,236,83,35.17,42017
42,18,497,132,26.56,42018
42,19,581,149,25.65,42019
42,20,791,251,31.73,42020
42,21,889,218,24.52,42021
42,22,825,212,25.7,42022
42,23,326,71,21.78,42023
43,4,653,145,22.21,43004
43,5,1018,208,20.43,43005
43,6,1178,231,19.61,43006
43,8,684,112,16.37,43008
43,9,1190,211,17.73,43009
43,10,785,204,25.99,43010
43,11,544,142,26.1,43011
43,12,1024,245,23.93,43012
43,13,742,177,23.85,43013
43,14,454,114,25.11,43014
43,15,968,217,22.42,43015
43,16,389,93,23.91,43016
43,17,914,199,21.77,43017
43,18,1091,240,22.0,43018
43,19,1036,264,25.48,43019
43,20,867,207,23.88,43020
43,21,450,104,23.11,43021
43,22,1080,260,24.07,43022
43,23,744,204,27.42,43023
45,21,529,158,29.87,45021
45,22,616,105,17.05,45022
45,23,640,162,25.31,45023
45,24,543,153,28.18,45024
45,25,777,175,22.52,45025
45,26,570,134,23.51,45026
45,27,685,135,19.71,45027
47,7,1317,128,9.72,47007
47,8,82,12,14.63,47008
47,14,815,138,16.93,47014
47,15,816,124,15.2,47015
47,16,843,122,14.47,47016
47,17,737,85,11.53,47017
47,18,931,101,10.85,47018
47,19,915,91,9.95,47019
47,21,901,140,15.54,47021
47,23,873,121,13.86,47023
47,24,1041,169,16.23,47024
47,25,808,108,13.37,47025
47,26,1032,163,15.79,47026
47,27,921,117,12.7,47027
47,28,691,132,19.1,47028
