ward,precinct,total,Mike Simmons,Mike Simmons Percent,precinct_id
40,3,349,349,100.0,40003
40,4,331,331,100.0,40004
40,7,549,549,100.0,40007
40,9,582,582,100.0,40009
40,11,395,395,100.0,40011
40,12,647,647,100.0,40012
40,13,689,689,100.0,40013
40,14,926,926,100.0,40014
40,15,663,663,100.0,40015
40,16,656,656,100.0,40016
40,17,675,675,100.0,40017
40,18,768,768,100.0,40018
40,19,685,685,100.0,40019
40,20,772,772,100.0,40020
40,21,708,708,100.0,40021
40,22,928,928,100.0,40022
40,23,448,448,100.0,40023
44,16,106,106,100.0,44016
44,19,1011,1011,100.0,44019
46,7,736,736,100.0,46007
46,8,874,874,100.0,46008
46,9,717,717,100.0,46009
46,10,803,803,100.0,46010
46,11,588,588,100.0,46011
46,13,984,984,100.0,46013
46,14,540,540,100.0,46014
46,16,785,785,100.0,46016
46,17,998,998,100.0,46017
46,18,908,908,100.0,46018
46,19,711,711,100.0,46019
46,20,658,658,100.0,46020
46,21,488,488,100.0,46021
46,22,646,646,100.0,46022
46,23,549,549,100.0,46023
47,1,716,716,100.0,47001
47,2,689,689,100.0,47002
47,3,702,702,100.0,47003
47,4,866,866,100.0,47004
47,5,1024,1024,100.0,47005
47,6,876,876,100.0,47006
47,7,170,170,100.0,47007
47,8,619,619,100.0,47008
47,9,958,958,100.0,47009
47,10,869,869,100.0,47010
47,11,765,765,100.0,47011
47,12,558,558,100.0,47012
47,13,606,606,100.0,47013
47,18,861,861,100.0,47018
47,19,851,851,100.0,47019
47,20,818,818,100.0,47020
47,22,123,123,100.0,47022
48,1,883,883,100.0,48001
48,2,284,284,100.0,48002
48,3,464,464,100.0,48003
48,4,518,518,100.0,48004
48,5,304,304,100.0,48005
48,6,709,709,100.0,48006
48,7,520,520,100.0,48007
48,8,439,439,100.0,48008
48,9,317,317,100.0,48009
48,10,822,822,100.0,48010
48,11,541,541,100.0,48011
48,12,750,750,100.0,48012
48,13,547,547,100.0,48013
48,14,639,639,100.0,48014
48,15,512,512,100.0,48015
48,16,404,404,100.0,48016
48,17,203,203,100.0,48017
48,18,690,690,100.0,48018
48,19,370,370,100.0,48019
48,20,260,260,100.0,48020
48,21,587,587,100.0,48021
48,22,360,360,100.0,48022
48,23,443,443,100.0,48023
48,24,799,799,100.0,48024
48,25,686,686,100.0,48025
48,26,362,362,100.0,48026
48,27,453,453,100.0,48027
48,28,84,84,100.0,48028
48,29,213,213,100.0,48029
48,30,610,610,100.0,48030
48,31,635,635,100.0,48031
48,32,537,537,100.0,48032
48,33,258,258,100.0,48033
48,34,497,497,100.0,48034
48,35,771,771,100.0,48035
49,1,724,724,100.0,49001
49,2,671,671,100.0,49002
49,3,906,906,100.0,49003
49,4,912,912,100.0,49004
49,5,948,948,100.0,49005
49,6,78,78,100.0,49006
49,7,886,886,100.0,49007
49,8,1032,1032,100.0,49008
49,9,943,943,100.0,49009
49,10,499,499,100.0,49010
49,11,690,690,100.0,49011
49,12,612,612,100.0,49012
49,13,785,785,100.0,49013
49,14,958,958,100.0,49014
49,15,866,866,100.0,49015
49,16,838,838,100.0,49016
49,17,906,906,100.0,49017
50,7,453,453,100.0,50007
50,28,23,23,100.0,50028
