ward,precinct,total,Fritz Kaegi,Fritz Kaegi Percent,Nico Tsatsoulis,Nico Tsatsoulis Percent,precinct_id
1,1,839,767,91.42,72,8.58,01001
1,2,838,755,90.1,83,9.9,01002
1,3,897,800,89.19,97,10.81,01003
1,4,809,755,93.33,54,6.67,01004
1,5,849,775,91.28,74,8.72,01005
1,6,726,646,88.98,80,11.02,01006
1,7,880,810,92.05,70,7.95,01007
1,8,775,694,89.55,81,10.45,01008
1,9,428,371,86.68,57,13.32,01009
1,10,1031,921,89.33,110,10.67,01010
1,11,793,713,89.91,80,10.09,01011
1,12,372,330,88.71,42,11.29,01012
1,13,561,506,90.2,55,9.8,01013
1,14,519,451,86.9,68,13.1,01014
1,15,857,768,89.61,89,10.39,01015
1,16,860,781,90.81,79,9.19,01016
1,17,546,489,89.56,57,10.44,01017
1,18,774,698,90.18,76,9.82,01018
1,19,681,589,86.49,92,13.51,01019
1,20,699,617,88.27,82,11.73,01020
1,21,680,599,88.09,81,11.91,01021
1,22,950,825,86.84,125,13.16,01022
1,23,464,405,87.28,59,12.72,01023
1,24,989,874,88.37,115,11.63,01024
1,25,888,777,87.5,111,12.5,01025
1,26,826,706,85.47,120,14.53,01026
2,1,750,610,81.33,140,18.67,02001
2,2,949,828,87.25,121,12.75,02002
2,3,583,496,85.08,87,14.92,02003
2,4,629,540,85.85,89,14.15,02004
2,5,625,507,81.12,118,18.88,02005
2,6,892,759,85.09,133,14.91,02006
2,7,800,654,81.75,146,18.25,02007
2,8,627,521,83.09,106,16.91,02008
2,9,889,729,82.0,160,18.0,02009
2,10,433,338,78.06,95,21.94,02010
2,11,680,582,85.59,98,14.41,02011
2,12,614,498,81.11,116,18.89,02012
2,13,842,672,79.81,170,20.19,02013
2,14,523,444,84.89,79,15.11,02014
2,15,724,590,81.49,134,18.51,02015
2,16,790,647,81.9,143,18.1,02016
2,17,1102,920,83.48,182,16.52,02017
2,18,683,558,81.7,125,18.3,02018
2,19,375,299,79.73,76,20.27,02019
2,20,464,374,80.6,90,19.4,02020
2,21,150,115,76.67,35,23.33,02021
