ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,3,105,105,100.0,29003
29,4,348,348,100.0,29004
29,5,387,387,100.0,29005
29,6,277,277,100.0,29006
29,7,609,609,100.0,29007
29,8,835,835,100.0,29008
29,9,362,362,100.0,29009
29,10,506,506,100.0,29010
29,11,412,412,100.0,29011
29,12,554,554,100.0,29012
29,13,563,563,100.0,29013
29,14,477,477,100.0,29014
29,15,442,442,100.0,29015
29,16,510,510,100.0,29016
29,17,327,327,100.0,29017
36,8,143,143,100.0,36008
37,4,376,376,100.0,37004
37,9,196,196,100.0,37009
37,18,371,371,100.0,37018
