ward,precinct,total,Omar Aquino,Omar Aquino Percent,precinct_id
1,8,727,727,100.0,01008
1,10,994,994,100.0,01010
1,11,757,757,100.0,01011
1,12,363,363,100.0,01012
1,13,540,540,100.0,01013
1,14,481,481,100.0,01014
1,15,809,809,100.0,01015
1,16,803,803,100.0,01016
1,17,523,523,100.0,01017
1,20,668,668,100.0,01020
1,22,907,907,100.0,01022
1,24,934,934,100.0,01024
26,1,213,213,100.0,26001
26,2,263,263,100.0,26002
26,3,229,229,100.0,26003
26,4,256,256,100.0,26004
26,5,363,363,100.0,26005
26,6,218,218,100.0,26006
26,7,361,361,100.0,26007
26,8,261,261,100.0,26008
26,9,220,220,100.0,26009
26,10,278,278,100.0,26010
26,11,271,271,100.0,26011
26,12,105,105,100.0,26012
26,13,213,213,100.0,26013
26,14,169,169,100.0,26014
26,15,189,189,100.0,26015
26,16,436,436,100.0,26016
26,17,405,405,100.0,26017
26,18,165,165,100.0,26018
26,19,465,465,100.0,26019
26,20,491,491,100.0,26020
26,21,182,182,100.0,26021
26,22,179,179,100.0,26022
26,23,377,377,100.0,26023
26,24,181,181,100.0,26024
26,25,409,409,100.0,26025
26,26,461,461,100.0,26026
26,27,481,481,100.0,26027
26,28,452,452,100.0,26028
26,29,429,429,100.0,26029
26,30,242,242,100.0,26030
26,31,263,263,100.0,26031
26,32,380,380,100.0,26032
27,5,207,207,100.0,27005
27,19,161,161,100.0,27019
27,24,168,168,100.0,27024
27,25,0,0,0.0,27025
27,27,26,26,100.0,27027
29,2,342,342,100.0,29002
29,3,223,223,100.0,29003
29,6,69,69,100.0,29006
30,1,425,425,100.0,30001
30,2,256,256,100.0,30002
30,4,327,327,100.0,30004
30,5,355,355,100.0,30005
30,11,295,295,100.0,30011
30,12,294,294,100.0,30012
30,13,329,329,100.0,30013
30,16,280,280,100.0,30016
30,21,453,453,100.0,30021
31,3,39,39,100.0,31003
31,16,28,28,100.0,31016
31,20,144,144,100.0,31020
31,22,139,139,100.0,31022
31,23,160,160,100.0,31023
32,30,808,808,100.0,32030
35,1,181,181,100.0,35001
35,2,466,466,100.0,35002
35,3,342,342,100.0,35003
35,4,530,530,100.0,35004
35,5,733,733,100.0,35005
35,7,720,720,100.0,35007
35,8,476,476,100.0,35008
36,1,225,225,100.0,36001
36,2,307,307,100.0,36002
36,3,240,240,100.0,36003
36,4,307,307,100.0,36004
36,5,265,265,100.0,36005
36,6,222,222,100.0,36006
36,7,181,181,100.0,36007
36,9,395,395,100.0,36009
36,10,281,281,100.0,36010
36,11,217,217,100.0,36011
36,12,167,167,100.0,36012
36,13,92,92,100.0,36013
36,14,279,279,100.0,36014
36,15,141,141,100.0,36015
36,16,110,110,100.0,36016
36,17,429,429,100.0,36017
36,18,488,488,100.0,36018
36,19,653,653,100.0,36019
36,20,705,705,100.0,36020
36,21,458,458,100.0,36021
36,22,629,629,100.0,36022
36,23,528,528,100.0,36023
36,24,578,578,100.0,36024
36,25,657,657,100.0,36025
36,26,612,612,100.0,36026
36,27,673,673,100.0,36027
37,2,319,319,100.0,37002
37,7,360,360,100.0,37007
37,16,20,20,100.0,37016
37,19,270,270,100.0,37019
37,21,290,290,100.0,37021
37,22,152,152,100.0,37022
38,15,193,193,100.0,38015
38,16,529,529,100.0,38016
38,22,125,125,100.0,38022
