ward,precinct,total,"Jawaharial """"Omar"""" Williams","Jawaharial """"Omar"""" Williams Percent",precinct_id
1,18,739,739,100.0,01018
1,19,670,670,100.0,01019
1,21,644,644,100.0,01021
1,23,434,434,100.0,01023
1,25,843,843,100.0,01025
1,26,756,756,100.0,01026
2,24,421,421,100.0,02024
2,25,645,645,100.0,02025
24,2,202,202,100.0,24002
24,6,364,364,100.0,24006
24,10,306,306,100.0,24010
27,1,475,475,100.0,27001
27,2,648,648,100.0,27002
27,3,350,350,100.0,27003
27,4,452,452,100.0,27004
27,5,98,98,100.0,27005
27,7,774,774,100.0,27007
27,8,183,183,100.0,27008
27,10,315,315,100.0,27010
27,11,468,468,100.0,27011
27,13,458,458,100.0,27013
27,14,343,343,100.0,27014
27,16,302,302,100.0,27016
27,17,184,184,100.0,27017
27,18,188,188,100.0,27018
27,22,358,358,100.0,27022
27,23,305,305,100.0,27023
27,25,421,421,100.0,27025
27,26,467,467,100.0,27026
27,27,319,319,100.0,27027
27,29,737,737,100.0,27029
28,3,79,79,100.0,28003
28,4,222,222,100.0,28004
28,5,236,236,100.0,28005
28,6,386,386,100.0,28006
28,7,178,178,100.0,28007
28,8,372,372,100.0,28008
28,10,34,34,100.0,28010
28,18,340,340,100.0,28018
28,19,344,344,100.0,28019
28,20,275,275,100.0,28020
28,21,302,302,100.0,28021
28,22,223,223,100.0,28022
28,23,327,327,100.0,28023
28,24,166,166,100.0,28024
28,26,162,162,100.0,28026
32,23,14,14,100.0,32023
32,25,602,602,100.0,32025
32,26,797,797,100.0,32026
32,27,815,815,100.0,32027
32,29,302,302,100.0,32029
34,1,555,555,100.0,34001
34,3,176,176,100.0,34003
34,6,544,544,100.0,34006
34,7,248,248,100.0,34007
34,8,414,414,100.0,34008
37,13,294,294,100.0,37013
37,21,3,3,100.0,37021
43,20,420,420,100.0,43020
43,21,389,389,100.0,43021
43,22,623,623,100.0,43022
43,23,633,633,100.0,43023
