ward,precinct,total,Eva-Dina Delgado,Eva-Dina Delgado Percent,Jonathan Serrano,Jonathan Serrano Percent,precinct_id
1,8,790,715,90.51,75,9.49,01008
1,10,1072,952,88.81,120,11.19,01010
1,11,823,741,90.04,82,9.96,01011
1,12,399,356,89.22,43,10.78,01012
1,14,547,475,86.84,72,13.16,01014
1,15,893,798,89.36,95,10.64,01015
1,17,568,514,90.49,54,9.51,01017
1,20,730,656,89.86,74,10.14,01020
1,22,77,67,87.01,10,12.99,01022
26,1,24,21,87.5,3,12.5,26001
26,3,257,242,94.16,15,5.84,26003
26,7,394,346,87.82,48,12.18,26007
26,8,3,3,100.0,0,0.0,26008
26,11,295,263,89.15,32,10.85,26011
26,13,233,201,86.27,32,13.73,26013
26,17,455,401,88.13,54,11.87,26017
26,18,204,152,74.51,52,25.49,26018
26,19,507,466,91.91,41,8.09,26019
26,21,58,42,72.41,16,27.59,26021
26,23,426,378,88.73,48,11.27,26023
26,24,43,35,81.4,8,18.6,26024
26,28,510,464,90.98,46,9.02,26028
26,30,257,247,96.11,10,3.89,26030
26,32,410,358,87.32,52,12.68,26032
29,2,459,282,61.44,177,38.56,29002
29,3,291,206,70.79,85,29.21,29003
30,1,531,371,69.87,160,30.13,30001
30,2,329,221,67.17,108,32.83,30002
30,4,417,286,68.59,131,31.41,30004
30,5,437,330,75.51,107,24.49,30005
30,11,369,285,77.24,84,22.76,30011
30,12,379,269,70.98,110,29.02,30012
30,13,436,305,69.95,131,30.05,30013
30,16,357,244,68.35,113,31.65,30016
30,21,598,404,67.56,194,32.44,30021
31,3,47,33,70.21,14,29.79,31003
31,16,31,26,83.87,5,16.13,31016
31,20,176,145,82.39,31,17.61,31020
31,22,152,132,86.84,20,13.16,31022
31,23,198,158,79.8,40,20.2,31023
32,30,905,795,87.85,110,12.15,32030
35,2,517,445,86.07,72,13.93,35002
35,3,379,346,91.29,33,8.71,35003
35,4,574,514,89.55,60,10.45,35004
35,5,805,738,91.68,67,8.32,35005
35,7,784,701,89.41,83,10.59,35007
35,8,525,464,88.38,61,11.62,35008
36,1,299,190,63.55,109,36.45,36001
36,2,391,258,65.98,133,34.02,36002
36,3,316,213,67.41,103,32.59,36003
36,4,384,270,70.31,114,29.69,36004
36,5,323,250,77.4,73,22.6,36005
36,6,262,209,79.77,53,20.23,36006
36,7,217,172,79.26,45,20.74,36007
36,10,51,40,78.43,11,21.57,36010
36,11,91,72,79.12,19,20.88,36011
36,12,78,61,78.21,17,21.79,36012
38,15,262,162,61.83,100,38.17,38015
38,16,761,455,59.79,306,40.21,38016
38,22,146,111,76.03,35,23.97,38022
