ward,precinct,total,Aileen Bhandari,Aileen Bhandari Percent,precinct_id
29,1,373,373,100.0,29001
29,2,320,320,100.0,29002
29,3,295,295,100.0,29003
29,4,318,318,100.0,29004
29,5,341,341,100.0,29005
29,6,310,310,100.0,29006
29,7,527,527,100.0,29007
29,8,748,748,100.0,29008
29,9,302,302,100.0,29009
29,10,442,442,100.0,29010
29,11,375,375,100.0,29011
30,1,412,412,100.0,30001
30,2,282,282,100.0,30002
30,4,282,282,100.0,30004
30,5,256,256,100.0,30005
30,6,365,365,100.0,30006
30,7,263,263,100.0,30007
30,8,350,350,100.0,30008
30,9,377,377,100.0,30009
30,10,321,321,100.0,30010
30,11,270,270,100.0,30011
30,12,346,346,100.0,30012
30,13,290,290,100.0,30013
30,14,327,327,100.0,30014
30,16,244,244,100.0,30016
30,17,373,373,100.0,30017
30,18,338,338,100.0,30018
30,19,209,209,100.0,30019
30,20,263,263,100.0,30020
30,21,410,410,100.0,30021
30,22,133,133,100.0,30022
30,23,452,452,100.0,30023
30,24,142,142,100.0,30024
30,25,241,241,100.0,30025
30,26,463,463,100.0,30026
31,2,419,419,100.0,31002
31,3,219,219,100.0,31003
31,4,275,275,100.0,31004
31,9,45,45,100.0,31009
31,11,336,336,100.0,31011
31,12,399,399,100.0,31012
31,13,308,308,100.0,31013
31,15,129,129,100.0,31015
31,17,82,82,100.0,31017
31,19,255,255,100.0,31019
35,13,508,508,100.0,35013
36,1,221,221,100.0,36001
36,2,268,268,100.0,36002
36,3,218,218,100.0,36003
36,4,287,287,100.0,36004
36,5,228,228,100.0,36005
36,6,187,187,100.0,36006
36,7,162,162,100.0,36007
36,8,117,117,100.0,36008
36,9,365,365,100.0,36009
36,10,256,256,100.0,36010
37,10,150,150,100.0,37010
37,16,395,395,100.0,37016
38,1,392,392,100.0,38001
38,2,245,245,100.0,38002
38,3,325,325,100.0,38003
38,4,252,252,100.0,38004
38,5,391,391,100.0,38005
38,6,281,281,100.0,38006
38,7,333,333,100.0,38007
38,8,276,276,100.0,38008
38,9,313,313,100.0,38009
38,10,269,269,100.0,38010
38,11,352,352,100.0,38011
38,12,471,471,100.0,38012
38,13,244,244,100.0,38013
38,14,297,297,100.0,38014
38,15,249,249,100.0,38015
38,16,473,473,100.0,38016
38,17,403,403,100.0,38017
38,18,491,491,100.0,38018
38,19,517,517,100.0,38019
38,20,436,436,100.0,38020
38,21,416,416,100.0,38021
38,22,374,374,100.0,38022
38,23,540,540,100.0,38023
38,24,486,486,100.0,38024
41,1,260,260,100.0,41001
41,2,197,197,100.0,41002
41,3,200,200,100.0,41003
41,13,138,138,100.0,41013
45,21,76,76,100.0,45021
45,28,72,72,100.0,45028
45,29,22,22,100.0,45029
