ward,precinct,total,Laura M. Murphy,Laura M. Murphy Percent,Sal Raspanti,Sal Raspanti Percent,precinct_id
41,1,215,106,49.3,109,50.7,41001
41,2,360,207,57.5,153,42.5,41002
41,3,367,185,50.41,182,49.59,41003
41,15,1101,556,50.5,545,49.5,41015
41,16,118,75,63.56,43,36.44,41016
