ward,precinct,total,"Napoleon B. Harris, III","Napoleon B. Harris, III Percent",precinct_id
9,21,510,510,100.0,09021
9,27,272,272,100.0,09027
9,28,208,208,100.0,09028
10,24,158,158,100.0,10024
10,25,228,228,100.0,10025
