ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,"Maxwell """"Max"""" Rice","Maxwell """"Max"""" Rice Percent",precinct_id
40,1,591,513,86.8,78,13.2,40001
40,2,690,577,83.62,113,16.38,40002
40,3,642,540,84.11,102,15.89,40003
40,4,125,97,77.6,28,22.4,40004
40,5,498,410,82.33,88,17.67,40005
40,6,581,501,86.23,80,13.77,40006
40,7,634,565,89.12,69,10.88,40007
40,10,1095,1000,91.32,95,8.68,40010
40,14,990,939,94.85,51,5.15,40014
40,15,732,678,92.62,54,7.38,40015
40,16,709,668,94.22,41,5.78,40016
40,19,340,304,89.41,36,10.59,40019
40,20,859,771,89.76,88,10.24,40020
40,21,776,714,92.01,62,7.99,40021
41,28,719,388,53.96,331,46.04,41028
41,29,1075,598,55.63,477,44.37,41029
41,30,849,373,43.93,476,56.07,41030
41,31,773,352,45.54,421,54.46,41031
46,6,1275,1129,88.55,146,11.45,46006
46,7,440,408,92.73,32,7.27,46007
46,8,792,716,90.4,76,9.6,46008
46,10,498,459,92.17,39,7.83,46010
46,11,1036,921,88.9,115,11.1,46011
46,12,1235,1108,89.72,127,10.28,46012
46,13,1066,991,92.96,75,7.04,46013
46,14,593,557,93.93,36,6.07,46014
46,15,1235,1071,86.72,164,13.28,46015
46,16,850,797,93.76,53,6.24,46016
46,17,1062,1000,94.16,62,5.84,46017
46,18,979,907,92.65,72,7.35,46018
46,19,791,728,92.04,63,7.96,46019
46,20,732,658,89.89,74,10.11,46020
46,21,567,512,90.3,55,9.7,46021
46,22,715,647,90.49,68,9.51,46022
46,23,606,563,92.9,43,7.1,46023
47,2,245,230,93.88,15,6.12,47002
47,3,355,324,91.27,31,8.73,47003
47,4,944,877,92.9,67,7.1,47004
47,5,1090,1034,94.86,56,5.14,47005
47,6,923,884,95.77,39,4.23,47006
48,1,944,891,94.39,53,5.61,48001
48,2,328,291,88.72,37,11.28,48002
48,3,521,466,89.44,55,10.56,48003
48,4,570,536,94.04,34,5.96,48004
48,5,340,313,92.06,27,7.94,48005
48,6,765,705,92.16,60,7.84,48006
48,7,738,687,93.09,51,6.91,48007
48,8,511,444,86.89,67,13.11,48008
48,9,393,311,79.13,82,20.87,48009
48,10,888,839,94.48,49,5.52,48010
48,11,580,547,94.31,33,5.69,48011
48,12,866,750,86.61,116,13.39,48012
48,13,628,540,85.99,88,14.01,48013
48,14,705,643,91.21,62,8.79,48014
48,15,562,509,90.57,53,9.43,48015
48,16,433,388,89.61,45,10.39,48016
48,17,249,206,82.73,43,17.27,48017
48,18,749,674,89.99,75,10.01,48018
48,19,427,379,88.76,48,11.24,48019
48,20,297,258,86.87,39,13.13,48020
48,21,674,610,90.5,64,9.5,48021
48,22,412,358,86.89,54,13.11,48022
48,23,520,449,86.35,71,13.65,48023
48,24,982,807,82.18,175,17.82,48024
48,25,755,701,92.85,54,7.15,48025
48,26,415,360,86.75,55,13.25,48026
48,27,499,449,89.98,50,10.02,48027
48,28,628,597,95.06,31,4.94,48028
48,29,250,230,92.0,20,8.0,48029
48,30,675,616,91.26,59,8.74,48030
48,31,674,637,94.51,37,5.49,48031
48,32,575,527,91.65,48,8.35,48032
48,33,289,260,89.97,29,10.03,48033
48,34,533,498,93.43,35,6.57,48034
48,35,845,782,92.54,63,7.46,48035
49,1,829,765,92.28,64,7.72,49001
49,2,755,685,90.73,70,9.27,49002
49,3,1004,908,90.44,96,9.56,49003
49,4,995,926,93.07,69,6.93,49004
49,5,1037,955,92.09,82,7.91,49005
49,6,95,82,86.32,13,13.68,49006
49,7,992,895,90.22,97,9.78,49007
49,8,1120,1067,95.27,53,4.73,49008
49,9,1043,959,91.95,84,8.05,49009
49,10,695,635,91.37,60,8.63,49010
49,11,767,696,90.74,71,9.26,49011
49,12,703,632,89.9,71,10.1,49012
49,13,862,794,92.11,68,7.89,49013
49,14,1056,989,93.66,67,6.34,49014
49,15,970,892,91.96,78,8.04,49015
49,16,932,856,91.85,76,8.15,49016
49,17,988,921,93.22,67,6.78,49017
50,1,532,305,57.33,227,42.67,50001
50,2,535,318,59.44,217,40.56,50002
50,3,431,281,65.2,150,34.8,50003
50,4,458,361,78.82,97,21.18,50004
50,5,719,528,73.44,191,26.56,50005
50,6,325,286,88.0,39,12.0,50006
50,7,814,730,89.68,84,10.32,50007
50,8,538,470,87.36,68,12.64,50008
50,9,173,122,70.52,51,29.48,50009
50,10,407,231,56.76,176,43.24,50010
50,11,563,262,46.54,301,53.46,50011
50,12,191,112,58.64,79,41.36,50012
50,13,612,480,78.43,132,21.57,50013
50,14,143,76,53.15,67,46.85,50014
50,15,575,458,79.65,117,20.35,50015
50,16,137,65,47.45,72,52.55,50016
50,17,313,234,74.76,79,25.24,50017
50,18,77,38,49.35,39,50.65,50018
50,19,243,203,83.54,40,16.46,50019
50,20,220,193,87.73,27,12.27,50020
50,21,511,445,87.08,66,12.92,50021
50,22,629,318,50.56,311,49.44,50022
50,23,475,303,63.79,172,36.21,50023
50,24,257,136,52.92,121,47.08,50024
50,25,163,116,71.17,47,28.83,50025
50,26,273,165,60.44,108,39.56,50026
50,27,133,78,58.65,55,41.35,50027
