ward,precinct,total,Ram Villivalam,Ram Villivalam Percent,precinct_id
33,13,43,43,100.0,33013
39,1,483,483,100.0,39001
39,2,234,234,100.0,39002
39,4,469,469,100.0,39004
39,5,363,363,100.0,39005
39,6,258,258,100.0,39006
39,7,279,279,100.0,39007
39,8,279,279,100.0,39008
39,9,245,245,100.0,39009
39,10,230,230,100.0,39010
39,11,267,267,100.0,39011
39,12,439,439,100.0,39012
39,13,666,666,100.0,39013
39,14,575,575,100.0,39014
39,15,543,543,100.0,39015
39,16,295,295,100.0,39016
39,17,633,633,100.0,39017
39,18,118,118,100.0,39018
39,19,693,693,100.0,39019
39,20,140,140,100.0,39020
39,21,40,40,100.0,39021
39,22,269,269,100.0,39022
39,23,61,61,100.0,39023
39,25,163,163,100.0,39025
39,26,13,13,100.0,39026
39,27,268,268,100.0,39027
39,28,322,322,100.0,39028
39,29,121,121,100.0,39029
39,30,253,253,100.0,39030
39,31,301,301,100.0,39031
39,32,535,535,100.0,39032
39,33,261,261,100.0,39033
39,34,296,296,100.0,39034
39,35,510,510,100.0,39035
40,2,568,568,100.0,40002
40,3,194,194,100.0,40003
40,4,136,136,100.0,40004
40,5,409,409,100.0,40005
40,6,478,478,100.0,40006
40,8,338,338,100.0,40008
40,9,11,11,100.0,40009
40,10,978,978,100.0,40010
40,11,176,176,100.0,40011
41,24,163,163,100.0,41024
45,1,686,686,100.0,45001
45,2,385,385,100.0,45002
45,3,222,222,100.0,45003
45,4,279,279,100.0,45004
45,5,439,439,100.0,45005
45,6,96,96,100.0,45006
48,7,149,149,100.0,48007
48,28,498,498,100.0,48028
49,10,128,128,100.0,49010
50,1,412,412,100.0,50001
50,2,387,387,100.0,50002
50,3,330,330,100.0,50003
50,5,580,580,100.0,50005
50,7,202,202,100.0,50007
50,8,467,467,100.0,50008
50,9,130,130,100.0,50009
50,10,302,302,100.0,50010
50,11,432,432,100.0,50011
50,12,128,128,100.0,50012
50,13,492,492,100.0,50013
50,14,90,90,100.0,50014
50,15,315,315,100.0,50015
50,16,86,86,100.0,50016
50,17,238,238,100.0,50017
50,18,56,56,100.0,50018
50,19,207,207,100.0,50019
50,20,202,202,100.0,50020
50,21,432,432,100.0,50021
50,22,459,459,100.0,50022
50,23,345,345,100.0,50023
50,24,499,499,100.0,50024
50,25,119,119,100.0,50025
50,26,203,203,100.0,50026
50,27,90,90,100.0,50027
50,28,454,454,100.0,50028
