ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Tony Peraica,Tony Peraica Percent,Joseph Schreiner,Joseph Schreiner Percent,precinct_id
1,1,854,758,88.76,74,8.67,22,2.58,01001
1,2,854,759,88.88,76,8.9,19,2.22,01002
1,3,928,792,85.34,111,11.96,25,2.69,01003
1,4,817,756,92.53,44,5.39,17,2.08,01004
1,5,879,788,89.65,70,7.96,21,2.39,01005
1,6,739,646,87.42,82,11.1,11,1.49,01006
1,7,895,791,88.38,81,9.05,23,2.57,01007
1,8,793,694,87.52,80,10.09,19,2.4,01008
1,9,441,364,82.54,61,13.83,16,3.63,01009
1,10,1051,916,87.16,113,10.75,22,2.09,01010
1,11,817,712,87.15,90,11.02,15,1.84,01011
1,12,386,340,88.08,40,10.36,6,1.55,01012
1,13,579,510,88.08,63,10.88,6,1.04,01013
1,14,544,449,82.54,70,12.87,25,4.6,01014
1,15,874,754,86.27,102,11.67,18,2.06,01015
1,16,897,770,85.84,114,12.71,13,1.45,01016
1,17,559,486,86.94,60,10.73,13,2.33,01017
1,18,790,696,88.1,81,10.25,13,1.65,01018
1,19,710,593,83.52,104,14.65,13,1.83,01019
1,20,716,624,87.15,79,11.03,13,1.82,01020
1,21,705,600,85.11,77,10.92,28,3.97,01021
1,22,985,835,84.77,131,13.3,19,1.93,01022
1,23,476,401,84.24,62,13.03,13,2.73,01023
1,24,1027,869,84.62,142,13.83,16,1.56,01024
1,25,927,773,83.39,127,13.7,27,2.91,01025
1,26,880,700,79.55,158,17.95,22,2.5,01026
2,1,832,601,72.24,214,25.72,17,2.04,02001
2,2,1014,775,76.43,223,21.99,16,1.58,02002
2,3,629,491,78.06,125,19.87,13,2.07,02003
2,4,686,529,77.11,143,20.85,14,2.04,02004
2,5,680,469,68.97,191,28.09,20,2.94,02005
2,6,974,725,74.44,232,23.82,17,1.75,02006
2,7,888,611,68.81,261,29.39,16,1.8,02007
2,8,688,468,68.02,209,30.38,11,1.6,02008
2,9,961,664,69.09,280,29.14,17,1.77,02009
2,10,476,320,67.23,136,28.57,20,4.2,02010
2,11,743,560,75.37,174,23.42,9,1.21,02011
2,12,649,485,74.73,144,22.19,20,3.08,02012
2,13,915,635,69.4,254,27.76,26,2.84,02013
2,14,547,418,76.42,117,21.39,12,2.19,02014
2,15,758,516,68.07,226,29.82,16,2.11,02015
2,16,829,584,70.45,230,27.74,15,1.81,02016
2,17,1177,876,74.43,273,23.19,28,2.38,02017
