ward,precinct,total,Robin Kelly,Robin Kelly Percent,Paul McKinley,Paul McKinley Percent,LeAlan M. Jones,LeAlan M. Jones Percent,Curtiss Llong Bey,Curtiss Llong Bey Percent,Marcus Lewis,Marcus Lewis Percent,Elizabeth ''Liz'' Pahlke,Elizabeth ''Liz'' Pahlke Percent,precinct_id
5,1,58,55,94.83,1,1.72,1,1.72,0,0.0,1,1.72,0,0.0,05001
5,6,89,85,95.51,0,0.0,2,2.25,1,1.12,1,1.12,0,0.0,05006
5,10,27,26,96.3,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,05010
5,11,92,82,89.13,4,4.35,5,5.43,0,0.0,1,1.09,0,0.0,05011
5,14,137,129,94.16,2,1.46,5,3.65,0,0.0,0,0.0,1,0.73,05014
5,18,44,42,95.45,0,0.0,2,4.55,0,0.0,0,0.0,0,0.0,05018
5,23,162,147,90.74,8,4.94,5,3.09,0,0.0,1,0.62,1,0.62,05023
5,25,91,85,93.41,3,3.3,2,2.2,0,0.0,1,1.1,0,0.0,05025
5,26,89,87,97.75,0,0.0,0,0.0,0,0.0,2,2.25,0,0.0,05026
5,28,126,121,96.03,1,0.79,1,0.79,2,1.59,1,0.79,0,0.0,05028
5,29,104,94,90.38,3,2.88,5,4.81,2,1.92,0,0.0,0,0.0,05029
5,31,75,73,97.33,1,1.33,0,0.0,0,0.0,1,1.33,0,0.0,05031
5,32,199,188,94.47,5,2.51,3,1.51,0,0.0,3,1.51,0,0.0,05032
5,35,23,19,82.61,1,4.35,3,13.04,0,0.0,0,0.0,0,0.0,05035
5,36,100,92,92.0,5,5.0,0,0.0,1,1.0,2,2.0,0,0.0,05036
5,37,201,185,92.04,6,2.99,6,2.99,0,0.0,1,0.5,3,1.49,05037
5,38,77,72,93.51,1,1.3,3,3.9,1,1.3,0,0.0,0,0.0,05038
5,40,108,102,94.44,3,2.78,1,0.93,0,0.0,2,1.85,0,0.0,05040
