ward,precinct,total,Christopher Anthony,Christopher Anthony Percent,precinct_id
25,1,1,1,100.0,25001
25,2,0,0,0.0,25002
25,3,1,1,100.0,25003
25,4,0,0,0.0,25004
25,5,1,1,100.0,25005
25,6,0,0,0.0,25006
25,7,0,0,0.0,25007
25,8,4,4,100.0,25008
25,9,0,0,0.0,25009
25,10,0,0,0.0,25010
25,11,0,0,0.0,25011
25,12,0,0,0.0,25012
25,13,1,1,100.0,25013
25,14,0,0,0.0,25014
25,15,1,1,100.0,25015
25,16,0,0,0.0,25016
25,17,0,0,0.0,25017
25,18,1,1,100.0,25018
25,19,3,3,100.0,25019
25,20,0,0,0.0,25020
25,21,0,0,0.0,25021
25,22,0,0,0.0,25022
25,23,0,0,0.0,25023
25,24,2,2,100.0,25024
25,25,1,1,100.0,25025
25,26,0,0,0.0,25026
25,27,1,1,100.0,25027
25,28,1,1,100.0,25028
25,29,7,7,100.0,25029
25,30,1,1,100.0,25030
25,31,2,2,100.0,25031
25,32,5,5,100.0,25032
