ward,precinct,total,Verne Peterson,Verne Peterson Percent,precinct_id
33,1,0,0,0.0,33001
33,2,0,0,0.0,33002
33,3,0,0,0.0,33003
33,4,0,0,0.0,33004
33,5,0,0,0.0,33005
33,6,0,0,0.0,33006
33,7,0,0,0.0,33007
33,8,0,0,0.0,33008
33,9,0,0,0.0,33009
33,10,1,1,100.0,33010
33,11,0,0,0.0,33011
33,12,2,2,100.0,33012
33,13,2,2,100.0,33013
33,14,0,0,0.0,33014
33,15,0,0,0.0,33015
33,16,0,0,0.0,33016
33,17,1,1,100.0,33017
33,18,2,2,100.0,33018
33,19,0,0,0.0,33019
33,20,0,0,0.0,33020
33,21,0,0,0.0,33021
33,22,1,1,100.0,33022
33,23,0,0,0.0,33023
33,24,4,4,100.0,33024
33,25,0,0,0.0,33025
33,26,0,0,0.0,33026
33,27,1,1,100.0,33027
33,28,0,0,0.0,33028
