ward,precinct,total,BRANDON JOHNSON,BRANDON JOHNSON Percent,PAUL VALLAS,PAUL VALLAS Percent,precinct_id
1,1,779,533,68.42,246,31.58,01001
1,2,789,547,69.33,242,30.67,01002
1,3,858,538,62.7,320,37.3,01003
1,4,725,565,77.93,160,22.07,01004
1,5,764,552,72.25,212,27.75,01005
1,6,673,448,66.57,225,33.43,01006
1,7,836,622,74.4,214,25.6,01007
1,8,659,434,65.86,225,34.14,01008
1,9,406,241,59.36,165,40.64,01009
1,10,874,520,59.5,354,40.5,01010
1,11,683,468,68.52,215,31.48,01011
1,12,347,220,63.4,127,36.6,01012
1,13,531,348,65.54,183,34.46,01013
1,14,459,257,55.99,202,44.01,01014
1,15,791,443,56.01,348,43.99,01015
1,16,792,468,59.09,324,40.91,01016
1,17,480,287,59.79,193,40.21,01017
1,18,672,408,60.71,264,39.29,01018
1,19,592,339,57.26,253,42.74,01019
1,20,576,334,57.99,242,42.01,01020
1,21,600,391,65.17,209,34.83,01021
1,22,798,481,60.28,317,39.72,01022
1,23,384,222,57.81,162,42.19,01023
1,24,925,492,53.19,433,46.81,01024
1,25,808,415,51.36,393,48.64,01025
1,26,771,379,49.16,392,50.84,01026
2,1,633,163,25.75,470,74.25,02001
2,2,851,217,25.5,634,74.5,02002
2,3,475,163,34.32,312,65.68,02003
2,4,536,153,28.54,383,71.46,02004
2,5,621,137,22.06,484,77.94,02005
2,6,895,196,21.9,699,78.1,02006
2,7,790,159,20.13,631,79.87,02007
2,8,661,110,16.64,551,83.36,02008
2,9,855,172,20.12,683,79.88,02009
2,10,366,105,28.69,261,71.31,02010
2,11,551,162,29.4,389,70.6,02011
2,12,574,219,38.15,355,61.85,02012
2,13,780,196,25.13,584,74.87,02013
2,14,482,144,29.88,338,70.12,02014
2,15,691,142,20.55,549,79.45,02015
2,16,769,156,20.29,613,79.71,02016
2,17,1049,304,28.98,745,71.02,02017
2,18,567,200,35.27,367,64.73,02018
2,19,355,92,25.92,263,74.08,02019
2,20,467,107,22.91,360,77.09,02020
2,21,163,41,25.15,122,74.85,02021
2,22,503,199,39.56,304,60.44,02022
2,23,560,217,38.75,343,61.25,02023
2,24,522,160,30.65,362,69.35,02024
2,25,763,201,26.34,562,73.66,02025
3,1,555,456,82.16,99,17.84,03001
3,2,613,502,81.89,111,18.11,03002
3,3,458,261,56.99,197,43.01,03003
3,4,447,365,81.66,82,18.34,03004
3,5,128,103,80.47,25,19.53,03005
3,6,555,376,67.75,179,32.25,03006
3,7,344,254,73.84,90,26.16,03007
3,8,431,372,86.31,59,13.69,03008
3,9,339,209,61.65,130,38.35,03009
3,10,400,159,39.75,241,60.25,03010
3,11,635,519,81.73,116,18.27,03011
3,12,639,525,82.16,114,17.84,03012
3,13,825,329,39.88,496,60.12,03013
3,14,833,425,51.02,408,48.98,03014
3,15,478,382,79.92,96,20.08,03015
3,16,343,215,62.68,128,37.32,03016
3,17,132,105,79.55,27,20.45,03017
3,18,171,134,78.36,37,21.64,03018
3,19,921,351,38.11,570,61.89,03019
3,20,578,463,80.1,115,19.9,03020
3,21,502,268,53.39,234,46.61,03021
3,22,435,304,69.89,131,30.11,03022
3,23,275,202,73.45,73,26.55,03023
3,24,105,92,87.62,13,12.38,03024
3,25,908,251,27.64,657,72.36,03025
3,26,274,218,79.56,56,20.44,03026
3,27,755,334,44.24,421,55.76,03027
4,1,826,674,81.6,152,18.4,04001
4,2,313,236,75.4,77,24.6,04002
4,3,546,396,72.53,150,27.47,04003
4,4,625,536,85.76,89,14.24,04004
4,5,283,229,80.92,54,19.08,04005
4,6,431,312,72.39,119,27.61,04006
4,7,344,253,73.55,91,26.45,04007
4,8,424,334,78.77,90,21.23,04008
4,9,450,372,82.67,78,17.33,04009
4,10,434,357,82.26,77,17.74,04010
4,11,586,471,80.38,115,19.62,04011
4,12,408,305,74.75,103,25.25,04012
4,13,379,306,80.74,73,19.26,04013
4,14,400,330,82.5,70,17.5,04014
4,15,348,270,77.59,78,22.41,04015
4,16,492,399,81.1,93,18.9,04016
4,17,585,482,82.39,103,17.61,04017
4,18,182,153,84.07,29,15.93,04018
4,19,455,336,73.85,119,26.15,04019
4,20,563,436,77.44,127,22.56,04020
4,21,380,301,79.21,79,20.79,04021
4,22,185,126,68.11,59,31.89,04022
4,23,339,231,68.14,108,31.86,04023
4,24,682,486,71.26,196,28.74,04024
4,25,796,353,44.35,443,55.65,04025
4,26,817,355,43.45,462,56.55,04026
4,27,666,430,64.56,236,35.44,04027
4,28,801,466,58.18,335,41.82,04028
5,1,554,468,84.48,86,15.52,05001
5,2,673,517,76.82,156,23.18,05002
5,3,599,504,84.14,95,15.86,05003
5,4,516,417,80.81,99,19.19,05004
5,5,212,163,76.89,49,23.11,05005
5,6,258,197,76.36,61,23.64,05006
5,7,122,93,76.23,29,23.77,05007
5,8,182,137,75.27,45,24.73,05008
5,9,160,122,76.25,38,23.75,05009
5,10,224,185,82.59,39,17.41,05010
5,11,371,292,78.71,79,21.29,05011
5,12,703,480,68.28,223,31.72,05012
5,13,264,227,85.98,37,14.02,05013
5,14,309,256,82.85,53,17.15,05014
5,15,1006,776,77.14,230,22.86,05015
5,16,602,432,71.76,170,28.24,05016
5,17,428,325,75.93,103,24.07,05017
5,18,889,631,70.98,258,29.02,05018
5,19,409,285,69.68,124,30.32,05019
5,20,653,534,81.78,119,18.22,05020
5,21,607,476,78.42,131,21.58,05021
5,22,689,562,81.57,127,18.43,05022
5,23,351,233,66.38,118,33.62,05023
5,24,454,344,75.77,110,24.23,05024
5,25,1020,677,66.37,343,33.63,05025
6,1,175,144,82.29,31,17.71,06001
6,2,226,187,82.74,39,17.26,06002
6,3,69,56,81.16,13,18.84,06003
6,4,164,133,81.1,31,18.9,06004
6,5,319,237,74.29,82,25.71,06005
6,6,280,224,80.0,56,20.0,06006
6,7,343,277,80.76,66,19.24,06007
6,8,249,195,78.31,54,21.69,06008
6,9,521,411,78.89,110,21.11,06009
6,10,314,258,82.17,56,17.83,06010
6,11,128,103,80.47,25,19.53,06011
6,12,347,283,81.56,64,18.44,06012
6,13,460,373,81.09,87,18.91,06013
6,14,452,379,83.85,73,16.15,06014
6,15,434,346,79.72,88,20.28,06015
6,16,265,203,76.6,62,23.4,06016
6,17,572,458,80.07,114,19.93,06017
6,18,617,494,80.06,123,19.94,06018
6,19,413,339,82.08,74,17.92,06019
6,20,676,553,81.8,123,18.2,06020
6,21,481,400,83.16,81,16.84,06021
6,22,684,565,82.6,119,17.4,06022
6,23,622,508,81.67,114,18.33,06023
6,24,569,446,78.38,123,21.62,06024
6,25,434,338,77.88,96,22.12,06025
6,26,754,591,78.38,163,21.62,06026
6,27,663,553,83.41,110,16.59,06027
7,1,456,383,83.99,73,16.01,07001
7,2,619,499,80.61,120,19.39,07002
7,3,330,289,87.58,41,12.42,07003
7,4,418,319,76.32,99,23.68,07004
7,5,548,405,73.91,143,26.09,07005
7,6,128,98,76.56,30,23.44,07006
7,7,329,253,76.9,76,23.1,07007
7,8,196,149,76.02,47,23.98,07008
7,9,331,269,81.27,62,18.73,07009
7,10,464,387,83.41,77,16.59,07010
7,11,414,333,80.43,81,19.57,07011
7,12,514,434,84.44,80,15.56,07012
7,13,325,261,80.31,64,19.69,07013
7,14,297,208,70.03,89,29.97,07014
7,15,444,341,76.8,103,23.2,07015
7,16,166,119,71.69,47,28.31,07016
7,17,134,94,70.15,40,29.85,07017
7,18,98,76,77.55,22,22.45,07018
7,19,666,508,76.28,158,23.72,07019
7,20,325,265,81.54,60,18.46,07020
7,21,248,205,82.66,43,17.34,07021
7,22,289,224,77.51,65,22.49,07022
7,23,193,159,82.38,34,17.62,07023
7,24,66,42,63.64,24,36.36,07024
7,25,321,261,81.31,60,18.69,07025
7,26,444,349,78.6,95,21.4,07026
7,27,281,224,79.72,57,20.28,07027
7,28,156,129,82.69,27,17.31,07028
7,29,235,188,80.0,47,20.0,07029
7,30,211,177,83.89,34,16.11,07030
7,31,110,86,78.18,24,21.82,07031
8,1,517,430,83.17,87,16.83,08001
8,2,231,182,78.79,49,21.21,08002
8,3,216,165,76.39,51,23.61,08003
8,4,476,386,81.09,90,18.91,08004
8,5,343,281,81.92,62,18.08,08005
8,6,574,466,81.18,108,18.82,08006
8,7,321,253,78.82,68,21.18,08007
8,8,690,545,78.99,145,21.01,08008
8,9,425,356,83.76,69,16.24,08009
8,10,453,367,81.02,86,18.98,08010
8,11,419,345,82.34,74,17.66,08011
8,12,496,399,80.44,97,19.56,08012
8,13,464,357,76.94,107,23.06,08013
8,14,515,414,80.39,101,19.61,08014
8,15,387,304,78.55,83,21.45,08015
8,16,361,273,75.62,88,24.38,08016
8,17,640,469,73.28,171,26.72,08017
8,18,866,677,78.18,189,21.82,08018
8,19,608,490,80.59,118,19.41,08019
8,20,279,211,75.63,68,24.37,08020
8,21,315,265,84.13,50,15.87,08021
8,22,240,187,77.92,53,22.08,08022
8,23,631,515,81.62,116,18.38,08023
8,24,397,340,85.64,57,14.36,08024
8,25,195,163,83.59,32,16.41,08025
8,26,330,283,85.76,47,14.24,08026
8,27,493,413,83.77,80,16.23,08027
8,28,308,245,79.55,63,20.45,08028
8,29,421,350,83.14,71,16.86,08029
8,30,395,307,77.72,88,22.28,08030
9,1,486,399,82.1,87,17.9,09001
9,2,300,247,82.33,53,17.67,09002
9,3,174,151,86.78,23,13.22,09003
9,4,357,291,81.51,66,18.49,09004
9,5,380,302,79.47,78,20.53,09005
9,6,625,480,76.8,145,23.2,09006
9,7,486,387,79.63,99,20.37,09007
9,8,464,360,77.59,104,22.41,09008
9,9,283,212,74.91,71,25.09,09009
9,10,604,482,79.8,122,20.2,09010
9,11,180,145,80.56,35,19.44,09011
9,12,559,450,80.5,109,19.5,09012
9,13,483,380,78.67,103,21.33,09013
9,14,266,211,79.32,55,20.68,09014
9,15,379,291,76.78,88,23.22,09015
9,16,492,398,80.89,94,19.11,09016
9,17,139,107,76.98,32,23.02,09017
9,18,247,203,82.19,44,17.81,09018
9,19,199,134,67.34,65,32.66,09019
9,20,478,272,56.9,206,43.1,09020
9,21,415,331,79.76,84,20.24,09021
9,22,299,237,79.26,62,20.74,09022
9,23,261,221,84.67,40,15.33,09023
9,24,385,298,77.4,87,22.6,09024
9,25,295,234,79.32,61,20.68,09025
9,26,438,355,81.05,83,18.95,09026
9,27,234,199,85.04,35,14.96,09027
9,28,170,128,75.29,42,24.71,09028
9,29,582,452,77.66,130,22.34,09029
9,30,436,346,79.36,90,20.64,09030
10,1,138,84,60.87,54,39.13,10001
10,2,190,95,50.0,95,50.0,10002
10,3,261,132,50.57,129,49.43,10003
10,4,298,191,64.09,107,35.91,10004
10,5,134,42,31.34,92,68.66,10005
10,6,148,62,41.89,86,58.11,10006
10,7,366,107,29.23,259,70.77,10007
10,8,374,88,23.53,286,76.47,10008
10,9,353,134,37.96,219,62.04,10009
10,10,346,127,36.71,219,63.29,10010
10,11,121,40,33.06,81,66.94,10011
10,12,333,113,33.93,220,66.07,10012
10,13,421,135,32.07,286,67.93,10013
10,14,618,170,27.51,448,72.49,10014
10,15,522,111,21.26,411,78.74,10015
10,16,587,152,25.89,435,74.11,10016
10,17,551,122,22.14,429,77.86,10017
10,18,660,143,21.67,517,78.33,10018
10,19,406,72,17.73,334,82.27,10019
10,20,232,62,26.72,170,73.28,10020
10,21,318,58,18.24,260,81.76,10021
10,22,626,107,17.09,519,82.91,10022
10,23,309,135,43.69,174,56.31,10023
10,24,117,84,71.79,33,28.21,10024
10,25,191,148,77.49,43,22.51,10025
11,1,318,84,26.42,234,73.58,11001
11,2,171,46,26.9,125,73.1,11002
11,3,855,191,22.34,664,77.66,11003
11,4,472,147,31.14,325,68.86,11004
11,5,553,166,30.02,387,69.98,11005
11,6,664,193,29.07,471,70.93,11006
11,7,607,113,18.62,494,81.38,11007
11,8,856,140,16.36,716,83.64,11008
11,9,716,133,18.58,583,81.42,11009
11,10,179,20,11.17,159,88.83,11010
11,11,141,26,18.44,115,81.56,11011
11,12,248,45,18.15,203,81.85,11012
11,13,615,127,20.65,488,79.35,11013
11,14,998,313,31.36,685,68.64,11014
11,15,628,334,53.18,294,46.82,11015
11,16,789,370,46.89,419,53.11,11016
11,17,443,136,30.7,307,69.3,11017
11,18,582,165,28.35,417,71.65,11018
11,19,175,52,29.71,123,70.29,11019
11,20,549,182,33.15,367,66.85,11020
11,21,873,160,18.33,713,81.67,11021
11,22,679,92,13.55,587,86.45,11022
11,23,660,112,16.97,548,83.03,11023
12,1,316,133,42.09,183,57.91,12001
12,2,226,86,38.05,140,61.95,12002
12,3,429,218,50.82,211,49.18,12003
12,4,343,162,47.23,181,52.77,12004
12,5,364,126,34.62,238,65.38,12005
12,6,311,119,38.26,192,61.74,12006
12,7,283,98,34.63,185,65.37,12007
12,8,303,97,32.01,206,67.99,12008
12,9,164,65,39.63,99,60.37,12009
12,10,286,133,46.5,153,53.5,12010
12,11,236,85,36.02,151,63.98,12011
12,12,199,68,34.17,131,65.83,12012
12,13,258,111,43.02,147,56.98,12013
12,14,252,125,49.6,127,50.4,12014
12,15,273,101,37.0,172,63.0,12015
12,16,304,118,38.82,186,61.18,12016
12,17,243,104,42.8,139,57.2,12017
12,18,272,118,43.38,154,56.62,12018
12,19,191,79,41.36,112,58.64,12019
12,20,228,99,43.42,129,56.58,12020
12,21,273,132,48.35,141,51.65,12021
12,22,186,85,45.7,101,54.3,12022
13,1,230,57,24.78,173,75.22,13001
13,2,285,80,28.07,205,71.93,13002
13,3,530,56,10.57,474,89.43,13003
13,4,336,108,32.14,228,67.86,13004
13,5,346,61,17.63,285,82.37,13005
13,6,346,43,12.43,303,87.57,13006
13,7,314,38,12.1,276,87.9,13007
13,8,388,98,25.26,290,74.74,13008
13,9,561,72,12.83,489,87.17,13009
13,10,495,64,12.93,431,87.07,13010
13,11,262,43,16.41,219,83.59,13011
13,12,217,70,32.26,147,67.74,13012
13,13,335,48,14.33,287,85.67,13013
13,14,317,59,18.61,258,81.39,13014
13,15,304,47,15.46,257,84.54,13015
13,16,342,83,24.27,259,75.73,13016
13,17,371,109,29.38,262,70.62,13017
13,18,234,70,29.91,164,70.09,13018
13,19,244,38,15.57,206,84.43,13019
13,20,426,51,11.97,375,88.03,13020
13,21,335,63,18.81,272,81.19,13021
13,22,406,112,27.59,294,72.41,13022
13,23,462,30,6.49,432,93.51,13023
13,24,314,42,13.38,272,86.62,13024
13,25,291,87,29.9,204,70.1,13025
13,26,241,82,34.02,159,65.98,13026
13,27,212,68,32.08,144,67.92,13027
13,28,238,78,32.77,160,67.23,13028
13,29,205,67,32.68,138,67.32,13029
13,30,419,52,12.41,367,87.59,13030
