ward,precinct,total,ANGELA CLAY,ANGELA CLAY Percent,KIM WALZ,KIM WALZ Percent,precinct_id
46,1,675,184,27.26,491,72.74,46001
46,2,675,317,46.96,358,53.04,46002
46,3,722,444,61.5,278,38.5,46003
46,4,830,363,43.73,467,56.27,46004
46,5,720,276,38.33,444,61.67,46005
46,6,1038,584,56.26,454,43.74,46006
46,7,618,351,56.8,267,43.2,46007
46,8,762,402,52.76,360,47.24,46008
46,9,868,349,40.21,519,59.79,46009
46,10,794,507,63.85,287,36.15,46010
46,11,868,527,60.71,341,39.29,46011
46,12,1020,508,49.8,512,50.2,46012
46,13,938,603,64.29,335,35.71,46013
46,14,513,341,66.47,172,33.53,46014
46,15,1091,477,43.72,614,56.28,46015
46,16,700,479,68.43,221,31.57,46016
46,17,1053,729,69.23,324,30.77,46017
46,18,878,564,64.24,314,35.76,46018
46,19,691,417,60.35,274,39.65,46019
46,20,643,439,68.27,204,31.73,46020
46,21,484,253,52.27,231,47.73,46021
46,22,601,460,76.54,141,23.46,46022
46,23,553,389,70.34,164,29.66,46023
