ward,precinct,total,RUTH CRUZ,RUTH CRUZ Percent,JESSICA W. GUTIERREZ,JESSICA W. GUTIERREZ Percent,precinct_id
30,1,506,242,47.83,264,52.17,30001
30,2,340,160,47.06,180,52.94,30002
30,3,444,242,54.5,202,45.5,30003
30,4,398,204,51.26,194,48.74,30004
30,5,410,207,50.49,203,49.51,30005
30,6,441,200,45.35,241,54.65,30006
30,7,298,140,46.98,158,53.02,30007
30,8,526,282,53.61,244,46.39,30008
30,9,445,231,51.91,214,48.09,30009
30,10,396,198,50.0,198,50.0,30010
30,11,354,157,44.35,197,55.65,30011
30,12,462,200,43.29,262,56.71,30012
30,13,425,232,54.59,193,45.41,30013
30,14,398,212,53.27,186,46.73,30014
30,15,650,344,52.92,306,47.08,30015
30,16,316,142,44.94,174,55.06,30016
30,17,461,244,52.93,217,47.07,30017
30,18,373,230,61.66,143,38.34,30018
30,19,291,157,53.95,134,46.05,30019
30,20,303,151,49.83,152,50.17,30020
30,21,505,286,56.63,219,43.37,30021
30,22,524,227,43.32,297,56.68,30022
30,23,521,260,49.9,261,50.1,30023
30,24,411,240,58.39,171,41.61,30024
30,25,319,171,53.61,148,46.39,30025
30,26,578,334,57.79,244,42.21,30026
