ward,precinct,total,"ANTHONY """"TONY"""" CIARAVINO","ANTHONY """"TONY"""" CIARAVINO Percent",NICOLE LEE,NICOLE LEE Percent,precinct_id
11,1,326,42,12.88,284,87.12,11001
11,2,174,22,12.64,152,87.36,11002
11,3,875,258,29.49,617,70.51,11003
11,4,471,154,32.7,317,67.3,11004
11,5,556,182,32.73,374,67.27,11005
11,6,681,216,31.72,465,68.28,11006
11,7,624,68,10.9,556,89.1,11007
11,8,859,228,26.54,631,73.46,11008
11,9,723,305,42.19,418,57.81,11009
11,10,192,90,46.88,102,53.13,11010
11,11,168,78,46.43,90,53.57,11011
11,12,248,159,64.11,89,35.89,11012
11,13,615,253,41.14,362,58.86,11013
11,14,991,446,45.01,545,54.99,11014
11,15,620,198,31.94,422,68.06,11015
11,16,776,262,33.76,514,66.24,11016
11,17,436,166,38.07,270,61.93,11017
11,18,580,188,32.41,392,67.59,11018
11,19,173,55,31.79,118,68.21,11019
11,20,548,204,37.23,344,62.77,11020
11,21,871,425,48.79,446,51.21,11021
11,22,679,459,67.6,220,32.4,11022
11,23,658,341,51.82,317,48.18,11023
