ward,precinct,total,TIMMY KNUDSEN,TIMMY KNUDSEN Percent,BRIAN C. COMER,BRIAN C. COMER Percent,precinct_id
43,1,786,403,51.27,383,48.73,43001
43,2,848,445,52.48,403,47.52,43002
43,3,347,176,50.72,171,49.28,43003
43,4,602,313,51.99,289,48.01,43004
43,5,864,494,57.18,370,42.82,43005
43,6,1027,566,55.11,461,44.89,43006
43,7,910,556,61.1,354,38.9,43007
43,8,765,449,58.69,316,41.31,43008
43,9,1033,549,53.15,484,46.85,43009
43,10,728,396,54.4,332,45.6,43010
43,11,471,272,57.75,199,42.25,43011
43,12,896,520,58.04,376,41.96,43012
43,13,728,399,54.81,329,45.19,43013
43,14,423,206,48.7,217,51.3,43014
43,15,941,538,57.17,403,42.83,43015
43,16,356,185,51.97,171,48.03,43016
43,17,839,424,50.54,415,49.46,43017
43,18,897,448,49.94,449,50.06,43018
43,19,973,467,48.0,506,52.0,43019
43,20,835,393,47.07,442,52.93,43020
43,21,411,162,39.42,249,60.58,43021
43,22,1016,513,50.49,503,49.51,43022
43,23,730,353,48.36,377,51.64,43023
